Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
42,Agder,,Agder,Agder Kollektivtrafikk AS,895808252,https://akt.no,,,Lokal,Ikke testet,,
42,Agder,,Agder,Agder politidistrikt,974764598,https://politiet.no/agder,,,Nasjonal,Ikke testet,,
42,Agder,,Agder,Statsforvalteren i Agder,974762986,https://statsforvalteren.no/agder,,,Nasjonal,Ikke testet,,
42,Agder,,Agder,Sørlandet sykehus HF,983975321,https://sshf.no,,,Lokal,Ikke testet,,
42,Agder,4201,Risør,Risør Kirkelige Fellesråd,976992008,https://risor.kirken.no,postmottak@risor.kirken.no,37 15 03 21,Lokal,Ikke testet,,
42,Agder,4201,Risør,Risør Kommune,964977402,https://www.risor.kommune.no/,post@risor.kommune.no,37 14 96 00,Lokal,Ikke testet,,
42,Agder,4202,Grimstad,Grimstad Kirkelige Fellesråd,976992059,https://www.grimstad.kirken.no,post@grimstad.kirken.no,37 09 01 00,Lokal,Ikke testet,,
42,Agder,4202,Grimstad,Grimstad Kommune,864964702,https://www.grimstad.kommune.no/,postmottak@grimstad.kommune.no,37 25 03 00,Lokal,Ikke testet,,
42,Agder,4202,Grimstad,Grimstad Kulturhus KF,914574773,https://www.grimstadkulturhus.com,postmottak@grimstad.kommune.no,37 25 07 77,Lokal,Ikke testet,,
42,Agder,4202,Grimstad,Kommunalt Oppgavefellesskap - Agder Kommunale Støttetjenester,914560365,,vivian.fahsing@akst.no,37 29 63 01,Lokal,Ikke testet,,
42,Agder,4203,Arendal,Agder Arbeidsmiljø IKS,984959206,https://agderarbeidsmiljo.no,agder.arbeidsmiljo@aa-miljo.no,37 00 67 80,Lokal,Ikke testet,,
42,Agder,4203,Arendal,Agder Renovasjon IKS,997765494,https://agderrenovasjon.no,kundesenter@agderrenovasjon.no,37 05 88 00,Nasjonal,Ikke testet,,
42,Agder,4203,Arendal,Arendal Eiendom KF,895479322,https://www.arendal.kommune.no,postmottak@arendal.kommune.no,37 01 30 00,Lokal,Ikke testet,,
42,Agder,4203,Arendal,Arendal Havn KF,970541012,https://www.arendalhavn.no,post@arendalhavn.no,97 52 70 00,Lokal,Ikke testet,,
42,Agder,4203,Arendal,Arendal Kirkelige Fellesråd,976992148,https://www.arendal.kirken.no,post@agderkirken.no,37 01 35 80,Lokal,Ikke testet,,
42,Agder,4203,Arendal,Arendal Kommune,940493021,https://www.arendal.kommune.no,postmottak@arendal.kommune.no,37 01 30 00,Lokal,Ikke testet,,
42,Agder,4203,Arendal,Arendal videregående skole,,https://arendal.vgs.no,,,Lokal,Ikke testet,,
