Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
32,Akershus,,Akershus,Akershus fylkeskommune,,https://akershus.no,,,Lokal,Ikke testet,,
32,Akershus,,Akershus,Akershus universitetssykehus HF,983971636,https://ahus.no,postmottak@ahus.no,67 96 00 00,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Akershus fylkesbibliotek,,https://afk.no/fylkesbibliotek,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Akershus fylkeskommune tilskudd,,https://afk.no/tilskudd,,,Nasjonal,Ikke testet,,
32,Akershus,3024,Bærum,Bærum kirkelige fellesråd,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Bærum kommune Vann og avløp,,https://baerum.kommune.no/vann-og-avlop,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Eikeli videregående skole,974589290,https://eikeli.vgs.no,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Matmerk - Stiftelsen for merking av norsk mat,983271334,https://matmerk.no,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Nadderud videregående skole,974589265,https://nadderud.vgs.no,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Rud videregående skole,974589303,https://rud.vgs.no,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Sandvika videregående skole,974589281,https://sandvika.vgs.no,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Stabekk videregående skole,974589273,https://stabekk.vgs.no,,,Lokal,Ikke testet,,
32,Akershus,3024,Bærum,Tannhelsetjenesten Akershus,974628413,https://tannhelse.afk.no,,,Lokal,Ikke testet,,
32,Akershus,3033,Ullensaker,Gardermoregionen,,https://gardermoregionen.no,,,Lokal,Ikke testet,,
