Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
33,Buskerud,,Buskerud,Brakar AS,985193297,https://brakar.no,,,Lokal,Ikke testet,,
33,Buskerud,,Buskerud,Buskerud fylkeskommune,,https://bfrk.no,,,Lokal,Ikke testet,,
33,Buskerud,,Buskerud,Sør-Øst politidistrikt,974764776,https://politiet.no/sor-ost,,,Nasjonal,Ikke testet,,
33,Buskerud,,Buskerud,Vestre Viken HF,894166762,https://vestreviken.no,postmottak@vestreviken.no,32 86 11 00,Lokal,Ikke testet,,
33,Buskerud,3001,Drammen,Studentsamskipnaden i Sørøst-Norge,,https://samskfrisor.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Brageteatret - Regionteater for Buskerud AS,982696186,https://www.brageteatret.no,post@brageteatret.no,32 23 39 40,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Brakar AS,994915336,https://brakar.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Buskerud Fylkeskommune,930580260,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Buskerud Kommunerevisjon IKS,979529517,https://bfrkrevisjon.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Buskerud fylkesbibliotek,,https://bfk.no/fylkesbibliotek,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Buskerud fylkeskommune tilskudd,,https://bfrfk.no/tilskudd,,,Nasjonal,Ikke testet,,
33,Buskerud,3301,Drammen,Buskerud tingrett,,https://domstol.no/buskerud,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen Eiendom KF,876820722,https://www.drammen.kommune.no,,32 04 30 00,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen Havn,,https://drammenhavn.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen Havn Farvannsforvaltning IKS,831713062,,post@drammenhavn.no,32 20 86 50,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen Kirkelige Fellesråd,976989732,https://www.kirken.no/drammen,post.drammen@kirken.no,32 98 91 00,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen Kommune,921234554,https://www.drammen.kommune.no,kommunepost@drammen.kommune.no,32040000,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen Scener AS,894922672,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen bibliotek,926828854,https://drammenbibliotek.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen fengsel,974605739,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen videregående skole,974628340,https://drammen.vgs.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammens Museum for Kunst og Kulturhistorie Fylkesmuseum og Galleri for Buskerud Sti,977326982,,post@drammens.museum.no,32 20 09 30,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammensbadet KF,991926607,https://www.drammensbadet.no,post@drammensbadet.no,32 04 45 00,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammensregionen IPR,,https://drammensregionen.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Drammensregionens Brannvesen IKS,984054408,https://www.drbv.no,drbv@drbv.no,32 04 44 00,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Glitre Energi AS,997953696,https://gfrlitreenergi.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Glitrevannverket IKS,944469260,https://gfrlitre.no,post@glitre.no,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Husbanken region øst,,https://husbanken.no,,,Nasjonal,Ikke testet,,
33,Buskerud,3301,Drammen,Papirbredden videregående skole,,https://papirbredden.vgs.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Renovasjonsselskapet for Drammensregionen IKS,984459947,https://www.rfd.no,firmapost@rfd.no,32 04 97 00,Nasjonal,Ikke testet,,
33,Buskerud,3301,Drammen,Sykehuspartner HF,914637651,https://www.sykehuspartner.no,post@sykehuspartner.no,32 23 53 00,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Tannhelsetjenesten Buskerud,974628421,https://tannhelse.bfrfk.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Union Scene,,https://unionscene.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans AS,983149499,,vf@vegfinans.no,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Bypakke Grenland AS,998102251,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Bypakke Nedre Glomma AS,960669975,https://www.vegfinans.no,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Bypakke Tønsberg-regionen AS,918166475,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E134 Buskerud AS,915030157,https://www.vegfinans.no,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E134 Oslofjordforbindelsen AS,976754204,https://www.vegfinans.no,oft@vegfinans.no,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E16 Eggemoen - Olum AS,921336209,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E16 Kongsvingervegen AS,981925009,,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E16 Oppland AS,998725496,,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E16 Sollihøgda AS,996986713,,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E18 Lysaker - Ramstadsletta AS,926551620,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E18 Telemark AS,997159136,,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E18 Vestfold AS,880012312,https://www.e18vestfold.no,e18@vegfinans.no,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E6 Gardermoen-moelv AS,988094889,https://www.vegfinans.no,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E6 Moelv-øyer AS,925577081,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans E6 Ringebu-otta AS,999584152,https://www.vegfinans.no,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Fv33 Oppland AS,999668038,https://www.vegfinans.no,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Fv353 Rugtvedt - Surtebogen AS,933666492,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Fv359 Kaste - Stoadalen AS,933525759,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Hallingporten AS,990128839,https://www.vegfinans.no,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Innlandet AS,923888063,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Rv3 og Rv25 Hamar-elverum AS,992487097,https://www.vegfinans.no,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Rv36 Telemark AS,994265148,,,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Rv4 Oppland AS,984112777,https://www.vegfinans.no,opb@vegfinans.no,32 80 82 70,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Vestfold og Telemark AS,923888349,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Vegfinans Viken AS,923886931,,,,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Viken Filmsenter AS,997480848,https://www.vikenfilmsenter.no,post@vikenfilmsenter.no,90 25 88 88,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Viken Kommunerevisjon IKS,985731098,https://www.bkr.no,post@bkr.no,32 20 15 00,Lokal,Ikke testet,,
33,Buskerud,3301,Drammen,Åssiden videregående skole,974628359,https://assiden.vgs.no,,,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Interkommunalt Arkiv for Buskerud Vestfold og Telemark IKS,971309040,https://www.ikakongsberg.no,postmottak@ikakongsberg.no,32 76 40 20,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,KF Kongsberg Kino,971228962,https://www.kongsbergkino.no,kino@kongsberg.kommune.no,48 22 61 41,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsberg Innovasjon AS,979956783,https://kongsberginnovasjon.no,,,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsberg Kirkelige Fellesråd,976989805,https://kirken.no/kongsberg,kirkevergen@kongsberg.kommune.no,32 86 60 30,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsberg Kommunale Eiendom KF,976662156,https://www.kkekf.no,eiendom@kongsberg.kommune.no,32 86 61 00,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsberg Kommune,942402465,https://www.kongsberg.kommune.no/,postmottak@kongsberg.kommune.no,32 86 60 00,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsberg fengsel,,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsberg videregående skole,,https://kongsberg.vgs.no,,,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsbergregionen,987659003,https://kongsberg-regionen.no,,,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Norsk Bergverksmuseum Sti,977113490,https://www.norskbergverksmuseum.no/,post.mottak@bvm.no,,Lokal,Ikke testet,,
33,Buskerud,3303,Kongsberg,Universitetet i Sørøst-Norge,911770709,https://usn.no,postmottak@usn.no,+4731008000,Nasjonal,Ikke testet,,
33,Buskerud,3305,Ringerike,Ringerike Kirkelige Fellesråd,976989937,https://www.ringerike.kirken.no,post.ringerike@kirken.no,32 18 15 20,Lokal,Ikke testet,,
33,Buskerud,3305,Ringerike,Ringerike Kommune,940100925,https://www.ringerike.kommune.no/,postmottak@ringerike.kommune.no,32 11 74 00,Lokal,Ikke testet,,
33,Buskerud,3305,Ringerike,Ringerike Utvikling AS,990346918,https://ringerikenering.no,,,Lokal,Ikke testet,,
33,Buskerud,3305,Ringerike,Ringerike fengsel,974605674,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
33,Buskerud,3305,Ringerike,Ringerike videregående skole,,https://ringerike.vgs.no,,,Lokal,Ikke testet,,
