Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
56,Finnmark,,Finnmark,Finnmark fylkeskommune,964994218,https://ffk.no,,,Lokal,Ikke testet,,
56,Finnmark,,Finnmark,Finnmark politidistrikt,974764431,https://politiet.no/finnmark,,,Nasjonal,Ikke testet,,
56,Finnmark,,Finnmark,Snelandia AS,985199036,https://snelandia.no,,,Lokal,Ikke testet,,
56,Finnmark,5401,Hammerfest,Finnmarkssykehuset HF - Hammerfest sykehus,983974910,https://finnmarkssykehuset.no/hammerfest,postmottak@nordlandssykehuset.no,75 53 40 00,Lokal,Ikke testet,,
56,Finnmark,5401,Hammerfest,Gjenreisningsmuseet for Finnmark,,https://museumnord.no/gjenreisningsmuseet,,,Lokal,Ikke testet,,
56,Finnmark,5401,Hammerfest,Hammerfest videregående skole,,https://hammerfest.vgs.no,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Alta Lufthavn,965694340,https://avinor.no/flyplass/alta,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Alta videregående skole,,https://alta.vgs.no,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Finnmark Kraft AS,996423159,https://finnmarkkraft.no,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Finnmark fylkesbibliotek,,https://ffk.no/fylkesbibliotek,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Finnmark fylkeskommune tilskudd,,https://ffk.no/tilskudd,,,Nasjonal,Ikke testet,,
56,Finnmark,5403,Alta,Snelandia AS,921181219,https://snelandia.no,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Tannhelsetjenesten Finnmark,974628553,https://tannhelse.ffk.no,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Vest-Finnmark regionråd,,https://vestfinnmark.no,,,Lokal,Ikke testet,,
56,Finnmark,5403,Alta,Visit Alta,,https://visitfrlta.com,,,Lokal,Ikke testet,,
56,Finnmark,5405,Kirkenes,Finnmarkssykehuset HF - Kirkenes sykehus,,https://finnmarkssykehuset.no/kirkenes,,,Lokal,Ikke testet,,
56,Finnmark,5405,Kirkenes,Kirkenes videregående skole,,https://kirkenes.vgs.no,,,Lokal,Ikke testet,,
56,Finnmark,5405,Vardø,Øst-Finnmark regionråd,,https://ostfinnmark.no,,,Lokal,Ikke testet,,
56,Finnmark,5407,Vadsø,Vadsø videregående skole,,https://vadso.vgs.no,,,Lokal,Ikke testet,,
56,Finnmark,5601,Alta,Alta Havn KF,974795035,https://www.altahavn.no,postmottak.havn@alta.kommune.no,78 44 69 10,Lokal,Ikke testet,,
56,Finnmark,5601,Alta,Alta Kirkelige Fellesråd,977001595,https://kirken.no/alta,kirkeverge@alta.kirken.no,78 44 42 70,Lokal,Ikke testet,,
56,Finnmark,5601,Alta,Alta Kommune,944588132,https://www.alta.kommune.no,postmottak@alta.kommune.no,78 45 50 00,Lokal,Ikke testet,,
56,Finnmark,5601,Alta,Alta Museum,971531606,https://altamuseum.no,,,Lokal,Ikke testet,,
56,Finnmark,5601,Alta,Alta videregående skole,,https://alta.vgs.no,,,Lokal,Ikke testet,,
56,Finnmark,5601,Alta,Kontrollutvalgssekretariatet i Vest-finnmark IKS/ Oarje-finnmarku Sgo Darkkistanlavdegottecallingoddi,991520759,https://www.kusek.no,kate.m.larsen@kusek.no,78 40 29 09,Lokal,Ikke testet,,
