Virksomhet,Nettside,Har_app_iOS,Har_app_Android,App_link_iOS,App_link_Android,Har_tilgjengelighetserklæring,Tilgjengelighet_URL,Notes
Finnmarkseiendommen (FeFo),https://www.fefo.no,No,No,,,No,,
Sametinget / Sámediggi,https://www.sametinget.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/e1984bd8-4fd5-46b6-ba5c-6707ee5519c6,Accessibility declaration found
Statsforvalteren i Troms og Finnmark,https://www.statsforvalteren.no/troms-finnmark,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/3603430b-6b15-41e4-9b13-ea13321a42c5,Accessibility declaration found
Finnmarkssykehuset HF,https://finnmarkssykehuset.no,No,No,,,Yes,https://www.finnmarkssykehuset.no/om-nettstedet/tilbakemelding-om-universell-utforming/,Accessibility declaration found
Samisk Høgskole / Sámi allaskuvla,https://samas.no,No,No,,,No,,
UiT Norges arktiske universitet,https://uit.no,No,No,,,No,,
Snelandia (Finnmark fylkeskommune),https://snelandia.no,Yes,Yes,https://apps.apple.com/no/app/reiseplanlegger-177-finnmark/id561390199,https://play.google.com/store/apps/details?id=no.bouvet.routeplanner.finnmark,Yes,https://uustatus.no/nb/erklaringer/publisert/aedbb74a-6c0c-45bd-83e8-18d5c3c92a6b,App found; Accessibility declaration found
Varanger Kraft AS,https://www.varanger-kraft.no,No,No,,,No,,
Lucerna AS (tidl. Hammerfest Energi),https://lucerna.no,No,No,,,Yes,https://www.lucerna.no/tilgjengelighet,Accessibility declaration found
Alta Havn KF,https://altahavn.no,No,No,,,No,,
Hammerfest Havn KF,https://hammerfesthavn.no,No,No,,,No,,
Nordkappregionen Havn IKS,https://nordkapphavn.no,No,No,,,No,,
Sør-Varanger Havn (Kirkenes),https://kirkeneshavn.no,No,No,,,No,,
Vardø Havn KF,https://www.vardohavn.no,No,No,,,No,,
Varanger Museum IKS,https://www.varangermuseum.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/12ee46cf-0bcc-4924-a8b2-e4a0f450ff10/,Accessibility declaration found
Verdensarvsenter for bergkunst - Alta Museum,https://www.altamuseum.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/3a41b2b7-370f-4bfe-8d75-a2f46f885477,Accessibility declaration found
RiddoDuottarMuseat,https://rdm.no,No,No,,,No,,
Barentssekretariatet IKS,https://www.barents.no,No,No,,,No,,
Finnmark Miljøtjeneste AS,https://www.fimil.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/cc9f2e96-687a-469b-83ee-70164e8e590c,Accessibility declaration found
Vefas IKS,https://www.vefas.no,Yes,Yes,https://apps.apple.com/no/app/minrenovasjon/id606138819,https://play.google.com/store/apps/details?id=no.norkart.komtek.renovasjon.client&hl=no,No,,App found
Øst-Finnmark Avfallsselskap AS,https://www.ofas.no,No,No,,,No,,
Aksis AS,https://aksis.no,No,No,,,Yes,https://www.aksis.no/erklaringer/universell-utforming/,Accessibility declaration found
IKA Troms og Finnmark IKS,https://ikatf.no,Error,Error,,,Error,,Connection Error
KomRev NORD IKS,https://komrevnord.no,Error,Error,,,Error,,Connection Error
