Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
34,Innlandet,,Innlandet,Innlandet fylkeskommune,920122045,https://innlandetfylke.no,,,Lokal,Ikke testet,,
34,Innlandet,,Innlandet,Innlandstrafikk AS,985205604,https://innlandstrafikk.no,,,Lokal,Ikke testet,,
34,Innlandet,,Innlandet,Statsforvalteren i Innlandet,974760665,https://statsforvalteren.no/innlandet,sfvlpost@statsforvalteren.no,57 64 30 00,Nasjonal,Ikke testet,,
34,Innlandet,,Innlandet,Sykehuset Innlandet HF,983971709,https://sykehuset-innlandet.no,postmottak@sykehuset-innlandet.no,91 50 62 00,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Givas IKS,989016245,https://www.givas.no,post@givas.no,62 87 42 00,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Glåmdal Brannvesen IKS,989566369,https://www.gbi.no,postmottak@gbi.no,,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Glåmdal Interkommunale Voksenopplæringssenter IKS,885019552,https://www.giv.no,giv@giv.no,62 88 22 00,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Kongsvinger Kirkelige Fellesråd,976987640,https://www.kirken.no/kongsvinger,post.kongsvinger@kirken.no,62 88 66 80,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Kongsvinger kommune,944117784,https://kongsvinger.kommune.no,postmottak@kongsvinger.kommune.no,62 87 40 00,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Kongsvinger sykehus - Sykehuset Innlandet,,https://sykehuset-innlandet.no/kongsvinger,,,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Kongsvinger videregående skole,,https://kongsvinger.vgs.no,,,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Kontrollutvalgssekretariat Øst IKS,989541471,https://www.konsek-ost.no,post@gs-iks.no,62 80 81 60,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Romerike og Glåmdal tingrett,,https://domstol.no/romerike-og-glamdal,,,Lokal,Ikke testet,,
34,Innlandet,3401,Kongsvinger,Stiftelsen Kvinnemuseet - Kongsvinger Museum,989538446,https://www.kvinnemuseet.no,,,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Ankerskogen Svømmehall Hamar KF,983492975,https://www.ankerskogen.no,post@ankerskogen.no,62 56 18 60,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Anno museum,988171379,https://annomuseum.no,,,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Domkirkeodden,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Domkirkeodden Hamar,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Eidsiva Energi AS,983523286,https://eidsiva.no,,,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Elvia AS,980489698,https://elvia.no,firmapost@elvia.no,02024,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,HIAS IKS,980879414,https://hias.no,,,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Hamar Kino KF,974636697,https://hamarkino.no,post@hamarkino.no,,Lokal,Ikke testet,,
34,Innlandet,3403,Hamar,Hamar Kirkelige Fellesråd,976987683,https://www.kirken-hamar.no,post.hamar@kirken-hamar.no,62 56 37 50,Lokal,Ikke testet,,
