Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
15,Møre og Romsdal,,Møre og Romsdal,FRAM (Møre og Romsdal Kollektivtrafikk),986233781,https://frframmr.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Frostating lagmannsrett,974764261,https://domstol.no/frostating,,,Nasjonal,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Helse Midt-Norge RHF,983658733,https://helse-midt.no,,,Nasjonal,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Helse Møre og Romsdal HF,997005562,https://helse-mr.no,postmottak@helse-mr.no,70 10 50 00,Lokal,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Møre og Romsdal fylkeskommune,944183779,https://mrfylke.no,post@mrfylke.no,71 28 00 00,Lokal,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Møre og Romsdal politidistrikt,974763907,https://politiet.no/more-og-romsdal,,,Nasjonal,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Møre og Romsdal tingrett,,https://domstol.no/more-og-romsdal,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1504,Volda,Volda videregående skule,,https://volda.vgs.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Atlanten videregående skole,,https://atlanten.vgs.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Kristiansund Kirkelige Fellesråd,976996895,https://kirken.no/Kristiansund,kirkevergen@kristiansund.kirken.no,71 57 51 90,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Kristiansund Kommunale Sundbåtvesen KF,974765780,https://www.sundbaten.no,post@sundbaten.no,,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Kristiansund Kommune,991891919,https://www.kristiansund.kommune.no,postmottak@kristiansund.kommune.no,71 57 40 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Kristiansund og Nordmøre Havn IKS,986712720,https://www.knhavn.no,info@knhavn.no,,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Møre og Romsdal Revisjon SA,923746552,https://www.mrrevisjon.no,post@mrrevisjon.no,,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Nordmøre IPR,,https://nordmore.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Nordmøre Krisesenter IKS,899163222,https://www.nordmorekrisesenter.no,merete.egge.nerland@nordmorekrisesenter.no,93 05 58 28,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Operaen i Kristiansund AS,963886705,,,71 58 99 60,Lokal,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Stiftelsen Kristiansund Museum,985907293,https://www.nordmore.museum.no,post@nordmore.museum.no,71 58 70 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,AS Regionteatret i Møre og Romsdal,930569046,https://www.teatretvart.no,post@teatretvart.no,71 24 02 80,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Eresfjord og Vistdal Fjellstyre,975724506,,eresfjord.vistdal@fjellstyrene.no,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Hustad fengsel,,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Kontrollutvalgssekretariatet for Romsdal ko,912503771,https://www.kontrollutvalgromsdal.no/,postmottak@kontrollutvalgromsdal.no,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Krisesenteret for Molde og Omegn IKS,992209410,https://www.krisesenteretmolde.no,post@krisesenteretmolde.no,71 25 66 66,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde Eiendom KF,985608180,https://www.molde.kommune.no,postmottak@molde.kommune.no,71 11 10 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde Havnevesen KF,971046163,https://www.molde-romsdalshavn.no,office@molde-romsdalshavn.no,71 19 16 20,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde Kirkelige Fellesråd,976996860,https://www.molde.kirken.no,kirkevergen@molde.kirken.no,71 11 14 70,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde Kommune,921221967,https://www.molde.kommune.no/,postmottak@molde.kommune.no,71 11 10 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde Vann og Avløp KF,990695997,https://www.molde.kommune.no,postmottak@molde.kommune.no,71 11 11 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde og Romsdal Havn IKS,989049267,https://www.moldehavn.no,office@moldehavn.no,71 19 16 20,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde videregående skole,,https://molde.vgs.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Møre bispedømme,976995755,https://kirken.no/more,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Møre og Romsdal fylkeskommune tilskudd,,https://mrfylke.no/tilskudd,,,Nasjonal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Nesset Kirkelige Fellesråd,876997622,https://www.nesset.kirken.no,kirkeverge@nesset.kirken.no,71 23 14 55,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Nordmøre og Romsdal Brann og Redning IKS,823730012,https://www.norbr.no,postmottak@norbr.no,71 19 18 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Romsdal regionråd,,https://romsdal.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Romsdal videregående skole,,https://romsdal.vgs.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Romsdalshalvøya Interkommunale Renovasjonsselskap IKS,971042656,https://www.rir.no,rir@rir.no,71 21 34 50,Nasjonal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Romsdalsmuseet Sti,970196544,https://www.romsdalsmuseet.no,,71 20 24 60,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Statsforvalteren i Møre og Romsdal,974764067,https://statsforvalteren.no/more-og-romsdal,sfmrpost@statsforvalteren.no,71258400,Nasjonal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Stiftelsen Bekkevollvegen 14,950345888,,mobo@mobo.no,,Lokal,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Øygardsvegen Boligstiftelse,953471663,,mobo@mobo.no,,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,FRAM (Møre og Romsdal fylkeskommune),,https://frframmr.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,FRAM (Møre og Romsdal),974628503,https://frfram.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Fagerlia videregående skole,,https://fagerlia.vgs.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Fagskolen i Møre og Romsdal,974628518,https://fagskolen-mr.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Fjord1 region Møre og Romsdal,,https://fjord1.no,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Høgskolen i Volda,974809672,https://hivolda.no,postmottak@hivolda.no,70 07 50 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Interkommunalt Arkiv for Møre og Romsdal IKS,982330459,https://www.ikamr.no,postmottak@ikamr.no,40 61 86 00,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Kystverket Midt-Norge,,https://kystverket.no/midt,,,Nasjonal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Kystverket region Midt-Norge,,https://kystverket.no/midt,,,Nasjonal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Møre og Romsdal 110-sentral Ålesund KF,988380504,https://www.110-sentralen.no,110-sentralen@alesund.kommune.no,70 11 99 99,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Møre og Romsdal fylkesbibliotek,,https://mrfylke.no/fylkesbibliotek,,,Lokal,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Stiftinga Viti,989377132,https://vitimusea.no,post@vitimusea.no,70 23 90 00,Lokal,Ikke testet,,
