Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
18,Nordland,,Nordland,Helgelandssykehuset HF,983974775,https://helgelandssykehuset.no,,,Lokal,Ikke testet,,
18,Nordland,,Nordland,Helse Nord RHF,883658752,https://helse-nord.no,postmottak@helse-nord.no,75 51 29 00,Nasjonal,Ikke testet,,
18,Nordland,,Nordland,Hålogaland lagmannsrett,874015202,https://domstol.no/halogaland,,,Nasjonal,Ikke testet,,
18,Nordland,,Nordland,Nordland fylkes trafikk AS,964982759,https://nft.no,,,Lokal,Ikke testet,,
18,Nordland,,Nordland,Nordland fylkeskommune,964982953,https://nfk.no,post@nfk.no,75 65 00 00,Lokal,Ikke testet,,
18,Nordland,,Nordland,Nordland politidistrikt,974764911,https://politiet.no/nordland,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Ambulanse Nordland,,https://nordlanfrssykehuset.no/ambulanse,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Arbeidstilsynet Nord-Norge,974709694,https://arbeidstilsynet.no/nord,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Arkivverket region nord,,https://arkivverket.no/nord,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Arktisk Filharmoni AS,994387693,https://www.noso.no,post@noso.no,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Aspmyra stadion,,https://bfrodo.kommune.no/aspmyra,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodin videregående skole,,https://bodin.vgs.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø Havn KF,970542493,https://www.bodohavn.no,firmapost@bodohavn.no,75 55 10 80,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø Kirkelige Fellesråd,976999800,https://kirken.no/bodo,post.bodo@kirken.no,75 50 03 00,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø Kommune,972418013,https://www.bodo.kommune.no/,postmottak@bodo.kommune.no,75 55 50 00,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø Lufthavn,965694366,https://avinor.no/flyplass/bodo,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø Spektrum KF,986471464,,firmapost@bodospektrum.no,75 59 15 00,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø bibliotek,,https://bodobibliotek.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø fengsel,974605941,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø kommune Vann og Avløp,,https://bodo.kommune.no/va,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Bodø videregående skole,,https://bodo.vgs.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Boreal Transport Nord,,https://boreal.no/nord,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Fagskolen i Nordland,974628537,https://fagskolen-nordland.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Fiskeridirektoratet region Nord,,https://fiskeridir.no/nord,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Forsvarets operative hovedkvarter (FOH),,https://forsvaret.no/foh,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Helse- og Miljøtilsyn Salten IKS,986504907,,post@hmts.no,40 00 77 77,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Hovedredningssentralen Nord-Norge,,https://hovedredningssentralen.no/nord,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,IMDi region Nord,,https://imdi.no/nord,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Innovasjon Norge region Nordland,,https://innovasjonnorge.no/nordland,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Iris Salten IKS,967518190,https://www.iris-salten.no,iris@iris-salten.no,75 50 75 50,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Kunnskapsparken Bodø AS,990265393,https://kpb.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Kystverket Nordland,,https://kystverket.no/nordland,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Kystverket region Nordland,,https://kystverket.no/nordland,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Luftambulansetjenesten HF,818711832,https://www.luftambulanse.no,postmottak@luftambulansetjenesten.no,75 54 99 50,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Luftforsvaret,,https://forsvaret.no/luftforsvaret,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,NAV Hjelpemiddelsentral Nordland,,https://nav.no/hjelpemidler/nordland,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordkraft AS,983484955,https://nordkraft.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordland Maritime Sikkerhetssenter Fkf,933171485,https://nfk.no,post@nfk.no,75 65 00 00,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordland fylkesbibliotek,,https://nfk.no/fylkesbibliotek,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordland fylkeskommune kollektiv,,https://nfk.no/kollektiv,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordland fylkeskommune kollektivtransport,,https://nfk.no/kollektiv,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordland fylkeskommune tilskudd,,https://nfk.no/tilskudd,,,Nasjonal,Ikke testet,,
18,Nordland,1804,Bodø,Nordland sivilforsvarsdistrikt,,https://sivilforsvaret.no/nordland,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordlandsbuss AS,944892888,https://nordlandsbuss.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordlandsmuseet,970985988,https://nordlandsmuseet.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordlandssykehuset HF,983974910,https://www.nordlandssykehuset.no,postmottak@nordlandssykehuset.no,75 53 40 00,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordnorsk Opera og Symfoniorkester,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Nordnorsk filmsenter,983418580,https://nnfrs.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Norsk Luftfartsmuseum Sti,975693368,https://www.luftfart.museum.no,,75 50 78 50,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,SKS Produksjon AS,989797718,https://skfrskraft.no,,,Lokal,Ikke testet,,
18,Nordland,1804,Bodø,Salten Brann IKS,990565325,https://www.saltenbrann.no,post@saltenbrann.no,75 55 74 05,Lokal,Ikke testet,,
