Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
03,Oslo,0301,Oslo,A-larm - bruker og pårørendeorganisasjon,985804440,https://alarm.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,ADHD Norge,970413496,https://adhdnorge.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,AID - Arbeids- og inkluderingsdepartementet tilskudd,,https://regjeringen.no/aid/tilskudd,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,ANSA - Association of Norwegian Students Abroad,951663433,https://ansfra.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Acta - barn og unge i Normisjon,970228091,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Adventistkirken i Norge,970168349,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Advokatbevillingsnemnden,,https://telemarkfylke.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Advokatforeningen,936575markup668,https://advokatforeningen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Akademikerne,971339403,https://akademikerne.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Aker BP ASA,989795848,https://akerbp.com,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Aker helsearena,,https://oslo.kommune.no/aker-helsearena,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Aker sykehus lokasjon,,https://oslouniversitetssykefrhus.no/aker,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Akershus Fylkeskommune,930580783,,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Akershus Kollektivterminaler Fkf,985431175,https://www.kollektivterminaler.no,post.vkt@viken.no,23 00 24 00,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Aksjonærregisteret,,https://skatteetaten.no/aksjonarregisteret,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Aktiv kommune - tilskudd friluftsliv,,https://aktivkommune.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Alfaset krematorium,,https://gravferdsetaten.oslo.kommune.no/alfaset,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Altinn,,https://altinn.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Altinn hovedkontor,987464291,https://altinn.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Amnesty International Norge,970213918,https://amnesty.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Andøya Space AS,986283117,https://andoyaspace.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Angrerettloven - informasjon,,https://forbrukertilsynet.no/angreretten,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Anskaffelser.no - Veileder offentlige anskaffelser,,https://anskaffelser.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Antidoping Norge,987434809,https://antidoping.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Antiokisk-ortodoks menighet Oslo,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Antirasistisk Senter,952298476,https://antirasistisksenter.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Apotek 1 Gruppen AS,988914815,https://apotek1.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Apotekene - Apotek 1 Norge AS,988914823,https://apotek1.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Apotekforeningen,967648103,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Arbeidermuseet,,https://oslomuseum.no/arbeidermuseet,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Arbeids- og inkluderingsdepartementet,983887457,https://regjeringen.no/aid,postmottak@aid.dep.no,22 24 90 90,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Arbeidsgiverportalen - staten,,https://arbfreidsgfriverportalen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Arbeidsplassen.no,,https://arbeidsplassen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Argentum Fondsinvesteringer AS,986329117,https://argentum.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Arkitektbedriftene i Norge,971269030,https://arkitektbedriftene.no,,,Lokal,Ikke testet,,
