Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
11,Rogaland,,Rogaland,Gulating lagmannsrett,974015882,https://domstol.no/gulating,,,Nasjonal,Ikke testet,,
11,Rogaland,,Rogaland,Helse Fonna HF,983974694,https://helse-fonna.no,post@helse-fonna.no,52 73 20 00,Lokal,Ikke testet,,
11,Rogaland,,Rogaland,Helse Stavanger HF,983974732,https://helse-stavanger.no,post@helse-forde.no,57 83 90 00,Lokal,Ikke testet,,
11,Rogaland,,Rogaland,Helse Vest RHF,983658776,https://helse-vest.no,HMN.Postmottak@helse-midt.no,74 83 99 00,Nasjonal,Ikke testet,,
11,Rogaland,,Rogaland,IVAR IKS,869986082,https://ivar.no,,,Lokal,Ikke testet,,
11,Rogaland,,Rogaland,Kolumbus AS,872409502,https://kolumbus.no,,,Lokal,Ikke testet,,
11,Rogaland,,Rogaland,Rogaland Revisjon IKS,963999089,https://rogaland-revisjon.no,postmottak@frogn.kommune.no,64 90 60 00,Lokal,Ikke testet,,
11,Rogaland,1101,Eigersund,Dalane Folkemuseum Sti,971492430,,,51 46 14 10,Lokal,Ikke testet,,
11,Rogaland,1101,Eigersund,Dalane Friluftsråd Kommunalt Oppgavefellesskap,986768017,https://www.friluftsrad.no/dalane,post@friluftsrad-dalane.no,51 46 10 38,Lokal,Ikke testet,,
11,Rogaland,1101,Eigersund,Eigersund Kirkelig Fellesråd,976993144,https://eigersund.kirken.no,kirkevergen@ekf.no,51 46 33 40,Lokal,Ikke testet,,
11,Rogaland,1101,Eigersund,Eigersund Næring og Havn KF,875265172,https://enhkf.no,post@egersund.havn.no,51 46 32 80,Lokal,Ikke testet,,
11,Rogaland,1101,Eigersund,Eigersund Parkering KF,917317828,https://www.eigpark.no,post@eigpark.no,51 46 80 00,Lokal,Ikke testet,,
11,Rogaland,1101,Eigersund,Eigersund kommune,964978573,https://eigersund.kommune.no,postmottak@gjesdal.kommune.no,51 61 11 00,Lokal,Ikke testet,,
11,Rogaland,1101,Eigersund,Regionråd Dalane IPR,,https://dalane.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Ambulansetjenesten SUS,,https://sus.no/ambulanse,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Arkeologisk museum UiS,970188223,https://am.uis.no,,72 54 00 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Barneverntjenesten Stavanger,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Bergeland videregående skole,974628090,https://bergeland.vgs.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Boreal Buss AS,984201320,https://bofrreal.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Boreal Norge AS,979855231,https://boreal.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Domkirken Musikk AS Stavanger,976476565,https://www.domkirkenogpetri.no,oh596@kirken.no,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Eiganes skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Fagskolen Rogaland,974628178,https://fagskolen-rogaland.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Ferde AS,918089215,https://ferde.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Fjord1 ASA,883516882,https://fjord1.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Folkehallene IKS,926142380,https://www.folkehallene.no,post@folkehallene.no,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Friomsorgen Rogaland,,https://kriminalomsorgen.no/friomsorg-rogaland,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Godalen videregående skole,974628073,https://godalen.vgs.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Greater Stavanger AS,988891088,https://greatfrerstavanger.com,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Helse Stavanger HF,983974678,https://www.sus.no,post@sus.no,51 51 80 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Helse Vest RHF,983658725,https://www.helse-vest.no/,helse@helse-vest.no,51 96 38 00,Nasjonal,Ikke testet,,
11,Rogaland,1103,Stavanger,Hetland videregående skole,974628081,https://hetland.vgs.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Hovedredningssentralen Sør-Norge,,https://hovedredningssentralen.no/sor,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Hundvåg skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,IKA Rogaland,974762904,https://ikarogaland.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Innovasjon Norge region Rogaland,,https://innovasjonnorge.no/rogaland,,,Nasjonal,Ikke testet,,
11,Rogaland,1103,Stavanger,Interkommunalt Arkiv i Rogaland IKS,974247488,https://www.ikarogaland.no,epost@ikarogaland.no,51 87 00 55,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Ivar IKS,871035032,https://ivar.no,ivar@ivar.no,51 90 85 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Jernaldergården,,https://museumstavanger.no/jernaldergarden,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Kampen skole Stavanger,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Kolumbus AS,986135742,https://kolumbus.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Krisesenter i Rogaland IKS,,https://krisesenfrrogaland.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Kystverket region Sør,,https://kystverket.no/sor,,,Nasjonal,Ikke testet,,
11,Rogaland,1103,Stavanger,Lyse AS,980335216,https://lyse.no,firmapost@lyse.no,51 90 80 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Lyse Elnett AS,980330944,https://lnett.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Madlamark skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Multihallen og Storhallen IKS,995943522,https://www.folkehallene.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Museum Stavanger AS,995642034,,post@museumstavanger.no,51 84 27 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,NAV Hjelpemiddelsentral Rogaland,,https://nav.no/hjelpemidler/rogaland,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,NAV Stavanger,,https://nav.no/stavanger,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Norsk Oljemuseum,974763877,https://nfrom.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Norsk hermetikkmuseum,971343315,https://museumstavanger.no/hermetikk,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,PPT Stavanger,,https://stavanger.kommune.no/ppt,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Petroleumstilsynet Stavanger,986174613,https://ptil.no,postboks@havtil.no,51 87 60 50,Nasjonal,Ikke testet,,
11,Rogaland,1103,Stavanger,Region Stavanger AS,982430140,https://regionfravanger.com,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Renovasjonen IKS,989111736,https://www.renovasjonen.no,post@renovasjonen.no,51 80 08 00,Nasjonal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland Bomselskap AS,,https://rogbom.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland Fylkeskommune,971045698,https://www.rogfk.no,firmapost@rogfk.no,51 51 66 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland Kollektivtrafikk Fkf,984087691,https://www.kolombus.no,post@kolumbus.no,51 51 65 30,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland Kunstmuseum Sti,971339926,https://www.museumstavanger.no,post@museumstavanger.no,51 53 09 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland Revisjon IKS,887052832,https://www.rogaland-revisjon.no,post@rogaland-revisjon.no,40 00 52 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland Teater AS,915443990,https://www.rogaland-teater.no,post@rogaland-teater.no,51 91 90 00,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland brann og redning IKS,920470444,https://rogbr.no,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland fylkesbibliotek,,https://rogfk.no/fylkesbibliotek,,,Lokal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland fylkeskommune tilskudd,,https://rogfk.no/tilskudd,,,Nasjonal,Ikke testet,,
11,Rogaland,1103,Stavanger,Rogaland idrettskrets,971274727,https://rogalandidrettskrets.no,nzf@zoologi.no,22 38 35 20,Lokal,Ikke testet,,
