Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
40,Telemark,,Telemark,Sykehuset Telemark HF,983975240,https://sthf.no,postmottak@sshf.no,,Lokal,Ikke testet,,
40,Telemark,,Telemark,Telemark fylkeskommune,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
40,Telemark,,Telemark,Telemarkreiser AS,971384093,https://telemark.no,,,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Gassnova SF,991627626,https://www.gassnova.no,postmottak@gassnova.no,,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Gea Norvegica Geopark IKS,987864257,https://www.geoparken.no,post@geanor.no,,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Grenland Brann og Redning IKS,925739251,https://www.gbr.no,post@gbr.no,35 54 70 00,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Grenland Havn IKS,970940510,https://www.grenland-havn.no,ghv@grenland-havn.no,35 93 10 00,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Keops Arbeid Porsgrunn KF,984608322,,,35 54 75 36,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Keops Utvikling Porsgrunn KF,927998343,,,,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Novari IKS,998283914,https://www.novari.no,post@novari.no,,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Porsgrunn Havn,,https://porsgrunhavn.no,,,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Porsgrunn Kirkelige Fellesråd,976991141,https://www.porsgrunn.kirken.no/,post.porsgrunn@kirken.no,35 56 34 00,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Porsgrunn Kommune,939991034,https://www.porsgrunn.kommune.no/,postmottak@porsgrunn.kommune.no,35 54 70 00,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Skien Næringsfond AS,933141896,,,35 58 10 90,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Stiftelsen Kunsthall Grenland,875498592,https://www.kunsthallgrenland.no,andreas@kunsthallgrenland.no,35 55 95 12,Lokal,Ikke testet,,
40,Telemark,4001,Porsgrunn,Telemark Teknologiklynge,,https://telemarkteknologiklynge.no,,,Lokal,Ikke testet,,
40,Telemark,4003,Skien,"Det Kommunale Oppgavefellesskapet, Grenlandssamarbeidet",929581563,,,,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Farte (Telemark fylkeskommune),,https://farte.no,,,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Fergene Telemark Fkf,934448960,,,,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Grenland Friluftsråd Kommunalt Oppgavefellesskap,814208702,https://www.grenlandfriluftsrad.no,grenland@friluftsrad.no,35 58 13 08,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Grenlandssamarbeidet IPR,980393050,https://grenlandssamarbeidet.no,,,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Hjalmar Johansen videregående skole,,https://hjalmarjohansen.vgs.no,,,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Ibsenhuset AS,932773619,,,35581000,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Konsesjonskraftstyret i Telemark Kommunalt Oppgåvefellesskap,983145566,,,35 91 72 65,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Pasientreiser HF,918695079,,postmottak@pasientreiser.no,35 12 10 00,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Renovasjon i Grenland IKS,913482778,https://www.rig.no,post@rig.no,35 10 10 10,Nasjonal,Ikke testet,,
40,Telemark,4003,Skien,Skien Fritidspark KF,990522839,https://www.skienfritidspark.no,post@skienfritidspark.no,35 54 10 10,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Skien Kirkelige Fellesråd,976991273,https://www.skien.kirken.no/,kirkevergen@skien.kommune.no,35 58 11 80,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Skien kommune,938759839,https://skien.kommune.no,skien.postmottak@skien.kommune.no,35 58 10 00,Lokal,Ikke testet,,
40,Telemark,4003,Skien,Skien videregående skole,,https://skien.vgs.no,,,Lokal,Ikke testet,,
