Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
55,Troms,,Troms,Statsforvalteren i Troms og Finnmark,967311014,https://statsforvalteren.no/troms-og-finnmark,sftfpost@statsforvalteren.no,78 95 03 00,Nasjonal,Ikke testet,,
55,Troms,,Troms,Troms fylkeskommune,,https://tfrk.no,,,Lokal,Ikke testet,,
55,Troms,,Troms,Troms fylkestrafikk AS,985197882,https://tromskortet.no,,,Lokal,Ikke testet,,
55,Troms,,Troms,Troms politidistrikt,974764423,https://politiet.no/troms,,,Nasjonal,Ikke testet,,
55,Troms,,Troms,Universitetssykehuset Nord-Norge HF,983974899,https://unn.no,post@unn.no,77 62 60 00,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Alfheim stadion,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Ambulansetjenesten UNN,,https://unn.no/ambulanse,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Arktisk Filharmoni,971555521,https://telemarkfylke.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Breivang videregående skole,,https://breivang.vgs.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Fiskeri- og Havbruksnæringens Forskningsfinansiering AS,921995121,,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Fiskeridirektoratet region Nord,,https://fiskeridir.no/nord,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Folkehøgskolen Nord Norge,,https://nord-folkehogskole.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Forskningsrådet kontor Tromsø,,https://forskningsradet.no,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Framsenteret,,https://framsenteret.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Friomsorgen Nord-Norge,,https://kriminalomsorgen.no/friomsorg-nord,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Helse NORD Ikt HF,918177833,,post@hn-ikt.no,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Hovedredningssentralen Nord-Norge,,https://hovedredningssentralen.no/nord,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Hurtigruten Coastal Express,,https://hurtifrgruten.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Husbanken region nord,,https://husbanken.no,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Hålogaland Teater AS,920093914,https://www.ht.tr.no,post@ht.tr.no,77 60 64 00,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Hærens befalsskole,,https://forsvaret.no/befalsskolen,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Innovasjon Norge region Troms og Finnmark,,https://innovasjonnorge.no/troms-finnmark,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Interkommunalt Arkiv Troms IKS,989532960,https://www.arkivtroms.no,post@arkivtroms.no,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,K-sekretariatet IKS,988064920,https://www.k-sek.no,inger@k-sek.no,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Kongsbakken videregående skole,,https://kongsbakken.vgs.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Kulturhuset i Tromsø,,https://kulturhuset.tromso.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Kystverket Nord,,https://kystverket.no/nord,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Kystverket Troms og Finnmark,,https://kystverket.no/nord,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Mattilsynet region Nord,985399077,https://mattilsynet.no/nord,postmottak@mattilsynet.no,23 21 68 00,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,NAV Hjelpemiddelsentral Troms,,https://nav.no/hjelpemidler/troms,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,NRK Troms og Finnmark,,https://nrk.no/tromsfinnmark,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Nord-Hålogaland bispedømme,976997858,https://kirken.no/nordhalogaland,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Nord-Troms og Senja tingrett,,https://domstol.no/nord-troms-og-senja,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Nordnorsk Kunstmuseum Sti,971492589,,,77 64 70 20,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Norinnova Technology Transfer AS,984618019,https://norinnova.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Norsk Polarinstitutt,971022922,https://npolar.no,turid@loeweconsult.com,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Perspektivet Museum,979436400,https://perspektivet.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Polaria,977513893,https://polaria.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Polarmuseet,,https://uit.no/polarmuseet,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Sametinget - tilskudd kultur,974760347,https://sametinget.no/kultur,samediggi@samediggi.no,78 47 40 00,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Samisk høgskole,974766256,https://samas.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Statens vegvesen region nord,,https://vegvesen.no/nord,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Statsarkivet i Tromsø,961181399,https://arkivverket.no/statsarkivet-tromso,post@nasjonalarkivet.no,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Studentsamskipnaden i Nord (Samsfrkinord),,https://samskipnaden.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Svipper (Troms fylkestrafikk),,https://svipper.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tannhelsetjenesten Troms,974628545,https://tannhelse.tromsfylke.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tolletaten region Nord-Norge,974772124,https://toll.no/nord,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Tollregion Nord-Norge,,https://toll.no/nord,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Troms Fylkeskommune,930068128,https://www.tromsfylke.no,postmottak@tromsfylke.no,77 78 80 00,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Troms Kraft AS,979188680,https://tromskraft.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Troms fylkesbibliotek,,https://trfroms.fylkesbibliotek.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Troms fylkeskommune tilskudd,,https://tromsfylke.no/tilskudd,,,Nasjonal,Ikke testet,,
55,Troms,5501,Tromsø,Troms fylkestrafikk,,https://tfrfk.no/kollektiv,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Troms fylkestrafikk - ferger,,https://tromsfylkestrafikk.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Troms fylkestrafikk AS,,https://tfroms-trafikk.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Troms sivilforsvarsdistrikt,,https://sivilforsvaret.no/troms,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tromsdalen videregående skole,,https://tromsdalen.vgs.no,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tromsø Brann og Redning KF,925189545,,brannstasjonen@tromso.kommune.no,77 75 95 00,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tromsø DPS,,https://unn.no/tromso-dps,,,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tromsø Havn KF,940101808,https://tromsohavn.no,postmottak@tromso.kommune.no,77 79 00 00,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tromsø Kirkelige Fellesråd,977001161,https://www.kirken.tromso.no,post@kirken.tromso.no,77 60 50 90,Lokal,Ikke testet,,
55,Troms,5501,Tromsø,Tromsø Lufthavn Langnes,965694358,https://avinor.no/flyplass/tromso,,,Lokal,Ikke testet,,
