Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
50,Trøndelag,,Trøndelag,Helse Nord-Trøndelag HF,983974791,https://hnt.no,post@hnt.no,74 09 80 00,Lokal,Ikke testet,,
50,Trøndelag,,Trøndelag,Trøndelag fylkeskommune,817920632,https://trondelagfylke.no,postmottak@trondelagfylke.no,74 17 40 00,Lokal,Ikke testet,,
50,Trøndelag,,Trøndelag,Trøndelag politidistrikt,974764164,https://politiet.no/trondelag,,,Nasjonal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Ambulanse Midt-Norge,,https://helsefrmt.no/ambulanse,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,AtB AS,994686011,https://atb.no,atb@atb.no,02820,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Bakklandet menighet,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Barneverntjenesten Trondheim,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Berg skole Trondheim,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Brundalen videregående skole,,https://brundalen.vgs.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Charlottenlund videregående skole,974764075,https://charlottenlund.vgs.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Det Mosaiske Trossamfunn Trondheim,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Dokkhuset Scene,,https://dokkhuset.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Domstolene i Norge,984195796,https://www.domstol.no,postmottak@domstoladministrasjonen.no,73 56 70 00,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,ENOVA SF,983609155,https://www.enova.no,post@enova.no,24 24 08 95,Nasjonal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Eberg skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Erkebispegården,,https://nfrdr.no/erkebispegarden,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Fagskolen i Trøndelag,974764156,https://fagskolen-trondelag.no,,,Lokal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Fiskeridirektoratet region Midt,,https://fiskeridir.no/midt,,,Nasjonal,Ikke testet,,
50,Trøndelag,5001,Trondheim,Forskningsrådet kontor Trondheim,,https://forskningsradet.no,,,Nasjonal,Ikke testet,,
50,Trøndelag,5001,Trondheim,FosenNamsos Sjø AS,979952090,https://ffrosen-namsos.no,,,Lokal,Ikke testet,,
