Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
39,Vestfold,,Vestfold,Agder lagmannsrett,874015113,https://domstol.no/agder,,,Nasjonal,Ikke testet,,
39,Vestfold,,Vestfold,Statsforvalteren i Vestfold og Telemark,974762501,https://statsforvalteren.no/vestfold-og-telemark,sfvtpost@statsforvalteren.no,33 37 10 00,Nasjonal,Ikke testet,,
39,Vestfold,,Vestfold,Sykehuset i Vestfold HF,983971768,https://siv.no,postmottak@so-hf.no,69 86 00 00,Lokal,Ikke testet,,
39,Vestfold,,Vestfold,Vestfold Kollektivtrafikk AS,961038676,https://vfrkt.no,,,Lokal,Ikke testet,,
39,Vestfold,,Vestfold,Vestfold fylkeskommune,,https://vfrk.no,,,Lokal,Ikke testet,,
39,Vestfold,3801,Sandefjord,Sandefjord videregående skole,,https://sandefjord.vgs.no,,,Lokal,Ikke testet,,
39,Vestfold,3803,Larvik,Thor Heyerdahl videregående skole,,https://thorheyerdahl.vgs.no,,,Lokal,Ikke testet,,
39,Vestfold,3901,Horten,Bastøy fengsel,974605917,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
39,Vestfold,3901,Horten,Horten Kirkelige Fellesråd,876990512,https://www.horten.kirken.no/,post.horten@kirken.no,33 52 91 00,Lokal,Ikke testet,,
39,Vestfold,3901,Horten,Horten Kommune,964951284,https://www.horten.kommune.no/,postmottak@horten.kommune.no,33 08 50 00,Lokal,Ikke testet,,
39,Vestfold,3901,Horten,Horten videregående skole,,https://horten.vgs.no,,,Lokal,Ikke testet,,
39,Vestfold,3901,Horten,Innovasjon i Vestfold,,https://innovasjonvestfold.no,,,Lokal,Ikke testet,,
39,Vestfold,3901,Horten,Preus Museum Sti,874240672,https://www.preusmuseum.no,,33 03 16 30,Lokal,Ikke testet,,
