Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
46,Vestland,,Vestland,Helse Førde HF,983974708,https://helse-forde.no,,,Lokal,Ikke testet,,
46,Vestland,,Vestland,Skyss AS,984936729,https://skyss.no,,,Lokal,Ikke testet,,
46,Vestland,,Vestland,Statsforvalteren i Vestland,974763230,https://statsforvalteren.no/vestland,sfropost@statsforvalteren.no,51 56 87 00,Nasjonal,Ikke testet,,
46,Vestland,,Vestland,Vest politidistrikt,974761572,https://politiet.no/vest,,,Nasjonal,Ikke testet,,
46,Vestland,,Vestland,Vestland fylkeskommune,921707134,https://vestlandfylke.no,postmottak@agderfk.no,38 05 00 00,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,AS Den Nationale Scene,811167452,https://www.dns.no,dns@dns.no,55 54 97 00,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Amalie Skram videregående skole,974628243,https://amalieskram.vgs.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Arboretet og Botanisk hage Bergen,,https://uib.no/arboretet,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,BKK AS,976944801,https://bkk.no,firmapost@bkk.no,55 12 70 00,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,BKK Nett AS,976944828,https://bkk.no/nett,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,BOB BBL,936502244,https://bob.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Barneverntjenesten Bergen,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Bysykkel,,https://bergenbysykkel.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Filharmoniske Orkester,971492295,https://harmonien.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Havn AS,919666308,https://bergenhavn.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Havn Farvannsforvaltning IKS,922741972,https://www.bergenhavn.no,bergen.havn@bergenhavn.no,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Internasjonale Filmfestival AS,980555704,https://www.biff.no,fosse@biff.no,55 30 08 40,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Kirkelige Fellesråd,976994434,https://kirken.no/bergen,post2.bergen@kirken.no,55 59 32 00,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Kjøtt,,https://bergenkjott.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Kunsthall,,https://bergenkufrnsthall.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Lufthavn Flesland,965694390,https://avinor.no/flyplass/bergen,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Maritime videregående skole,,https://bergenmaritim.vgs.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Offentlige Bibliotek,974646099,https://bergenbibliotek.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Offentlige Bibliotek Fana,,https://bergenbibliotek.no/fana,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Offentlige Bibliotek Loddefjord,,https://bergenbibliotek.no/loddefjord,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Offentlige Bibliotek Åsane,,https://bergenbibliotek.no/asane,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Taxi AS,919636886,https://bergentaxi.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Teknologioverføring AS,987753153,https://bergento.no,hei@visinnovasjon.no,40 02 08 00,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Vann KF,988878455,https://bergenvann.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen Vitensenter AS,989005049,https://www.vilvite.no,post@vilvite.no,55 59 45 00,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen brannvesen,974646102,https://bergenbrannvesen.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen brannvesen 110-sentral,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen fengsel,974605666,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen katedralskole,974628200,https://bergenkatedralskole.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kirkelige fellesråd - gravplasser,,https://bergenkirke.no/gravplass,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kommunale bygg (BKB),,https://bergen.kommune.no/bkb,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kommunale pensjonskasse,938548489,https://bfrpk.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kommune,964338531,https://bergen.kommune.no,postmottak@bergen.kommune.no,05556,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kommune Etat for alders- og sykehjem,,https://bergen.kommune.no/sykehjem,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kommune Grunnskole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kommune Helsestasjoner,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen kommune barnehager,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen legevakt,979807048,https://bergenlfrv.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen og Omland Friluftsråd Kommunalt Oppgavefellesskap,871426732,https://www.bof.no,firmapost@bof.no,55 39 29 50,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen tekniske fagskole,,https://btf.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergen tingrett,974636677,https://domstol.no/bergen,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergenhus festning,986399142,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bergensområdets interkommunale renovasjonsselskap AS,983387060,https://bir.no,,,Nasjonal,Ikke testet,,
46,Vestland,4601,Bergen,Bergenstriennalen AS,996799298,https://www.bergenassembly.no,post@bergenassembly.no,55 33 00 55,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bjørgvin DPS,,https://helse-bergen.no/bjorgvin-dps,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bjørgvin bispedømme,976993937,https://kirken.no/bjorgvin,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bjørgvin fengsel,,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Brann Stadion,980471046,https://brann.no/stadion,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bro og Tunnelselskapet AS,958515621,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bryggens Museum,,https://bymuseet.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Business Region Bergen,985250130,https://businessregionbergen.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Buzz AS,996223191,,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Bybanen i Bergen AS,989628569,https://bfrybanen.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Carte Blanche AS,957214479,https://www.carteblanche.no,ncb@ncb.no,55 30 86 80,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Deloitte (kommunerevisor Bergen),,https://deloitte.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Den Nationale Scene Bergen,971526955,https://dns.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Domkirken menighet Bergen,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Etat for helsetjenester Bergen,,https://bergen.kommune.no/helse,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Etat for utbygging Bergen,,https://bergen.kommune.no/utbygging,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Fagskolen i Hordaland,974628529,https://fagskulen.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Fana menighet,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Ferde AS,918012745,,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Fiskemuseet,,https://bymuseet.no/fiskerimuseum,,,Lokal,Ikke testet,,
46,Vestland,4601,Bergen,Fiskeridirektoratet region Sør,,https://fiskeridir.no/sor,,,Nasjonal,Ikke testet,,
46,Vestland,4601,Bergen,Fiskeridirektoratet region Vest,,https://fiskeridir.no/vest,,,Nasjonal,Ikke testet,,
