Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Bransje,UU Status,Antall brudd,Sist oppdatert
03,Oslo,0301,Oslo,Oslo kommune,958935420,oslo.kommune.no,Kommune,Ikke testet,,
03,Oslo,0301,Oslo,Oslo bystyre,,oslo.kommune.no,Kommune,Ikke testet,,
03,Oslo,0301,Oslo,Statsforvalteren i Østfold Buskerud Oslo og Akershus,974761319,statsforvalteren.no/Oslo-og-Viken,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Oslo politidistrikt,974760673,politiet.no/oslo,Politi,Ikke testet,,
03,Oslo,0301,Oslo,Oslo tingrett,974761211,domstol.no/oslo,Domstol,Ikke testet,,
03,Oslo,0301,Oslo,Borgarting lagmannsrett,974761130,domstol.no/borgarting,Domstol,Ikke testet,,
03,Oslo,0301,Oslo,Oslo universitetssykehus HF,993467049,oslo-universitetssykehus.no,Helse,Ikke testet,,
03,Oslo,0301,Oslo,Sunnaas sykehus HF,883971752,sunnaas.no,Helse,Ikke testet,,
03,Oslo,0301,Oslo,Helse Sør-Øst RHF,991324968,helse-sorost.no,Helse/RHF,Ikke testet,,
03,Oslo,0301,Oslo,Oslo Havn KF,934055417,oslohavn.no,Havn,Ikke testet,,
03,Oslo,0301,Oslo,Ruter AS,991609407,ruter.no,Transport,Ikke testet,,
03,Oslo,0301,Oslo,Sporveien AS,912219972,sporveien.com,Transport,Ikke testet,,
03,Oslo,0301,Oslo,Oslo kirkelige fellesråd,976987610,kirken.no/oslo,Kirke,Ikke testet,,
03,Oslo,0301,Oslo,NAV Oslo,889640782,nav.no/oslo,NAV,Ikke testet,,
03,Oslo,0301,Oslo,Skatteetaten Oslo,974761645,skatteetaten.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Domstoladministrasjonen,972417815,domstol.no,Domstol,Ikke testet,,
03,Oslo,0301,Oslo,Politidirektoratet,982531950,politiet.no,Politi,Ikke testet,,
03,Oslo,0301,Oslo,Kripos,974760843,politiet.no/kripos,Politi,Ikke testet,,
03,Oslo,0301,Oslo,Økokrim,974761270,okokrim.no,Politi,Ikke testet,,
