Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
31,Østfold,,Østfold,Øst politidistrikt,974764490,https://politiet.no/ost,,,Nasjonal,Ikke testet,,
31,Østfold,,Østfold,Østfold fylkeskommune,,https://ostfoldfk.no,,,Lokal,Ikke testet,,
31,Østfold,,Østfold,Østfold kollektivtrafikk AS,959438806,https://ostfold-kollektiv.no,,,Lokal,Ikke testet,,
31,Østfold,3101,Halden,Halden Kirkelige Fellesråd,976985451,https://www.halden.kirken.no,fellesraadet@kirkenshus.halden.no,69 17 95 30,Lokal,Ikke testet,,
31,Østfold,3101,Halden,Halden fengsel,974605550,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
31,Østfold,3101,Halden,Halden kommune,959159092,https://halden.kommune.no,postmottak@halden.kommune.no,69 17 45 00,Lokal,Ikke testet,,
31,Østfold,3101,Halden,Halden videregående skole,,https://halden.vgs.no,,,Lokal,Ikke testet,,
31,Østfold,3101,Halden,Høgskolen i Østfold,874116242,https://hiof.no,,,Lokal,Ikke testet,,
31,Østfold,3101,Halden,NCE Smart Energy Markets,,https://smartenergymarkets.no,,,Lokal,Ikke testet,,
31,Østfold,3101,Halden,Stiftelsen Det Norske Blåseensemble Anno 1734,985278016,https://www.dnbe.no,post@dnbe.no,69 17 82 50,Lokal,Ikke testet,,
31,Østfold,3101,Halden,Stiftelsen Halden Historiske Samlinger,861703312,,,69 11 56 50,Lokal,Ikke testet,,
31,Østfold,3103,Moss,Galleri f 15 AS,965240217,https://www.gallerif15.no,gallerif15@gallerif15.no,69 27 10 33,Lokal,Ikke testet,,
31,Østfold,3103,Moss,Moss Havn KF,971033339,https://www.moss-havn.no,firmapost@moss-havn.no,69 20 87 00,Lokal,Ikke testet,,
31,Østfold,3103,Moss,Moss Kirkelige Fellesråd,923591796,,,,Lokal,Ikke testet,,
31,Østfold,3103,Moss,Moss Kommunale Eiendomsselskap KF,981548183,,post@mkeiendom.no,,Lokal,Ikke testet,,
31,Østfold,3103,Moss,Moss Kommune,920817521,https://www.moss.kommune.no,post@moss.kommune.no,69 24 80 00,Lokal,Ikke testet,,
31,Østfold,3103,Moss,Movar IKS,959272204,https://www.movar.no,postmottak@movar.no,69 20 52 00,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Arkiv Øst IKS,984789572,https://arkivo.no,post@arkivo.no,69 11 63 05,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Borg bispedømme,976994066,https://kirken.no/borg,,,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Borg videregående skole,,https://borg.vgs.no,,,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Frid IKS,931388975,,,,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Sarpsborg Kirkelige Fellesråd,976985605,https://kirken.no/sarpsborg,post.sarpsborg@kirken.no,40 70 17 00,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Sarpsborg Kommune,938801363,https://www.sarpsborg.com/,postmottak@sarpsborg.com,69116000,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Sarpsborg fengsel,,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Sykehuset Østfold HF,983971768,https://sykehuset-ostfold.no,postmottak@so-hf.no,69 86 00 00,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Østfold Fylkeskommune,930580694,,,,Lokal,Ikke testet,,
31,Østfold,3105,Sarpsborg,Østfoldmuseene Sti,994963910,https://www.ostfoldmuseene.no,postmottak@ostfoldmuseene.no,69 11 56 50,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Borg Havn IKS,970937099,https://www.borg-havn.no,firmapost@borg-havn.no,69 35 89 00,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Borg bispedømme,976987672,https://kirken.no/borg,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Driftsassistansen i Viken IKS,989127241,https://www.daiv.no,post@daiv.no,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Frederik II videregående skole,974628383,https://frederik2.vgs.no,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Fredrikstad Kirkelige Fellesråd,976985710,https://www.fredrikstad.kirken.no/,kirkevergen@fredrikstad.kommune.no,69 95 98 00,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Fredrikstad Museum Sti,885803342,https://www.ostfoldmuseene.no,postmottak@ostfoldmuseene.no,69 11 56 50,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Fredrikstad Vann Avløp og Renovasjonsforetak Frevar KF,979952171,,,69 35 73 00,Nasjonal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Fredrikstad brann- og feiervesen,,https://fredrikstadbrann.no,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Fredrikstad kommune,940039541,https://fredrikstad.kommune.no,postmottak@fredrikstad.kommune.no,69306000,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Fredrikstad kommune Renovasjon,,https://fredrikstad.kommune.no,,,Nasjonal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Glemmen videregående skole,974628391,https://glemmen.vgs.no,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,MOVAR IKS,960558683,https://movar.no,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Tannhelsetjenesten Østfold,974628405,https://tannhelse.ofrfk.no,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Østfold Avfallssortering IKS,924961821,,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Østfold Kontrollutvalgssekretariat Kommunalt Oppgavefellesskap,926367358,,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Østfold fylkesbibliotek,,https://ofk.no/fylkesbibliotek,,,Lokal,Ikke testet,,
31,Østfold,3107,Fredrikstad,Østfold fylkeskommune tilskudd,,https://ofk.no/tilskudd,,,Nasjonal,Ikke testet,,
