source_id,name,city,address,google_phone,google_website,scraped_email,lead_score,lead_quality,google_match_confidence,opening_hours,google_hours,google_rating,latitude,tags,licensed,google_maps_uri,price_range,phone,review_count,google_place_id,longitude,detail_url,website,rating,source,lastmod,google_returned_address,google_user_ratings
e07fd8a1-e97d-44b2-b9b2-65de1039c05b,greenskythc,Loei,,061 019 6660,https://www.chiangkhanrivergreenhill.com/,ckrivergreenhill@gmail.com,10,9,high,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.6,,,,https://maps.google.com/?cid=10160551415386360372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJVb5o0sm5JjERNEoy7K2HAY0,,https://weed.th/shop/e07fd8a1-e97d-44b2-b9b2-65de1039c05b/loei/greenskythc,,,weed_th,2026-05-03T23:02:01.791Z,"เลขที่ 111 หมู่ 8 หมู่บ้าน Tambon Bu Hom, Amphoe Chiang Khan, Chang Wat Loei 42110, Thailand",964
916e361a-d3f0-472d-82aa-b6296f9e19b3,highspace caf,Loei,,098 393 6529,https://www.facebook.com/profile.php?id=100088730962148&mibextid=ZbWKwL,,8,7,high,,,5,,,,https://maps.google.com/?cid=18169598009996054561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJ48bAnYvHJjERIZB1mR9hJ_w,,https://weed.th/shop/916e361a-d3f0-472d-82aa-b6296f9e19b3/loei/highspace-caf,,,weed_th,2026-05-24T04:31:03.819Z,"680 Tambon Mueang, Amphoe Mueang Loei, Chang Wat Loei 42000, Thailand",11
63c37919-edd8-4d4f-801f-84f999e2e881,taichiangkhan shop ไทเชียงคาน แคนนาบิส,Loei,,096 968 0910,https://www.facebook.com/profile.php?id=61562000041513&mibextid=LQQJ4d,,8,7,high,,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,5,,,,https://maps.google.com/?cid=12120125166441570156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJdeQMQwDHJjERbJ8Fq59VM6g,,https://weed.th/shop/63c37919-edd8-4d4f-801f-84f999e2e881/loei/taichiangkhan-shop-%E0%B9%84%E0%B8%97%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%84%E0%B8%B2%E0%B8%99-%E0%B9%81%E0%B8%84%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%9A%E0%B8%B4%E0%B8%AA,,,weed_th,2026-05-24T04:27:42.477Z,"81/1 เชียงคาน Tambon Chiang Khan, Amphoe Chiang Khan, Chang Wat Loei 42110, Thailand",18
7a7a020f-cf1d-4db7-be7b-6ef8ffda1276,loei thc กัญชา exotic,Loei,,093 517 1615,https://www.facebook.com/share/15FhxaCuiJ/,,8,7,high,,Monday: 8:00 AM – 2:00 AM | Tuesday: 8:00 AM – 2:00 AM | Wednesday: 8:00 AM – 2:00 AM | Thursday: 8:00 AM – 2:00 AM | Friday: 8:00 AM – 2:30 AM | Saturday: 8:00 AM – 2:00 AM | Sunday: 8:00 AM – 2:00 AM,5,,,,https://maps.google.com/?cid=14537906131294390295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJA_U_kWtHITERF4jG7ZkEwck,,https://weed.th/shop/7a7a020f-cf1d-4db7-be7b-6ef8ffda1276/loei/loei-thc-%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2-exotic,,,weed_th,2026-05-24T04:22:56.224Z,"59/1 Tambon Kut Pong, Amphoe Mueang Loei, Chang Wat Loei 42000, Thailand",64
0f6d729f-451e-4492-9abe-79524a7fcd93,wb shop cannabis chaingkhan ดับเบิ้ลยูแอนด์บี แคนนาบิส ช็อปเชียงคาน มีสถานที่เติม,Loei,,096 968 0910,https://www.facebook.com/profile.php?id=61562000041513&mibextid=LQQJ4d,,8,7,high,,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,5,,,,https://maps.google.com/?cid=12120125166441570156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJdeQMQwDHJjERbJ8Fq59VM6g,,https://weed.th/shop/0f6d729f-451e-4492-9abe-79524a7fcd93/loei/wb-shop-cannabis-chaingkhan-%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B9%89%E0%B8%A5%E0%B8%A2%E0%B8%B9%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%9A%E0%B8%B5-%E0%B9%81%E0%B8%84%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%9A%E0%B8%B4%E0%B8%AA-%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%9B%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B8%84%E0%B8%B2%E0%B8%99-%E0%B8%A1%E0%B8%B5%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B8%A1,,,weed_th,2026-05-03T23:02:01.791Z,"81/1 เชียงคาน Tambon Chiang Khan, Amphoe Chiang Khan, Chang Wat Loei 42110, Thailand",18
51435f14-86e9-4312-843e-26ca46176efa,loei thc กัญชา exotic,Loei,,093 517 1615,https://www.facebook.com/share/15FhxaCuiJ/,,8,7,high,,Monday: 8:00 AM – 2:00 AM | Tuesday: 8:00 AM – 2:00 AM | Wednesday: 8:00 AM – 2:00 AM | Thursday: 8:00 AM – 2:00 AM | Friday: 8:00 AM – 2:30 AM | Saturday: 8:00 AM – 2:00 AM | Sunday: 8:00 AM – 2:00 AM,5,,,,https://maps.google.com/?cid=14537906131294390295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJA_U_kWtHITERF4jG7ZkEwck,,https://weed.th/shop/51435f14-86e9-4312-843e-26ca46176efa/loei/loei-thc-%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2-exotic,,,weed_th,2026-05-03T23:02:01.791Z,"59/1 Tambon Kut Pong, Amphoe Mueang Loei, Chang Wat Loei 42000, Thailand",64
a15ca96c-0716-4cab-a2ed-eb2e134af5c6,loeithc6 chiangkhan,Loei,,063 582 6999,https://www.facebook.com/profile.php?id=61563070798157&mibextid=wwXIfr&mibextid=wwXIfr,,8,7,high,,,5,,,,https://maps.google.com/?cid=2874257269268481813&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJiyj-qyPHJjERFQfVB8Jp4yc,,https://weed.th/shop/a15ca96c-0716-4cab-a2ed-eb2e134af5c6/loei/loeithc6-chiangkhan,,,weed_th,2026-05-24T04:12:22.425Z,"59, 4, Tambon Chiang Khan, Amphoe Chiang Khan, Chang Wat Loei 42110, Thailand",31
1d444f5f-5be1-4fcd-91c0-d867b156c7ec,ร้าน ajb cannabis shop,Loei,,098 893 5649,https://www.facebook.com/profile.php?id=100084002640343&mibextid=sCpJLy,,7,6,high,,Monday: 8:00 AM – 10:30 PM | Tuesday: 8:00 AM – 10:30 PM | Wednesday: 8:00 AM – 10:30 PM | Thursday: 8:00 AM – 10:30 PM | Friday: 8:00 AM – 10:30 PM | Saturday: Closed | Sunday: 8:00 AM – 10:30 PM,5,,,,https://maps.google.com/?cid=2934419193180258281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJkRn-ZQBpITER6f-Yf7UmuSg,,https://weed.th/shop/1d444f5f-5be1-4fcd-91c0-d867b156c7ec/loei/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-ajb-cannabis-shop,,,weed_th,2026-05-24T04:33:29.775Z,"130 Tambon Nong Ya Plong, Amphoe Wang Saphung, Chang Wat Loei 42130, Thailand",2
34a0e29e-40a5-43d7-9a09-0869e4b84e36,p2b cannabis shop,Loei,,095 003 0550,https://www.facebook.com/profile.php?id=100092177386608&mibextid=LQQJ4d,,7,6,high,,,4,,,,https://maps.google.com/?cid=3975343707234335776&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJVbxpawBpITERIHzJGQpCKzc,,https://weed.th/shop/34a0e29e-40a5-43d7-9a09-0869e4b84e36/loei/p2b-cannabis-shop,,,weed_th,2026-05-24T04:30:38.851Z,"บ้านเลทที่ 204 หมู่ 10 หนองหญ้าปล้อง Tambon Nong Ya Plong, Amphoe Wang Saphung, Chang Wat Loei 42130, Thailand",2
df854830-2cfc-4620-9edb-1986b0ce4f73,ghc cafe สาขานาด้วง,Loei,,092 866 1959,https://www.facebook.com/Hopchafe.Naduang,,7,6,high,,Monday: 7:30 AM – 5:30 PM | Tuesday: 7:30 AM – 5:30 PM | Wednesday: 7:30 AM – 5:30 PM | Thursday: 7:30 AM – 5:30 PM | Friday: 7:30 AM – 5:30 PM | Saturday: 9:00 AM – 4:00 PM | Sunday: 9:00 AM – 4:00 PM,4.8,,,,https://maps.google.com/?cid=14928375938017579382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJKZbaSKZbITERdtEGW9I-LM8,,https://weed.th/shop/df854830-2cfc-4620-9edb-1986b0ce4f73/loei/ghc-cafe-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%87,,,weed_th,2026-05-03T23:02:01.791Z,"ตรงข้ามโรงเรียนนาด้วงวิทยา ถนน เลย-นาด้วง Tambon Na Duang, Amphoe Na Duang, Chang Wat Loei 42210, Thailand",5
