source_id,name,city,address,google_phone,google_website,scraped_email,lead_score,lead_quality,google_match_confidence,opening_hours,google_hours,google_rating,latitude,tags,licensed,google_maps_uri,price_range,phone,review_count,google_place_id,longitude,detail_url,website,rating,source,lastmod,google_returned_address,google_user_ratings
ca4d422f-d82e-4ddf-a71d-5550d97367c3,แคนนาบีสเฮาส์,Mukdahan,,093 457 2530,https://line.me/ti/p/TlsEwifJIu,,9,8,high,,,5,,,,https://maps.google.com/?cid=2953087663726006935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJk539hVzJPTERlxL6gpV5-yg,,https://weed.th/shop/ca4d422f-d82e-4ddf-a71d-5550d97367c3/mukdahan/%E0%B9%81%E0%B8%84%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%9A%E0%B8%B5%E0%B8%AA%E0%B9%80%E0%B8%AE%E0%B8%B2%E0%B8%AA%E0%B9%8C,,,weed_th,2026-05-24T04:15:35.102Z,"92 Tambon Bang Sai Yai, เมือง Chang Wat Mukdahan 49000, Thailand",219
3a16e682-be6b-4b19-b408-086e56522478,ฟาร์ม high smoke og,Mukdahan,,083 790 2514,https://www.facebook.com/profile.php?id=100094425790569&mibextid=ZbWKwL,,8,7,high,,Monday: 6:30 AM – 10:00 PM | Tuesday: 6:30 AM – 10:00 PM | Wednesday: 6:30 AM – 10:00 PM | Thursday: 6:30 AM – 10:00 PM | Friday: 6:30 AM – 10:00 PM | Saturday: 6:30 AM – 10:00 PM | Sunday: 6:30 AM – 10:00 PM,5,,,,https://maps.google.com/?cid=4499116494699668220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJUd2nn4ClPTER_KKsVZ0ScD4,,https://weed.th/shop/3a16e682-be6b-4b19-b408-086e56522478/mukdahan/%E0%B8%9F%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A1-high-smoke-og,,,weed_th,2026-05-24T04:16:50.947Z,"GCV6+7RH, Nam Thiang, Khamcha-i District, Mukdahan 49110, Thailand",10
d24fe484-66d8-442f-94b6-dd87f101c268,paradise land dispensary weed cannabis,Mukdahan,,082 224 5255,https://www.facebook.com/profile.php?id=61556779507001,,8,7,high,,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,4.1,,,,https://maps.google.com/?cid=3437662136437481565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJawELqGPHPTERXaAq5H8HtS8,,https://weed.th/shop/d24fe484-66d8-442f-94b6-dd87f101c268/mukdahan/paradise-land-dispensary-weed-cannabis,,,weed_th,2026-05-24T04:33:44.832Z,"Chayangkun Rd, Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand",13
f11c80e9-7083-4744-bd3d-e0ee8f719fb0,thc here,Mukdahan,,084 600 2983,https://line.me/ti/p/Gc6KSHTGex,,8,7,high,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.1,,,,https://maps.google.com/?cid=5432601939410186116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJ2WUk0FTHPTERhG-kRK56ZEs,,https://weed.th/shop/f11c80e9-7083-4744-bd3d-e0ee8f719fb0/mukdahan/thc-here,,,weed_th,2026-05-03T23:02:01.791Z,"Mueang Mukdahan District, Mukdahan 49000, Thailand",9
a8f10f0d-ab54-4da1-977a-985f79e51844,ร้านกัญชาsweed dream cannabis,Mukdahan,,083 246 4367,https://www.facebook.com/profile.php?id=100025798443919&mibextid=LQQJ4d,,8,7,high,,Monday: 5:00 AM – 1:30 AM | Tuesday: 5:00 AM – 1:30 AM | Wednesday: 5:00 AM – 1:30 AM | Thursday: 5:00 AM – 1:30 AM | Friday: 5:00 AM – 1:30 AM | Saturday: 5:00 AM – 1:30 AM | Sunday: 5:00 AM – 1:30 AM,4.9,,,,https://maps.google.com/?cid=10955586071369322119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJNxPMbADHPTERh44vmnwPCpg,,https://weed.th/shop/a8f10f0d-ab54-4da1-977a-985f79e51844/mukdahan/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2sweed-dream-cannabis,,,weed_th,2026-05-24T04:19:10.748Z,"บ้านเลขที่7 ถนน ตาดแคน Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand",15
bf26b027-34c3-4b74-8274-9e14f51e0546,coco canabis,Mukdahan,,082 224 5255,https://www.facebook.com/profile.php?id=61556779507001,,8,7,high,,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,4.1,,,,https://maps.google.com/?cid=3437662136437481565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJawELqGPHPTERXaAq5H8HtS8,,https://weed.th/shop/bf26b027-34c3-4b74-8274-9e14f51e0546/mukdahan/coco-canabis,,,weed_th,2026-05-03T23:02:01.791Z,"Chayangkun Rd, Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand",13
cc1ab908-5b15-446c-b43f-d561b7463c7f,thc here,Mukdahan,,084 600 2983,https://line.me/ti/p/Gc6KSHTGex,,8,7,high,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.1,,,,https://maps.google.com/?cid=5432601939410186116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJ2WUk0FTHPTERhG-kRK56ZEs,,https://weed.th/shop/cc1ab908-5b15-446c-b43f-d561b7463c7f/mukdahan/thc-here,,,weed_th,2026-05-24T04:12:36.624Z,"Mueang Mukdahan District, Mukdahan 49000, Thailand",9
edf653d5-512f-49ee-b2fc-2a6ce5b6f94b,กาแล็กซี่ 420 แคนนาบิสชอป,Mukdahan,,097 038 5820,,,6,5,high,,Monday: 8:00 AM – 10:30 PM | Tuesday: 8:00 AM – 10:30 PM | Wednesday: 8:00 AM – 10:30 PM | Thursday: 8:00 AM – 10:30 PM | Friday: 8:00 AM – 10:30 PM | Saturday: 8:00 AM – 10:30 PM | Sunday: 8:00 AM – 12:30 PM,5,,,,https://maps.google.com/?cid=15135162529753231170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJgScciu3JPTERQm--myHmCtI,,https://weed.th/shop/edf653d5-512f-49ee-b2fc-2a6ce5b6f94b/mukdahan/%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B8%B5%E0%B9%88-420-%E0%B9%81%E0%B8%84%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%9A%E0%B8%B4%E0%B8%AA%E0%B8%8A%E0%B8%AD%E0%B8%9B,,,weed_th,2026-05-24T04:16:32.204Z,"197 Tambon Bang Sai Yai, Amphoe Mueang Mukdahan, Chang Wat Mukdahan 49000, Thailand",144
90a07bca-9548-4c7a-bdf6-21e2b364787f,คลีมาท์ ไท climat thai,Mukdahan,,081 988 0919,http://www.climatthai.com/,,5,5,low,,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,5,,,,https://maps.google.com/?cid=16918240925493551485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJnRjUuh7nPTERfeGELHyqyeo,,https://weed.th/shop/90a07bca-9548-4c7a-bdf6-21e2b364787f/mukdahan/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%A1%E0%B8%B2%E0%B8%97%E0%B9%8C-%E0%B9%84%E0%B8%97-climat-thai,,,weed_th,2026-05-24T04:14:43.235Z,"ตำบล นาตาล อำเภอ ดอนตาล มุกดาหาร 49120, Thailand",4
e66f8eac-3009-4ed3-8323-a927d5fc155a,high area cannabis shop,Mukdahan,,094 280 5553,,,4,4,high,,,1,,,,https://maps.google.com/?cid=17773378953341195018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJc8ZFEBXHPTERClNOnP25p_Y,,https://weed.th/shop/e66f8eac-3009-4ed3-8323-a927d5fc155a/mukdahan/high-area-cannabis-shop,,,weed_th,2026-05-24T04:38:09.548Z,"15 แนะนำโทรก่อนเข้ามานะครับ 16 ถนน ตาดแคน ซอย 3 ในเมือง เมือง Chang Wat Mukdahan 49000, Thailand",1
