source_id,name,city,address,google_phone,google_website,scraped_email,lead_score,lead_quality,google_match_confidence,opening_hours,google_hours,google_rating,latitude,tags,licensed,google_maps_uri,price_range,phone,review_count,google_place_id,longitude,detail_url,website,rating,source,lastmod,google_returned_address,google_user_ratings
e19aff54-28f8-46e2-a655-336a3d6f8a2a,finalae shop,Nonthaburi,,065 614 9690,https://www.bottomlesscoffeeroasters.com/,,10,9,high,,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 6:00 PM | Sunday: 7:00 AM – 6:00 PM,4.5,,,,https://maps.google.com/?cid=7059858127614796491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJ23rqocaE4jARy2Ii9Y-n-WE,,https://weed.th/shop/e19aff54-28f8-46e2-a655-336a3d6f8a2a/nonthaburi/finalae-shop,,,weed_th,2026-05-03T23:02:01.791Z,"19 14 หมู่ 1 Liang Muang Nonthaburi Rd, Tambon Bang Kraso, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi 11000, Thailand",1079
d791abbb-e091-4d1c-bb1f-e85ae39ec60e,sweed nonthaburi สวีด นนทบุรี,Nonthaburi,,02 005 5206,http://www.sweetpoppy.co.th/,contact@sweetpoppy.co.th,10,9,high,,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,4.4,,,,https://maps.google.com/?cid=2281695244914880398&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJu0uuZ3mF4jARjm_Zfrw1qh8,,https://weed.th/shop/d791abbb-e091-4d1c-bb1f-e85ae39ec60e/nonthaburi/sweed-nonthaburi-%E0%B8%AA%E0%B8%A7%E0%B8%B5%E0%B8%94-%E0%B8%99%E0%B8%99%E0%B8%97%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5,,,weed_th,2026-05-03T23:02:01.791Z,"90 10 Samakkhi Rd, Tambon Tha Sai, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi 11000, Thailand",631
3cb5d453-a99f-4601-b5ff-04d2520d0d50,get a cup ปาท่องโก๋ ซาลาเปา ปาท่องโก๋ยัดไส้ คลองถนน บางใหญ่ ใกล้เซ็นทรัลเวสเกต,Nonthaburi,,091 819 6281,https://lin.ee/1j5hP7ow,,9,8,high,,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,4.9,,,,https://maps.google.com/?cid=8850955580047021903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJT9BMZdiP4jART9d2pzTp1Ho,,https://weed.th/shop/3cb5d453-a99f-4601-b5ff-04d2520d0d50/nonthaburi/get-a-cup-%E0%B8%9B%E0%B8%B2%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%81%E0%B9%8B-%E0%B8%8B%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B8%B2-%E0%B8%9B%E0%B8%B2%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%81%E0%B9%8B%E0%B8%A2%E0%B8%B1%E0%B8%94%E0%B9%84%E0%B8%AA%E0%B9%89-%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%96%E0%B8%99%E0%B8%99-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%A5%E0%B9%80%E0%B8%A7%E0%B8%AA%E0%B9%80%E0%B8%81%E0%B8%95,,,weed_th,2026-05-24T04:37:18.359Z,"D99 ซ. คลองถนน Tambon Bang Rak Phatthana, Amphoe Bang Bua Thong, Chang Wat Nonthaburi 11110, Thailand",143
be5b05d1-a2ca-482b-8d71-2ef55cb0115b,adabs cannabis cafe,Nonthaburi,,098 859 9276,https://www.facebook.com/profile.php?id=100092270495568&mibextid=ZbWKwL,,9,8,high,,,5,,,,https://maps.google.com/?cid=7540947102768254982&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJO-6L83eD4jARBlCDsm_Tpmg,,https://weed.th/shop/be5b05d1-a2ca-482b-8d71-2ef55cb0115b/nonthaburi/adabs-cannabis-cafe,,,weed_th,2026-05-24T04:37:13.230Z,"WG7Q+JW7, Ban Mai, Pak Kret District, Nonthaburi 11120, Thailand",144
41d50ce8-e184-4262-8726-67a4131dbb99,24hr420,Nonthaburi,,02 969 0168,http://www.nonthaburipalace.com/,,9,8,high,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.1,,,,https://maps.google.com/?cid=12040093752912672621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJz63nT0Gb4jARbXfCJHoBF6c,,https://weed.th/shop/41d50ce8-e184-4262-8726-67a4131dbb99/nonthaburi/24hr420,,,weed_th,2026-05-24T04:36:31.933Z,"219 ถ. นนทบุรี Tambon Suan Yai, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi 11000, Thailand",765
00695e12-a9a6-41c4-878d-e3ecf0c2ad78,ร้านกัญชา street high cannabis อุปกรณ์ บ้องแก้ว ราคาปลีก ส่ง,Nonthaburi,,080 196 4402,https://lin.ee/nHTAUk0,,9,8,high,,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 9:00 AM – 3:00 AM | Saturday: 9:00 AM – 3:00 AM | Sunday: 9:00 AM – 3:00 AM,5,,,,https://maps.google.com/?cid=13153372388778295026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJf_k_u5aR4jAR8r6Pf38qirY,,https://weed.th/shop/00695e12-a9a6-41c4-878d-e3ecf0c2ad78/nonthaburi/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2-street-high-cannabis-%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C-%E0%B8%9A%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%9B%E0%B8%A5%E0%B8%B5%E0%B8%81-%E0%B8%AA%E0%B9%88%E0%B8%87,,,weed_th,2026-05-03T23:02:01.791Z,"51/49 Tambon Sao Thong Hin, Amphoe Bang Yai, Chang Wat Nonthaburi 11140, Thailand",104
9bd04bec-1032-4d29-bec4-953a7a92402b,get a cup ปาท่องโก๋ ซาลาเปา ปาท่องโก๋ยัดไส้ คลองถนน บางใหญ่ ใกล้เซ็นทรัลเวสเกต,Nonthaburi,,091 819 6281,https://lin.ee/1j5hP7ow,,9,8,high,,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,4.9,,,,https://maps.google.com/?cid=8850955580047021903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJT9BMZdiP4jART9d2pzTp1Ho,,https://weed.th/shop/9bd04bec-1032-4d29-bec4-953a7a92402b/nonthaburi/get-a-cup-%E0%B8%9B%E0%B8%B2%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%81%E0%B9%8B-%E0%B8%8B%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B8%B2-%E0%B8%9B%E0%B8%B2%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%81%E0%B9%8B%E0%B8%A2%E0%B8%B1%E0%B8%94%E0%B9%84%E0%B8%AA%E0%B9%89-%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%96%E0%B8%99%E0%B8%99-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%A5%E0%B9%80%E0%B8%A7%E0%B8%AA%E0%B9%80%E0%B8%81%E0%B8%95,,,weed_th,2026-05-24T04:34:28.112Z,"D99 ซ. คลองถนน Tambon Bang Rak Phatthana, Amphoe Bang Bua Thong, Chang Wat Nonthaburi 11110, Thailand",143
9155d358-e8b8-4998-833a-5a0a3e167d8a,ร้านกัญชาบ้องแก้ว street high,Nonthaburi,,080 196 4402,https://lin.ee/nHTAUk0,,9,8,high,,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 9:00 AM – 3:00 AM | Saturday: 9:00 AM – 3:00 AM | Sunday: 9:00 AM – 3:00 AM,5,,,,https://maps.google.com/?cid=13153372388778295026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJf_k_u5aR4jAR8r6Pf38qirY,,https://weed.th/shop/9155d358-e8b8-4998-833a-5a0a3e167d8a/nonthaburi/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7-street-high,,,weed_th,2026-05-24T04:33:12.491Z,"51/49 Tambon Sao Thong Hin, Amphoe Bang Yai, Chang Wat Nonthaburi 11140, Thailand",104
bc506a9c-34b2-4741-9ac0-9e38a6a1f62f,friendzone cannabis weed,Nonthaburi,,090 967 4177,https://line.me/ti/p/i7GQ6u0CgH,,9,8,high,,Monday: 11:00 AM – 3:00 AM | Tuesday: 11:00 AM – 3:00 AM | Wednesday: 11:00 AM – 3:00 AM | Thursday: 11:00 AM – 3:00 AM | Friday: 11:00 AM – 3:00 AM | Saturday: 11:00 AM – 3:00 AM | Sunday: 11:00 AM – 3:00 AM,5,,,,https://maps.google.com/?cid=4373681771631928660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJzby_4NKb4jARVOW4BmZwsjw,,https://weed.th/shop/bc506a9c-34b2-4741-9ac0-9e38a6a1f62f/nonthaburi/friendzone-cannabis-weed,,,weed_th,2026-05-24T04:25:56.263Z,"12 Tambon Bang Kruai, Amphoe Bang Kruai, Chang Wat Nonthaburi 11130, Thailand",197
c55c9e83-9ce0-4112-a8a1-32d7632580c6,bud candy house,Nonthaburi,,085 999 0431,http://facebook.com/Budcandyhouse,,9,8,high,,Monday: 4:00 PM – 2:00 AM | Tuesday: 4:00 PM – 2:00 AM | Wednesday: 4:00 PM – 2:00 AM | Thursday: 4:00 PM – 2:00 AM | Friday: 4:00 PM – 2:00 AM | Saturday: 4:00 PM – 2:00 AM | Sunday: 4:00 PM – 2:00 AM,5,,,,https://maps.google.com/?cid=8793883541494173125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJBwT0f7qb4jARxQ3qLn0mCno,,https://weed.th/shop/c55c9e83-9ce0-4112-a8a1-32d7632580c6/nonthaburi/bud-candy-house,,,weed_th,2026-05-24T04:22:37.911Z,"56 60 Moo7, Tambon Bang Kraso, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi 11000, Thailand",229
03a66006-1a47-4b5a-a6fb-41040ec74d2b,somtui shop,Nonthaburi,,092 027 1605,https://lin.ee/N56Pqaa,,9,8,high,,Monday: 7:00 AM – 4:00 AM | Tuesday: 7:00 AM – 4:00 AM | Wednesday: 7:00 AM – 4:00 AM | Thursday: 7:00 AM – 4:00 AM | Friday: 7:00 AM – 4:00 AM | Saturday: 7:00 AM – 4:00 AM | Sunday: 7:00 AM – 4:00 AM,5,,,,https://maps.google.com/?cid=16753296162579547204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJV7Xbff6b4jARRAR42xiqf-g,,https://weed.th/shop/03a66006-1a47-4b5a-a6fb-41040ec74d2b/nonthaburi/somtui-shop,,,weed_th,2026-05-24T04:20:07.012Z,"123 Soi Rewadee 5, Tambon Talat Kwan, เมือง Chang Wat Nonthaburi 11000, Thailand",457
