source_id,name,city,address,google_phone,google_website,scraped_email,lead_score,lead_quality,google_match_confidence,opening_hours,google_hours,google_rating,latitude,tags,licensed,google_maps_uri,price_range,phone,review_count,google_place_id,longitude,detail_url,website,rating,source,lastmod,google_returned_address,google_user_ratings
b994fb9e-a130-4112-a8f7-9f9bd9878151,ร้านอร่อยทุกอย่าง,Pathum Thani,,02 011 6341,https://comesanehomereceipecafe.shop/,comesanehomereceipecafe.shop@gmail.com,11,10,high,,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,4.5,,,,https://maps.google.com/?cid=201917210107548720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJtSnA7siA4jARMJR__qFazQI,,https://weed.th/shop/b994fb9e-a130-4112-a8f7-9f9bd9878151/pathum-thani/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B8%97%E0%B8%B8%E0%B8%81%E0%B8%AD%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87,,,weed_th,2026-05-03T23:02:01.791Z,"54 9 ถนนเทพบำรุง Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand",1664
ca0df91f-9541-4bbb-9c59-09fd7c8bea25,paul cannabis farm ฟาร์มกัญชา,Pathum Thani,,099 224 4420,https://solarfarm.me/,info@solarfarm.me,10,9,high,,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: Closed,5,,,,https://maps.google.com/?cid=15700120552337039119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJcd-wjQmBHTERD9_bpHUI4tk,,https://weed.th/shop/ca0df91f-9541-4bbb-9c59-09fd7c8bea25/pathum-thani/paul-cannabis-farm-%E0%B8%9F%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2,,,weed_th,2026-05-03T23:02:01.791Z,"16 A 17 คลองสี่ Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand",191
038b7a69-774e-4c50-a2c3-aa03145c11fb,highground cafe รังสิต มกรุงเทพ,Pathum Thani,,082 286 5101,https://highgroundofficial.com/,info@highgroundofficial.com,10,9,high,,Monday: 8:00 AM – 2:30 AM | Tuesday: 8:00 AM – 2:30 AM | Wednesday: 8:00 AM – 2:30 AM | Thursday: 8:00 AM – 2:30 AM | Friday: 8:00 AM – 2:30 AM | Saturday: 8:00 AM – 2:30 AM | Sunday: 8:00 AM – 2:30 AM,5,,,,https://maps.google.com/?cid=5683579636760481711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJFX9pbu-BHTERr4_AFZEh4E4,,https://weed.th/shop/038b7a69-774e-4c50-a2c3-aa03145c11fb/pathum-thani/highground-cafe-%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E,,,weed_th,2026-05-24T04:30:05.604Z,"92/12 Phahon Yothin Road, Tambon Khlong Nung, Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand",903
d8459e28-aba6-41cc-810f-a2c010b1d24f,solar farm thailand cannabis wholesaler and retailer ร้านกัญชาขายส่งปลีก,Pathum Thani,,099 224 4420,https://solarfarm.me/,info@solarfarm.me,10,9,high,,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: Closed,5,,,,https://maps.google.com/?cid=15700120552337039119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJcd-wjQmBHTERD9_bpHUI4tk,,https://weed.th/shop/d8459e28-aba6-41cc-810f-a2c010b1d24f/pathum-thani/solar-farm-thailand-cannabis-wholesaler-and-retailer-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%9B%E0%B8%A5%E0%B8%B5%E0%B8%81,,,weed_th,2026-05-24T04:22:06.031Z,"16 A 17 คลองสี่ Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand",191
a5eb7fd9-6918-4def-8d5d-a6ee81fa1ef9,cannabis drunks,Pathum Thani,,082 286 5101,https://highgroundofficial.com/,info@highgroundofficial.com,10,9,high,,Monday: 8:00 AM – 2:30 AM | Tuesday: 8:00 AM – 2:30 AM | Wednesday: 8:00 AM – 2:30 AM | Thursday: 8:00 AM – 2:30 AM | Friday: 8:00 AM – 2:30 AM | Saturday: 8:00 AM – 2:30 AM | Sunday: 8:00 AM – 2:30 AM,5,,,,https://maps.google.com/?cid=5683579636760481711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJFX9pbu-BHTERr4_AFZEh4E4,,https://weed.th/shop/a5eb7fd9-6918-4def-8d5d-a6ee81fa1ef9/pathum-thani/cannabis-drunks,,,weed_th,2026-05-03T23:02:01.791Z,"92/12 Phahon Yothin Road, Tambon Khlong Nung, Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand",903
36065b40-c1b2-41a2-b51d-f8fbae65234e,ฟาร์มกัญชา organic ปลีก ส่ง by420 team,Pathum Thani,,099 224 4420,https://solarfarm.me/,info@solarfarm.me,10,9,high,,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: Closed,5,,,,https://maps.google.com/?cid=15700120552337039119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJcd-wjQmBHTERD9_bpHUI4tk,,https://weed.th/shop/36065b40-c1b2-41a2-b51d-f8fbae65234e/pathum-thani/%E0%B8%9F%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2-organic-%E0%B8%9B%E0%B8%A5%E0%B8%B5%E0%B8%81-%E0%B8%AA%E0%B9%88%E0%B8%87-by420-team,,,weed_th,2026-05-03T23:02:01.791Z,"16 A 17 คลองสี่ Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand",191
4b710dbe-d378-4fcf-80fd-286f418f7823,ร้านstone farm cannabis,Pathum Thani,,099 224 4420,https://solarfarm.me/,info@solarfarm.me,10,9,high,,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: Closed,5,,,,https://maps.google.com/?cid=15700120552337039119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJcd-wjQmBHTERD9_bpHUI4tk,,https://weed.th/shop/4b710dbe-d378-4fcf-80fd-286f418f7823/pathum-thani/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99stone-farm-cannabis,,,weed_th,2026-05-03T23:02:01.791Z,"16 A 17 คลองสี่ Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand",191
141b6dbe-89d5-46d4-b685-14e0c73d7ab1,ยันเยิ้ม cafe,Pathum Thani,,092 358 5192,http://www.facebook.com/Threeiconic,,9,8,high,,Monday: 10:00 AM – 6:00 PM | Tuesday: 10:00 AM – 6:00 PM | Wednesday: Closed | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 6:00 PM,4.6,,,,https://maps.google.com/?cid=8557382465338353478&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJ34J1-ul5HTERRiemZQPuwXY,,https://weed.th/shop/141b6dbe-89d5-46d4-b685-14e0c73d7ab1/pathum-thani/%E0%B8%A2%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%A2%E0%B8%B4%E0%B9%89%E0%B8%A1-cafe,,,weed_th,2026-05-03T23:02:01.791Z,"16 10, Tambon Bueng Kham Phroi, Amphoe Lam Luk Ka, Chang Wat Pathum Thani 12150, Thailand",613
16c630e4-08ea-4278-89b0-83f37147253c,ร้านแว่นท็อปเจริญ สาขา นวนคร นครชัยวิลล่า 2 r3947,Pathum Thani,,02 147 5422,http://www.topcharoen.co.th/,info@topcharoen.co.th,9,8,high,,Monday: 9:30 AM – 7:30 PM | Tuesday: 9:30 AM – 7:30 PM | Wednesday: 9:30 AM – 7:30 PM | Thursday: 9:30 AM – 7:30 PM | Friday: 9:30 AM – 7:30 PM | Saturday: 9:30 AM – 7:30 PM | Sunday: 9:30 AM – 7:30 PM,5,,,,https://maps.google.com/?cid=13495050882697830511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJBQCOWgB_4jARb6AGKUcNSLs,,https://weed.th/shop/16c630e4-08ea-4278-89b0-83f37147253c/pathum-thani/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A7%E0%B9%88%E0%B8%99%E0%B8%97%E0%B9%87%E0%B8%AD%E0%B8%9B%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-%E0%B8%99%E0%B8%A7%E0%B8%99%E0%B8%84%E0%B8%A3-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A7%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%88%E0%B8%B2-2-r3947,,,weed_th,2026-05-24T04:36:04.649Z,"98/1 ล็อกที่1 รหัสไปรษณีย์ Tambon Khlong Nung, Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand",21
9c90b983-f604-493c-a2d4-d811cb814510,ร้านกัญชาใกล้ฉัน herb store ลำลูกกา คลอง4 weed near me cannabis dispensary,Pathum Thani,,098 269 3979,https://lin.ee/WBre0zQ,,9,8,high,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.9,,,,https://maps.google.com/?cid=7391990447051454051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJT-aOxwd9HTERYzaVqyWglWY,,https://weed.th/shop/9c90b983-f604-493c-a2d4-d811cb814510/pathum-thani/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%89%E0%B8%B1%E0%B8%99-herb-store-%E0%B8%A5%E0%B8%B3%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%81%E0%B8%B2-%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%874-weed-near-me-cannabis-dispensary,,,weed_th,2026-05-24T04:34:42.196Z,"29, 199 Ladsawai, Tambon Lat Sawai, Amphoe Lam Luk Ka, Chang Wat Pathum Thani 12150, Thailand",116
