source_id,name,city,address,google_phone,google_website,scraped_email,lead_score,lead_quality,google_match_confidence,opening_hours,google_hours,google_rating,latitude,tags,licensed,google_maps_uri,price_range,phone,review_count,google_place_id,longitude,detail_url,website,rating,source,lastmod,google_returned_address,google_user_ratings
524d2a09-66fa-43e5-9c29-cc3e9e08ccdd,green club_phuket oldtown,Phangnga,,081 538 2850,https://t.me/Greenclubphuketoldtown_113,,9,8,high,,Monday: 9:00 AM – 1:00 AM | Tuesday: 9:00 AM – 1:00 AM | Wednesday: 9:00 AM – 1:00 AM | Thursday: 9:00 AM – 1:00 AM | Friday: 9:00 AM – 1:00 AM | Saturday: 9:00 AM – 1:00 AM | Sunday: 9:00 AM – 1:00 AM,4.9,,,,https://maps.google.com/?cid=7131728234434154247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJF8ST_NYxUDARB08SMAv9-GI,,https://weed.th/shop/524d2a09-66fa-43e5-9c29-cc3e9e08ccdd/phangnga/green-club_phuket-oldtown,,,weed_th,2026-05-24T04:36:21.842Z,"113 Phangnga Rd, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",376
faf671a9-1141-4ccf-9b3f-7071f9b3e09c,kan eang,Phangnga,,083 173 1187,https://kaneang.com/,booking@kaneang-pier.com,9,8,low,,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,4.5,,,,https://maps.google.com/?cid=2178999198997124836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJVeTz_BovUDAR5JYVBjpcPR4,,https://weed.th/shop/faf671a9-1141-4ccf-9b3f-7071f9b3e09c/phangnga/kan-eang,,,weed_th,2026-05-03T23:02:01.791Z,"44 1 Tambon Rawai, Amphoe Mueang Phuket, Chang Wat Phuket 83130, Thailand",4883
e0130985-9373-4649-a284-6e5e5025b1b3,craftzman dispensary,Phangnga,,065 587 5420,https://linktr.ee/craftzman,,9,8,high,,Monday: 12:00 PM – 1:00 AM | Tuesday: 12:00 PM – 1:00 AM | Wednesday: 12:00 PM – 1:00 AM | Thursday: 12:00 PM – 1:00 AM | Friday: 12:00 PM – 1:00 AM | Saturday: 12:00 PM – 1:00 AM | Sunday: 12:00 PM – 1:00 AM,5,,,,https://maps.google.com/?cid=3755721258133930562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJyzfEx2szUDARQsJ06pUAHzQ,,https://weed.th/shop/e0130985-9373-4649-a284-6e5e5025b1b3/phangnga/craftzman-dispensary,,,weed_th,2026-05-24T04:33:56.533Z,"187, 4 Phangnga Rd, Talad Yai Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",164
4e1c278e-2b11-45d0-9c3c-6cf80569e673,buddies ao yon,Phangnga,,093 636 8830,http://www.grovephuket.com/,sales@themangrovephuket.com,9,8,low,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,4.7,,,,https://maps.google.com/?cid=17869141288525343382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJN4GwnRsvUDARlqrRv1Px-_c,,https://weed.th/shop/4e1c278e-2b11-45d0-9c3c-6cf80569e673/phangnga/buddies-ao-yon,,,weed_th,2026-05-03T23:02:01.791Z,"39 6, Tambon Wichit, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",1509
576afd2e-050d-48cf-9df9-75f8e43aee5f,weeden,Phangnga,,095 597 2308,https://weeden.club/our-shops/?utm_source=Google+map+profile&utm_medium=Gbp+website+link&utm_campaign=town_thalang_blue,"Brand/PR collaborations - kuanysh@weeden.club, Partnerships - category_manager@weeden.club, For Content Creator &amp; Influencer Collaborations - alina_imm@weeden.club",8,7,low,,Monday: 10:00 AM – 12:00 AM | Tuesday: 10:00 AM – 12:00 AM | Wednesday: 10:00 AM – 12:00 AM | Thursday: 10:00 AM – 12:00 AM | Friday: 10:00 AM – 12:00 AM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 12:00 AM,4.9,,,,https://maps.google.com/?cid=12970037905122398311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJeTAaymExUDARZxAsqsHU_rM,,https://weed.th/shop/576afd2e-050d-48cf-9df9-75f8e43aee5f/phangnga/weeden,,,weed_th,2026-05-24T04:36:50.637Z,"113 Thanon Talang, Tambon Talat Yai, Mueang, Chang Wat Phuket 83000, Thailand",490
382af565-08d2-450f-8289-ce6734b48695,greenhead clinic กรีนเฮด คลินิกการแพทย์แผนไทย,Phangnga,,088 891 9149,https://www.greenheadclinic.com/,info@greenheadclinic.com,8,7,low,,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: 10:00 AM – 8:00 PM,4.9,,,,https://maps.google.com/?cid=8427745516895244366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJr_fgkfAxUDARTpDuP-Vd9XQ,,https://weed.th/shop/382af565-08d2-450f-8289-ce6734b48695/phangnga/greenhead-clinic-%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%99%E0%B9%80%E0%B8%AE%E0%B8%94-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B9%81%E0%B8%9C%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A2,,,weed_th,2026-05-24T04:32:53.474Z,"88 Yaowarad Rd, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",324
e50c9f36-d8cc-4c28-9af4-924cb8c25ece,the stoner,Chang Wat Phang Nga,,076 427 900,https://www.sarojin.com/?utm_source=GMBsarojin&utm_medium=organic,info@sarojin.com,8,7,low,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.8,,,,https://maps.google.com/?cid=17304579557239770794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJPxSg32buUDARqk7DeGw3JvA,,https://weed.th/shop/e50c9f36-d8cc-4c28-9af4-924cb8c25ece/chang-wat-phang-nga/the-stoner,,,weed_th,2026-05-24T04:28:43.131Z,"60, Tambon Khuekkhak, Amphoe Takua Pa, Chang Wat Phang-nga 82220, Thailand",684
e6e8bd92-d8df-4d72-9872-b764014feb16,weeden,Phangnga,,095 597 2308,https://weeden.club/our-shops/?utm_source=Google+map+profile&utm_medium=Gbp+website+link&utm_campaign=town_thalang_blue,"Brand/PR collaborations - kuanysh@weeden.club, Partnerships - category_manager@weeden.club, For Content Creator &amp; Influencer Collaborations - alina_imm@weeden.club",8,7,low,,Monday: 10:00 AM – 12:00 AM | Tuesday: 10:00 AM – 12:00 AM | Wednesday: 10:00 AM – 12:00 AM | Thursday: 10:00 AM – 12:00 AM | Friday: 10:00 AM – 12:00 AM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 12:00 AM,4.9,,,,https://maps.google.com/?cid=12970037905122398311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJeTAaymExUDARZxAsqsHU_rM,,https://weed.th/shop/e6e8bd92-d8df-4d72-9872-b764014feb16/phangnga/weeden,,,weed_th,2026-05-24T04:26:53.958Z,"113 Thanon Talang, Tambon Talat Yai, Mueang, Chang Wat Phuket 83000, Thailand",490
593457c0-0e54-48c4-aa2b-47b2ba54b7f6,exotic high land,Phangnga,,088 379 9377,http://exoticfishingthailand.com/,reservations@exoticfishingthailand.com,8,7,low,,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,4.6,,,,https://maps.google.com/?cid=4227727706842690303&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJMzO8l-QDUTAR_3JvLfPnqzo,,https://weed.th/shop/593457c0-0e54-48c4-aa2b-47b2ba54b7f6/phangnga/exotic-high-land,,,weed_th,2026-05-24T04:18:16.866Z,"Unnamed Rd, ตำบล บางเตย อำเภอเมืองพังงา พังงา 82000, Thailand",293
0d9dde2a-13bd-4167-b063-577af34971e8,green ghost best degen weed shop and delivery,Phangnga,,087 420 1144,https://green.gd/,contact@green.gd,8,7,low,,Monday: 10:00 AM – 12:00 AM | Tuesday: 10:00 AM – 12:00 AM | Wednesday: 10:00 AM – 12:00 AM | Thursday: 10:00 AM – 12:00 AM | Friday: 10:00 AM – 12:00 AM | Saturday: 4:00 PM – 12:00 AM | Sunday: 4:00 PM – 12:00 AM,5,,,,https://maps.google.com/?cid=11646904496133745539&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJ9X7rz9YvUDARg6vzaO4doqE,,https://weed.th/shop/0d9dde2a-13bd-4167-b063-577af34971e8/phangnga/green-ghost-best-degen-weed-shop-and-delivery,,,weed_th,2026-05-24T04:17:14.177Z,"26, 19 Wiset Rd, Tambon Rawai, Amphoe Mueang Phuket, Chang Wat Phuket 83130, Thailand",147
