source_id,name,city,address,google_phone,google_website,scraped_email,lead_score,lead_quality,google_match_confidence,opening_hours,google_hours,google_rating,latitude,tags,licensed,google_maps_uri,price_range,phone,review_count,google_place_id,longitude,detail_url,website,rating,source,lastmod,google_returned_address,google_user_ratings
a7eae226-5995-4347-bde5-b61f41c71727,ร้าน cannabis hunter shop สหาย ตาหวาน,Sing Buri,,092 796 0478,https://www.facebook.com/shay.tahwan.624835?mibextid=ZbWKwL,,7,6,high,,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,5,,,,https://maps.google.com/?cid=14196209305816912420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJIXSuFQDt4TARJNJPHiYRA8U,,https://weed.th/shop/a7eae226-5995-4347-bde5-b61f41c71727/sing-buri/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-cannabis-hunter-shop-%E0%B8%AA%E0%B8%AB%E0%B8%B2%E0%B8%A2-%E0%B8%95%E0%B8%B2%E0%B8%AB%E0%B8%A7%E0%B8%B2%E0%B8%99,,,weed_th,2026-05-24T04:36:05.020Z,"48 4 Tambon Huai Chan, Amphoe In Buri, Chang Wat Sing Buri 16110, Thailand",2
fb63e12a-ca94-4c82-bbc0-a60c45e86913,smile ghost shop 420,Sing Buri,,092 794 0150,https://www.facebook.com/profile.php?id=61551572864757,,7,6,high,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,5,,,,https://maps.google.com/?cid=14252225121205915477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJYy0FhGAD4jARVY9geDwTysU,,https://weed.th/shop/fb63e12a-ca94-4c82-bbc0-a60c45e86913/sing-buri/smile-ghost-shop-420,,,weed_th,2026-05-24T04:37:21.194Z,"305 Tambon Bang Nam Chiao, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand",7
d33c03db-f6b1-41c3-aa36-b963b7cf381b,budtrainer in singburi,Sing Buri,,086 409 0453,,,4,4,high,,Monday: 1:00 – 9:00 PM | Tuesday: 1:00 – 9:00 PM | Wednesday: 1:00 – 9:00 PM | Thursday: 1:00 – 9:00 PM | Friday: Closed | Saturday: Closed | Sunday: Closed,5,,,,https://maps.google.com/?cid=2448049579455973776&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJyy3W5qvx4TARkIkESB84-SE,,https://weed.th/shop/d33c03db-f6b1-41c3-aa36-b963b7cf381b/sing-buri/budtrainer-in-singburi,,,weed_th,2026-05-05T20:29:34.321Z,"78 Tambon Ton Pho, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand",5
0058c52a-4420-4c8b-b92a-a35bdab8f912,กินกูมิ กินกัญไหม,Sing Buri,,096 405 8859,,,4,4,high,,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: 8:00 AM – 7:00 PM,,,,,https://maps.google.com/?cid=3854367735306795945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJF2Vk1oTx4TARqTuwsAh3fTU,,https://weed.th/shop/0058c52a-4420-4c8b-b92a-a35bdab8f912/sing-buri/%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B8%81%E0%B8%B9%E0%B8%A1%E0%B8%B4-%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B9%84%E0%B8%AB%E0%B8%A1,,,weed_th,2026-05-03T23:02:01.791Z,"888 19 ถนน Si Phrom Sophit, Tambon Bang Phutsa, เมือง Chang Wat Sing Buri 16000, Thailand",
5145c308-ed4e-4308-8f91-da3e3b2e7bff,guncham cannabis shop,Sing Buri,,,,,3,3,high,,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,5,,,,https://maps.google.com/?cid=13489506515199452268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJJ7OnBgD34TARbOTHgbRaNLs,,https://weed.th/shop/5145c308-ed4e-4308-8f91-da3e3b2e7bff/sing-buri/guncham-cannabis-shop,,,weed_th,2026-05-05T20:30:05.884Z,"64 Tambon Tha Kham, Amphoe Khai Bang Rachan, Chang Wat Sing Buri 16150, Thailand",9
0e18131e-6294-4a6d-8b95-0cbcc61ef871,exit420 dispensary ร้านกัญชา singburi,Sing Buri,,,,,3,3,high,,,5,,,,https://maps.google.com/?cid=18436895945180460198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJlZEZsF7x4TARpjRS5S0D3f8,,https://weed.th/shop/0e18131e-6294-4a6d-8b95-0cbcc61ef871/sing-buri/exit420-dispensary-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2-singburi,,,weed_th,2026-05-24T04:27:57.141Z,"190 Exit420 Dispensary Tambon In Buri, Amphoe In Buri, Chang Wat Sing Buri 16110, Thailand",44
da96a223-3730-4521-8223-17d11809cb2b,ร้านกัญชาใกล้ฉัน lung fang canabis shop 420,Sing Buri,,090 976 6848,,,3,3,low,,Monday: 8:00 AM – 4:00 AM | Tuesday: 8:00 AM – 4:00 AM | Wednesday: 8:00 AM – 4:00 AM | Thursday: 8:00 AM – 4:00 AM | Friday: 8:00 AM – 4:00 AM | Saturday: 8:00 AM – 4:00 AM | Sunday: 8:00 AM – 4:00 AM,4.9,,,,https://maps.google.com/?cid=1016353256087213544&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJQXx8AfudIzER6NVjy-bPGg4,,https://weed.th/shop/da96a223-3730-4521-8223-17d11809cb2b/sing-buri/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%89%E0%B8%B1%E0%B8%99-lung-fang-canabis-shop-420,,,weed_th,2026-05-24T04:23:03.208Z,"เลขที่ 476 Soi Jintakarm, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",27
ad3b2343-3ba1-4eeb-92b0-6d852ddc01b7,หจกเอกผ้าใบ,Sing Buri,,,,,2,2,high,,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: Closed,5,,,,https://maps.google.com/?cid=8231994438425798786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJ88tkeKv34TARgmhcp1PrPXI,,https://weed.th/shop/ad3b2343-3ba1-4eeb-92b0-6d852ddc01b7/sing-buri/%E0%B8%AB%E0%B8%88%E0%B8%81%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%83%E0%B8%9A,,,weed_th,2026-05-24T04:37:30.502Z,"เลขที่ 1/17 หมู่ 6 ต้นโพธิ์ Tambon Ton Pho, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand",4
d0fb2a1e-2cc9-452f-b675-715ef495cea0,sme water cannabis thailand,Sing Buri,,,,,2,2,high,,,,,,,https://maps.google.com/?cid=14353374739145459766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,ChIJXQNNDwD54TARNojUHkduMcc,,https://weed.th/shop/d0fb2a1e-2cc9-452f-b675-715ef495cea0/sing-buri/sme-water-cannabis-thailand,,,weed_th,2026-05-03T23:02:01.791Z,"279 4, Tambon Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16160, Thailand",
521f165e-5bfa-4037-a654-3c82d95b62b7,new story weed coffee,Sing Buri,,,,,0,0,no_result,,,,,,,,,,,,,https://weed.th/shop/521f165e-5bfa-4037-a654-3c82d95b62b7/sing-buri/new-story-weed-coffee,,,weed_th,2026-05-03T23:02:01.791Z,,
