source,source_id,name,city,address,latitude,longitude,phone,website,rating,review_count,opening_hours,price_range,tags,licensed,detail_url,lastmod,google_place_id,google_phone,google_website,google_hours,google_rating,google_user_ratings,google_maps_uri,google_returned_address,google_match_confidence
weed_th,8e205b43-3366-4400-8ace-83cfc48c1ed3,กัญชาห้วยหลวง cannabis,Udon Thani,"8MP6+P43 แยกไฟแดงเขื่อนห้วยหลวง / ตลาดกม.16 Tambon Khok Sa-at, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",,,,,5.0,11,,,,,https://weed.th/shop/8e205b43-3366-4400-8ace-83cfc48c1ed3/udon-thani/%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2%E0%B8%AB%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87-cannabis,2026-05-24T04:16:40.707Z,ChIJkd9PUACZIzERczQaHELaRqw,064 556 0282,https://www.facebook.com/nickyzan?mibextid=ZbWKwL,Monday: 7:30 AM – 9:00 PM | Tuesday: 7:30 AM – 9:00 PM | Wednesday: 7:30 AM – 9:00 PM | Thursday: 7:30 AM – 9:00 PM | Friday: 7:30 AM – 9:00 PM | Saturday: 7:30 AM – 9:00 PM | Sunday: 7:30 AM – 9:00 PM,5,10,https://maps.google.com/?cid=12413849400367527027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"แยกไฟแดงเขื่อนห้วยหลวง / ตลาดกม.16 Tambon Khok Sa-at, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",high
weed_th,b40174da-3801-448d-9f89-19e0bfa68a19,กัญ&amp;กัญ,Udon Thani,"652 4, Tambon Ban Phue, Amphoe Ban Phue, Chang Wat Udon Thani 41160, Thailand",,,,,5.0,6,,,,,https://weed.th/shop/b40174da-3801-448d-9f89-19e0bfa68a19/udon-thani/%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%81%E0%B8%B1%E0%B8%8D,2026-05-24T04:18:02.859Z,ChIJ94j5vA91JDERQ2Qim1j4c6s,091 725 4800,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,4.8,6,https://maps.google.com/?cid=12354491262250935363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"652 4, Tambon Ban Phue, Amphoe Ban Phue, Chang Wat Udon Thani 41160, Thailand",high
weed_th,f02dcd5c-5600-4857-a230-df7e00f47f39,ยัยตาแคคตัส,Udon Thani,,,,,,,,,,,,https://weed.th/shop/f02dcd5c-5600-4857-a230-df7e00f47f39/udon-thani/%E0%B8%A2%E0%B8%B1%E0%B8%A2%E0%B8%95%E0%B8%B2%E0%B9%81%E0%B8%84%E0%B8%84%E0%B8%95%E0%B8%B1%E0%B8%AA,2026-05-03T23:02:01.791Z,ChIJ4y3mEY6dIzER58CwujLxbDs,091 835 0535,http://www.cactas.com/,,,,https://maps.google.com/?cid=4282062545905303783&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"25 (บ้านโสรมรรค) ซอยศรีสุข ม.7 บ้านบ่อน้ำ Tambon Mu Mon, เมือง Chang Wat Udon Thani 41000, Thailand",high
weed_th,91f833e3-fc12-41be-a052-d33e639a3239,ร้านเพื่อนกัญ 420,Udon Thani,"52 Tambon Kumphawapi, Amphoe Kumphawapi, Chang Wat Udon Thani 41110, Thailand",,,,,5.0,6,,,,,https://weed.th/shop/91f833e3-fc12-41be-a052-d33e639a3239/udon-thani/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D-420,2026-05-24T04:36:52.883Z,ChIJiY8WzgERIzERspuIne-q-qU,093 418 5652,,Monday: 7:00 AM – 10:30 PM | Tuesday: 7:00 AM – 10:30 PM | Wednesday: 7:00 AM – 10:30 PM | Thursday: 7:00 AM – 10:30 PM | Friday: 7:00 AM – 10:30 PM | Saturday: 7:00 AM – 10:30 PM | Sunday: 7:00 AM – 10:30 PM,4.7,6,https://maps.google.com/?cid=11960059706552654770&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"52 Tambon Kumphawapi, Amphoe Kumphawapi, Chang Wat Udon Thani 41110, Thailand",high
weed_th,8d6b039d-a3e9-4935-a9ea-69c6a6bd44fb,420 Doggie Weed,Udon Thani,"บ้านเลื่อม ซ.แสงทอง Tambon Ban Lueam, เมือง Chang Wat Udon Thani 41000, Thailand",,,,,5.0,1,,,,,https://weed.th/shop/8d6b039d-a3e9-4935-a9ea-69c6a6bd44fb/udon-thani/420-doggie-weed,2026-05-24T04:36:36.580Z,ChIJ35ELf-OdIzERVrqDQpU7cA4,,https://udfweed.com/,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,5,440,https://maps.google.com/?cid=1040397026174679638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"299 Pajaksinlapacom Rd, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",high
weed_th,359f1ff0-111e-40f1-95c4-5f1cb30a3fde,SuaiShop Cannabis Store,Udon Thani,"22 3 Sumpuntamit Road, Tambon Mak Khaeng, เมือง Chang Wat Udon Thani 41000, Thailand",,,,,5.0,6,,,,,https://weed.th/shop/359f1ff0-111e-40f1-95c4-5f1cb30a3fde/udon-thani/suaishop-cannabis-store,2026-05-24T04:36:34.143Z,ChIJf9aDL_ydIzERLJ_X2t99R0Y,094 386 1708,,Monday: 9:00 AM – 1:00 AM | Tuesday: 9:00 AM – 1:00 AM | Wednesday: 9:00 AM – 1:00 AM | Thursday: 9:00 AM – 1:00 AM | Friday: 9:00 AM – 1:00 AM | Saturday: 9:00 AM – 1:00 AM | Sunday: 9:00 AM – 1:00 AM,5,6,https://maps.google.com/?cid=5064154706404155180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"20 Sumpuntamit Road, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",high
weed_th,2e032c23-3bef-40db-afa3-9108ffa1799c,KPH FARM วังสามหมอ,Udon Thani,"509 ม.9 วังสามหมอ Tambon Wang Sam Mo, Amphoe Wang Sam Mo, Chang Wat Udon Thani 41280, Thailand",,,,,4.8,8,,,,,https://weed.th/shop/2e032c23-3bef-40db-afa3-9108ffa1799c/udon-thani/kph-farm-%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A1%E0%B8%AD,2026-05-24T04:36:09.195Z,ChIJn7lCFZcvIzERmp4WGRmEHO8,095 196 5369,https://www.facebook.com/profile.php?id=100083320691276,Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:30 AM – 11:00 PM | Saturday: 8:30 AM – 11:00 PM | Sunday: 8:30 AM – 11:00 PM,4,4,https://maps.google.com/?cid=17229791517742636698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"509 ม.9 วังสามหมอ Tambon Wang Sam Mo, Amphoe Wang Sam Mo, Chang Wat Udon Thani 41280, Thailand",high
weed_th,8df7088d-96e7-43f9-a110-185d3e7f4700,FordRasta Cannabis SHOP / จำหน่าย กัญชาอุดร ซ.ยูคอร์น ก่อนถึงทางรถไฟ,Udon Thani,"101 ก่อนถึงทางรถไฟ ซ.ยูคอร์น สามแยก โรงแรม เดอะรูม 4 Ruamjit Rd, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",,,,,5.0,4,,,,,https://weed.th/shop/8df7088d-96e7-43f9-a110-185d3e7f4700/udon-thani/fordrasta-cannabis-shop-%E0%B8%88%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B9%88%E0%B8%B2%E0%B8%A2-%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A3-%E0%B8%8B%E0%B8%A2%E0%B8%B9%E0%B8%84%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%99-%E0%B8%81%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B8%96%E0%B8%B6%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%A3%E0%B8%96%E0%B9%84%E0%B8%9F,2026-05-24T04:36:03.500Z,ChIJQU1luuSdIzERNaCDc3K3Ddo,093 026 3481,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,5,4,https://maps.google.com/?cid=15712416377157689397&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"101/4 ซ.ยูคอร์น สามแยก โรงแรม เดอะรูม ก่อนถึงทางรถไฟ ถ Samittayothin, Tambon Nong Khon Kwang, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",high
weed_th,f1211bfc-a442-421b-b165-b0dbb9b105b5,วาฬWhale Milk Tea-สาขาอุดรธานี,Udon Thani,"35 3 Thanon Thahan, Tambon Mak Khaeng, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",,,,,4.3,18,,,,,https://weed.th/shop/f1211bfc-a442-421b-b165-b0dbb9b105b5/udon-thani/%E0%B8%A7%E0%B8%B2%E0%B8%ACwhale-milk-tea-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A3%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,2026-05-03T23:02:01.791Z,ChIJdRCGJnGdIzERkmV6v7jeKUE,084 411 1451,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,,,https://maps.google.com/?cid=4695528971578271122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"35 3 Thanon Thahan, Tambon Mak Khaeng, เมือง Chang Wat Udon Thani 41000, Thailand",high
weed_th,24755b94-e4af-4a26-8980-f69651841248,Greenlab cannabis ud,Udon Thani,"148 5 หมากแข้ง Tambon Chiang Phin, เมือง Chang Wat Udon Thani 41000, Thailand",,,,,5.0,11,,,,,https://weed.th/shop/24755b94-e4af-4a26-8980-f69651841248/udon-thani/greenlab-cannabis-ud,2026-05-24T04:35:51.915Z,ChIJKUc_plSdIzERIZJ8CfouCrg,095 182 4203,https://www.facebook.com/share/1BxER7NaLY/?mibextid=wwXIfr,Monday: 10:00 AM – 12:00 AM | Tuesday: 10:00 AM – 12:00 AM | Wednesday: 10:00 AM – 12:00 AM | Thursday: 10:00 AM – 12:00 AM | Friday: 10:00 AM – 12:00 AM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 12:00 AM,5,10,https://maps.google.com/?cid=13261463704181707297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"148/5, Tambon Chiang Phin, Amphoe Mueang Udon Thani, Chang Wat Udon Thani 41000, Thailand",high
