timestamp,city,venue,outcome,has_phone,has_fb,has_address,n_fields,query
2026-05-31T17:21:06+00:00,Udon Thani,Irish Clock,hit,1,1,1,5,Irish Clock Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The Red Lion,partial,0,1,1,2,The Red Lion Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Major Cineplex CentralPlaza Udonthani,hit,1,1,1,4,Major Cineplex CentralPlaza Udonthani Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Full Throttle Bar & Grill,hit,1,1,1,4,Full Throttle Bar & Grill Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Nutty Park,partial,0,0,1,1,Nutty Park Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Vikings Corner Bar,hit,1,1,1,3,Vikings Corner Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Nuchy Music Bar,hit,1,1,1,3,Nuchy Music Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Pegasus Bar,hit,1,1,1,4,Pegasus Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Fun Bar,hit,1,1,1,3,Fun Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Tinder Bar,partial,0,1,1,2,Tinder Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Tipsy Music & Bar,hit,1,1,1,3,Tipsy Music & Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Smile Bar - Udonthani,hit,1,1,1,3,Smile Bar - Udonthani Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Zur Pfalz,partial,0,1,1,2,Zur Pfalz Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Piddle K Pub,partial,0,1,1,2,Piddle K Pub Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Blue Coral Bar,partial,0,1,1,2,Blue Coral Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Meeting Point,partial,0,1,1,2,Meeting Point Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Honey Bar 1,hit,1,1,1,3,Honey Bar 1 Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,B&C Bar,partial,0,1,1,2,B&C Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The Library,partial,0,1,1,2,The Library Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Red Bar,partial,0,1,1,2,Red Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Country Road,partial,0,1,1,2,Country Road Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,SF Cinema City (Landmark Plaza Udonthani),hit,1,1,1,5,SF Cinema City (Landmark Plaza Udonthani) Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,E.G.V Cinemas (Big C Udonthani),hit,1,1,1,3,E.G.V Cinemas (Big C Udonthani) Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Tawandang Udon Thani,hit,1,1,1,3,Tawandang Udon Thani Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,UD Town,hit,1,1,1,3,UD Town Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Rhythm & Bar Udon,hit,1,1,1,3,Rhythm & Bar Udon Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,FIX Club Udon,hit,1,1,1,3,FIX Club Udon Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Night Club Phoenix,partial,0,0,1,1,Night Club Phoenix Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The Lucky Bar Udon Thani,hit,1,1,1,3,The Lucky Bar Udon Thani Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Liquid Bar,partial,0,1,1,2,Liquid Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Elite Udonthani,partial,0,1,1,3,Elite Udonthani Udon Thani phone address facebook
