name,venue_type,phone,email,website,facebook,instagram,line,address,city,province,note,source
Irish Clock,bar,+66 42 247 450,happy@irishclockudon.com,https://irishclockudon.com/,https://www.facebook.com/p/Irish-Clock-100063708183515/,,,"19/5-6 Sampantamitr Road, Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
The Red Lion,bar,,,,https://www.facebook.com/p/Redlion-UdonThani-100063594729484/,,,"Tambon Mak Khaeng, Mueang Udon Thani District, Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Major Cineplex CentralPlaza Udonthani,bar,+66 2 515 5555,,https://www.majorcineplex.com,https://www.facebook.com/MajorcineplexUdonthani/,,,"277/3 Prajaksinlapakom Rd, CentralPlaza Udonthani 5th Fl, Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Full Throttle Bar & Grill,bar,+66 82 950 1438,yanidaburns@gmail.com,,https://www.facebook.com/profile.php?id=100057360583423,,,"44/2 Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Nutty Park,bar,,,,,,,"Prajak Sillapakom Rd, Tambon Mak Khaeng, Mueang Udon Thani, 41000",Udon Thani,Udon Thani,bar complex (multiple venues),web-search 2026-05 (manual enrichment)
Vikings Corner Bar,bar,+66 90 185 8721,,,https://www.facebook.com/p/Vikings-Corner-Bar-100054203604232/,,,"Adunyadet Road (end of Soi Sampan), Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Nuchy Music Bar,bar,+66 62 293 6512,,,https://www.facebook.com/people/Nuchy-Music-Bar/100083083762979/,,,"Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",Udon Thani,Udon Thani,PERMANENTLY CLOSED,web-search 2026-05 (manual enrichment)
Pegasus Bar,bar,+66 65 406 7014,pegasusbarudonthani@gmail.com,,https://www.facebook.com/p/Pegasus-bar-Udon-Thani-100076165359451/,,,"17/2 Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Fun Bar,bar,+66 93 334 1171,,,https://www.facebook.com/FunBarUdon/,,,"Sampantamit Road, Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Tinder Bar,bar,,,,https://www.facebook.com/Udontinderbar/,,,Udon Thani,Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Tipsy Music & Bar,bar,+66 64 557 4445,,,https://www.facebook.com/TipsymusicbarUD/,,,"22/3 Si Sattha Rd, Tambon Mak Khaeng, Udon Thani 41000",Udon Thani,Udon Thani,bonus find (not in worklist),web-search 2026-05 (manual enrichment)
Smile Bar - Udonthani,bar,+66 99 295 6351,,,https://www.facebook.com/p/Smile-Bar-Udonthani-100080447971458/,,,"187/7 Tambon Ban Lueam, Mueang Udon Thani 41000",Udon Thani,Udon Thani,,web-search 2026-05 (manual enrichment)
Zur Pfalz,bar,,,,https://www.facebook.com/zurpfalz.udonthani.1,,,"4555 Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",Udon Thani,Udon Thani,German restaurant/bar,web-search 2026-05 (manual enrichment)
