src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
wongnai:82818Qq,osm:1584460312,wongnai+osm,Cafe des Amis,คาเฟ่เดสอมิส,CAFE' DES AMIS,กึ่งผับ/ร้านเหล้า/บาร์,กึ่งผับ/ร้านเหล้า/บาร์,True,12.913563,100.87184,,,+66 84 0264989;+66 90 7729993,http://cafedesamispattaya.com/,info@cafedesamispattaya.com,กึ่งผับ/ร้านเหล้า/บาร์|อาหารไทย|อาหารฟิวชั่น,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/82818Qq
wongnai:481459hZ,osm:13098251133,wongnai+osm,One Day Esthetic,One Day Esthetic,One Day Esthetic,คาเฟ่,คาเฟ่,True,12.945626,100.909798,,"Nong Yai 6, เมืองพัทยา, บางละมุง, ชลบุรี, 20150",+66 95 646 2490,https://onedayesthetic.com/,onedayesthetic@gmail.com,คาเฟ่,cafe,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/481459hZ
wongnai:820424zW,osm:2031791281,wongnai+osm,Sea Falcon Beachside Cafe and Restaurant,,,ร้านริมน้ำ,ร้านริมน้ำ,True,12.852347,100.899709,,,+66 38 255211,http://www.pattayaseafalcon.com/,seafalcon_pattaya@hotmail.com,ร้านริมน้ำ|อาหารทะเล|ร้านกาแฟ/ชา,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/820424zW
wongnai:180593pD,osm:3259747504,wongnai+osm,Patrick's Steakhouse Pattaya,แพทริคส์ สเต็กเฮ้าส์ พัทยา,Patrick's Steakhouse Pattaya,สเต๊ก,สเต๊ก,True,12.930724,100.8821563,20150,,+66 38 720300;+66 81 6872410,https://www.patricksrestopattaya.com/,patricksrestopattaya@gmail.com,สเต๊ก|ร้านไวน์|อาหารฝรั่งเศส,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/180593pD
osm:301331693,,osm,Sandy Spring Hotel,,,hotel,hotel,False,12.9307015,100.8798905,,,+66 38 414752,http://www.sandyspringhotel.com/,info@sandyspringhotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:301775267,,osm,Riviera Beach,,,guest_house,guest_house,False,12.9296609,100.8795737,,,+66 38 429623,http://rivierabeach.be/,riviera.beach@yahoo.fr,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:303896291,,osm,P.72 Hotel,,,guest_house,guest_house,False,12.9261066,100.8732141,,,+66 38 429291,https://www.p72hotel.com/,p72hotel@thepattayacity.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:415291974,,osm,Sanya Apartments,,,guest_house,guest_house,False,12.9248203,100.8805684,,,+66 33 671483,https://www.sanya-apartments.com/,Sanya.apartments@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:423747049,,osm,Jomtien Garden,,,hotel,hotel,False,12.893089,100.8727288,,,+66 38 756523,https://www.jomtiengarden.com/,reservation@jomtiengarden.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1463832605,,osm,Nightstar,,,guest_house,guest_house,False,12.9262207,100.8747252,,,+66 38 710716,https://www.sanya-nightstar.com/,Sanya.Nightstar@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1557058005,,osm,Armageddon,,,guest_house,guest_house,False,12.929907,100.8851698,,,+66 38 720729,http://www.armageddonbar.com/,info@armageddonbar.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1560362829,,osm,Two Lions Pub,,,pub,pub,True,12.9345499,100.8901157,,,+66 38 720986,http://twolionsrestaurant.com/,info@twolionsrestaurant.com,,pub,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1572477702,,osm,Chan Resort,,,guest_house,guest_house,False,12.9103236,100.8743861,,Pattaya,+66 38 050128;+66 83 0030831,https://www.chanresort.com/,ChanResort@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1572477723,,osm,Baan Souy Resort,,,guest_house,guest_house,False,12.9116638,100.871052,,,+66 38 364580;+66 80 8321383,https://www.baansouy.com/,info@baansouy.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1592534374,,osm,The Venue,,,guest_house,guest_house,False,12.9015021,100.8684171,,"413/24-28, Thapparaya Road, 20150",+66 38 303787,http://www.thevenuejomtien.com/home.php,thevenuejomtienpattaya@hotmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1598745131,,osm,Thai Thong Villa,,,guest_house,guest_house,False,12.9558894,100.8914842,,,+66 38 370939,http://www.thaithongvilla.com/,Reservation@Thaithongvilla.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1602059396,,osm,Berliner Eck,,,guest_house,guest_house,False,12.8977115,100.8698543,,,+66 81 2963360,https://berlinereckpattaya.de.tl/,berlinereck@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1603306793,,osm,Opal House,,,guest_house,guest_house,False,12.8956468,100.8700622,,,+66 38 231557,https://www.opalhousepattaya.com/,info@opalhousepattaya.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1603325139,,osm,Golden Inn,,,guest_house,guest_house,False,12.8975071,100.8724561,,,+66 89 2523805;+66 89 0953226,http://www.jomtiengoldeninn.com,Info@jomtiengoldeninn.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1837350852,,osm,The Lion Pub,,,pub,pub,True,12.9139593,100.8806996,,,+66 38 301030,http://www.lionpubpattaya.com/,info@lionpubpattaya.com,,pub,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1837350853,,osm,Liberty Mansion,,,guest_house,guest_house,False,12.9139877,100.880653,,,+66 38 301030,http://www.libertymansion.com/,info@libertymansion.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1877279839,,osm,Blue Moose Sports Bar & Grill,,,pub,pub,True,12.921066,100.9158047,,,+66 38 376579,https://www.bluemoosesportsbar.com/,pattayabluemoose@gmail.com,,pub,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1913901819,,osm,Studio 69 Darkside Bar & Grill,,,bar,bar,True,12.9158775,100.9153406,,"38/41-42, Boonsampan, Banglamung, บางละมุง, ชลบุรี, 20150",0878359799,https://studio69bar.com/,hello@studio69bar.com,,bar,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2240498415,,osm,Siam Pura Resort,,,hotel,hotel,False,12.9620652,100.8956303,,,+66 38 426304;+66 38 421678;+66 38 429859,http://www.siampuraresort.com/,siampuraresort@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2280693794,,osm,Radi Mansion,,,hotel,hotel,False,12.9375027,100.8999343,,,+66 38 716386;+66 81 8628186,https://www.radi-mansion.com/,info@radi-mansion.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2361490400,,osm,GJ's Hotel & Bar,,,guest_house,guest_house,False,12.9282146,100.8767588,,,+66 81 9537076,http://www.gjhotel-pattayaland1.com/,info@gjhotel-pattayaland1.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2642007312,,osm,JP Villa Hotel,,,hotel,hotel,False,12.9550451,100.899626,,,+66 38 727470;+66 38 727476,http://www.jpvillapattaya.com/,reservation@jpvillapattaya.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2642007315,,osm,Yellow Moon,,,motel,motel,False,12.9678141,100.9081638,,,+66 90 0085011,http://www.yellowmoonpattaya.com/,yellowmoon.th@gmail.com,,motel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2739066094,,osm,Tiya's Place,,,guest_house,guest_house,False,12.882824,100.8821295,,,+66 800 916669;+66 84 4545626;+66 38 300697;+66 38 233086,http://www.tiyasplace.com/,info@tiyasplace.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2753443638,,osm,A&M Villa Pattaya,,,guest_house,guest_house,False,12.9366051,100.8984875,,,+66 85 2083376;+66 84 3350664,https://www.amvillapattaya.com/,reservation@amvillapattaya.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2769314534,,osm,Kilkenny,,,guest_house,guest_house,False,12.9302711,100.884592,,,+66 38 720973,http://www.kilkennypattaya.com/,info@kilkennypattaya.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2769363991,,osm,The Irish Rovers,,,guest_house,guest_house,False,12.9303462,100.8843847,,,+66 38 489494,https://www.i-rovers.com/,info@i-rovers.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2769363994,,osm,The Rock House,,,guest_house,guest_house,False,12.929888,100.8840602,,,+66 38 720446,http://www.rockhousepattaya.com/,alex_milne_8@hotmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2771953905,,osm,The Naughty Club,,,bar,bar,True,12.9281661,100.8834167,,"Soi Ladyboy, Pattaya",+66 65 960 0838,https://thenaughtyclubpattaya.com/,info@thenaughtyclubpattaya.com,,bar,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2803300844,,osm,Holidays Home,,,hotel,hotel,False,12.9229856,100.8784634,,"10 20/174-5, S Pattaya Rd, Bang Lamung District, Chon Buri, 20150",+66 38 411679,http://www.holidayshomepattaya.com,info@holidayshome.biz,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2813205763,,osm,P Place,,,guest_house,guest_house,False,12.9334326,100.8852384,,,+66 38 421929;+66 38 720052,http://www.midtownpattaya.com,p.place@hotmail.co.th,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2822445475,,osm,Scandalic Guesthouse,,,guest_house,guest_house,False,12.9317935,100.8840573,,,+66 84 0791486,http://www.scandalic.nu/,ulrika.scandalic@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
