src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:6437916977,,osm,Green@Buriram,,,hotel,hotel,False,14.9885921,103.1093442,,"689 moo 1, Liangmuang Road, Buriram, 31000",+44-666-086,https://www.greenatburiram.com/,stharmlikit@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:491896507,,osm,Buritel,,,hotel,hotel,False,,,,,+66 44 612688;+66 89 8996500,http://www.buritel.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:12185336018,,osm,ระเบียงลม,,Rabianglom,restaurant,restaurant,True,15.0291296,103.148194,,"265/1, บ้านยาง, เมืองบุรีรัมย์, บุรีรัมย์, 31000",+ 66 98 941 4919,,dlp.nichkamon@gmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:12804142601,,osm,Fortune Hotel Buriram,,,hotel,hotel,False,14.9802575,103.0739005,,,,https://www.fortunehotelgroup.com/fortune-buriram-hotel/en/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1413494364,,osm,ศูนย์วัฒนธรรมอีสานใต้บุรีรัมย์,,Buri Ram Northeast Culture Center,museum,museum,False,,,,"Nai Mueang, Mueang Buri Ram, Buri Ram, 31000",,https://cul.bru.ac.th/,,,museum,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1497691520,,osm,Diamond Hotel Buriram (โรงแรมไดมอนด์ บุรีรัมย์),,,hotel,hotel,False,,,,"558, ช้าง อินเตอร์เนชั่นแนล เซอร์กิต, อิสาณ, เมืองบุรีรัมย์, บุรีรัมย์, 31000",0805656665,https://www.facebook.com/DiamondHotelBuriram?locale=th_TH,diamond.hotel4556@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:6232203485,,osm,,,Osteria  Italia,restaurant,restaurant,True,14.9916828,103.1065546,,,044634653,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6320449385,,osm,,,Romantic Thai Restaurant and Pizzeria,restaurant,restaurant,True,15.0029703,103.1117977,,"26-27, ถนนาถธาณี",0653040025,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:678181411,,osm,,,Boon Lumyeart,hotel,hotel,False,,,,,+66 815486897,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:678181424,,osm,S1 City hotel,,,hotel,hotel,False,,,,,+6644601102,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:678181425,,osm,Loft Buriram,@Loft Buriram,,hotel,hotel,False,,,,,+6644614433,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:678185537,,osm,B2 Buriram,บี2บุรีรัมย์,,hotel,hotel,False,,,,,044617318,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
