src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:3298316881,,osm,โรงแรมฟลอริดา หาดใหญ่,โรงแรมฟลอริดา หาดใหญ่,The Florida Hotel Hat Yai,hotel,hotel,False,6.9974145,100.4710017,,"8, Sripuwanart Road, Hat Yai, 90110",+6674234554,https://www.floridahatyai.com/,panoy2499@hotmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2485971307,,osm,Crystal Hotel,,,hotel,hotel,False,6.9916802,100.4852126,,,+66 74 298788,https://www.crystalhotelhatyai.com/index.php,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2623161451,,osm,Hatyai Genting Hotel,,,hotel,hotel,False,7.009937,100.479391,,"263, ถนนสามชัย, Hat Yai, Songkhla, 90110",+66742396514,http://www.hatyaigenting.com/en/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3162460169,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,7.0037466,100.4686459,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3162478273,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,7.0028202,100.4687666,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3343034536,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,7.0002365,100.4431025,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3343035482,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,7.0003164,100.4434968,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3614977586,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,7.0173777,100.477537,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3878382789,,osm,McDonald's,แมคโดนัลด์,McDonald's,fast_food,fast_food,True,7.0059038,100.4714642,,,1711,https://www.mcthai.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:1156247874,,osm,Khlong Hae Floating Market,,,attraction,attraction,False,,,,,+6674305333,https://www.tourismthailand.org/Attraction/Khlong-Hae-Floating-Market--5925,,,attraction,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4365623593,,osm,McDonald's,Mc Donald's drive thru,,fast_food,fast_food,True,7.006905,100.4927512,,,,https://www.mcthai.co.th/,,,fast_food,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:4367178491,,osm,กาแฟสด ชาวดอย,กาแฟสด ชาวดอย,Wungnoy Hotel,hotel,hotel,False,7.0080781,100.4719363,,"114/1, Sangchan Road A, 90110",+6674243384,,wungnoy_hatyai@hotmail.co.th,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4481017792,,osm,ข้าวมันไก่ ไก่ทอด ปลาทอด ตลาดใหม่ หาดใหญ่,,,restaurant,restaurant,True,6.9997331,100.4737487,,"24/1, ถนนตันรัตนากร, 90110",0819699597,,mee_1976sb@windowslive.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4688010890,,osm,นันทนาอพาทเมนต์,นันทนาอพาทเมนต์,Nantana apartment,hostel,hostel,False,7.0011831,100.4652192,,"38/41, ประชาอุทิศนุเคราะห์, 90110",0891766115,,frasaisai@gmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:13765526081,,osm,Baan Janchai Restaurant & Wine,บ้านจันทร์ฉาย,,restaurant,restaurant,True,6.979785,100.4437465,,"Thanon Wangpapattana, Khuan Lang, Hat Yai, Songkhla, 90110",+66 81 897 6566,,thaithaicuisine.th@gmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:13835069977,,osm,Sunny Vegan Hatyai,,,restaurant,restaurant,True,7.0009878,100.4818509,,"26, Thanon Pattano Uthit, Hat Yai, Hatyai, Songkhla",+66 63 256 3195,,sunnyveganhatyai@gmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:150393190,,osm,Princess Maha Chakri Sirindhorn Natural History Museum,พิพิธภัณฑสถานธรรมชาติวิทยา ๕๐ พรรษา สยามบรมราชกุมารี,,museum,museum,False,,,,,,https://nhm.psu.ac.th/en/home/,,,museum,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1136600086,,osm,คานหลาว วิวพอยท์ Khanlao Viewpoint,,,resort,resort,False,,,,"คานหลาว วิวพอยท์ Khanlao Viewpoint, ตำบล พิจิตร, อำเภอ นาหม่อม, สงขลา, 90310","+66 82 951 5355, +66 82 653 9145",https://www.facebook.com/KHANLAOVIEWPOINT,khanlaoviewpoint@gmail.com,,resort,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
