src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:1351116542,,osm,Jing's,,,guest_house,guest_house,False,12.5711161,99.9591254,,,+66 32 516 594;+66 86 108 9271,http://www.jings.in.th/,jing@jings.in.th,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1356282177,,osm,โรงแรมชมวีว,โรงแรมชมวีว,Chomview Hotel,hotel,hotel,False,12.5331566,99.9684778,,,+66 (32) 511 662,https://www.chomviewhotel.com/,res@chomviewhotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1706103202,,osm,The Hideaway Resort Hua Hin,เดอะ ไฮด์อะเวย์ รีสอร์ท หัวหิน,The Hideaway Resort Hua Hin,hotel,hotel,False,12.6114151,99.952852,,,+6632547333,http://www.thehideaway-resort.com/,thehideawayresort@yahoo.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2091891928,,osm,โรงแรม นราวรรณ,โรงแรม นราวรรณ,Narawan Hotel,hotel,hotel,False,12.5547361,99.9585628,,,+66-96-1528635,http://www.narawan.com/,reservation@narawan.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2413866101,,osm,Hua Hin Loft,หัวหิน ลอฟท์,Hua Hin Loft,hotel,hotel,False,12.5664598,99.9577179,,"120/22, หัวหิน ซอย78, Hua Hin, 77110",+6632533778,http://www.huahinloft.com/,enquiry@citinlofthuahin.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2416866493,,osm,ณิชา,ณิชา,Nicha,hotel,hotel,False,12.5497669,99.9622645,,,+6632532880,http://www.nichahuahin.com/,info@nichahuahin.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2416991979,,osm,The Lapa,เดอะ ลาภา,The Lapa,hotel,hotel,False,12.5470971,99.9621527,,,+6632513222,http://www.thelapahotel.com/,rsvn@thelapahotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2418167051,,osm,บ้านจันทร์ฉาย,บ้านจันทร์ฉาย,Baan Chanchay,hotel,hotel,False,12.5596647,99.9615056,,,+6632511461,http://www.chanchay.com/,banchanchay@hotmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2690779648,,osm,อนันตศิลา,อนันตศิลา,Anantasila,hotel,hotel,False,12.5129553,99.9789457,,,032-527-638;032-527-639,https://www.anantasila.com,info@anantasila.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:3970079084,,osm,Luna Hut Resort,ลูน่า ฮัท รีสอร์ท,Luna Hut Resort,hotel,hotel,False,12.5123851,99.9749054,,ซอยอ่าวหัวดอน 11,+66 0654809064,https://lunahutresort.com/,lunahutresort@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4076373675,,osm,Relo' The Urban Escape,,,hotel,hotel,False,12.6390214,99.9555406,,"1449, Chala Samut Alley, Cha-am, 76120",032 653 154,https://relohotel.com/,reservation@relohotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4077717247,,osm,Season Palace Hua Hin Hotel,โรงแรมซีซั่นพาเลซ,Season Palace Hua Hin Hotel,hotel,hotel,False,12.6372405,99.9480866,,,+66 32 510 034,https://www.seasonpalacehuahin.net/,seasonpalacehuahin@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4078023641,,osm,Mövenpick Asara Resort & Spa Hua Hin,เมอเวนพิค อัสสรา รีสอร์ท แอนด์ สปา หัวหิน,Mövenpick Asara Resort & Spa Hua Hin,hotel,hotel,False,12.6201319,99.9525399,,,032520777,https://www.movenpick.com/,resort.huahin@movenpick.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4430246061,,osm,Hua Hin Paradise Guesthouse,,,guest_house,guest_house,False,12.5719136,99.9581451,,"57, 45/8-9 Dechanuchit Road Soi 57, Huahin, 77110",+66 980939031,https://www.huahinparadisesoi57.com,huahinparadisesoi57@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:9123593043,,osm,The Standard,เดอะ สแตนดาร์ด,The Standard,hotel,hotel,False,12.5657976,99.9603287,,,+66 32 535 999,https://www.standardhotels.com/hua-hin/properties/hua-hin,sthh.fo@standardhotels.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:11490982592,,osm,Baan Casita Private Seaside Cottage,,,guest_house,guest_house,False,12.5228588,99.9744244,,"122/136, ์Nongkae, Hua Hin, 77110",+66642214842,https://book-directonline.com/properties/baancasitaprivateseasidedirect?locale=th&fbclid=IwAR0XrPtwSHsJLgb4WiREtdP3V-Zs09ukqhDdgnXIwe6G5g_o_7qfgrMMLrU&items[0][adults]=2&items[0][children]=0&items[0][infants]=0&currency=THB&checkInDate=2024-01-05&checkOut,baan.casita@gmail.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:339859209,,osm,โรงแรม ชเลราญ,โรงแรม ชเลราญ,Chalelarn Hotel,hotel,hotel,False,,,,,+6632512233,http://www.chalelarnhotel.com/,info@chalelarnhuahin.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
