src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:5281374422,,osm,,,Baanchaokoh River Kwai,hotel,hotel,False,13.9916743,99.5069,,"76 moo 3 road soi, Baan Ta Huai village, Nongya, Muang, Kanchanaburi, 71000",+66819217644,http://www.baanchaokoh.com,baanchaokoh@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:242566465,,osm,Death Railway Museum and Research Centre,,Death Railway Museum and Research Centre,museum,museum,False,,,,"73, ถนนเจ้าขนเณร, Kanchanaburi, 71000",+66 34 512721,http://www.tbrconline.com/,admin@tbrc.com,,museum,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:410081382,,osm,Thai Garden Inn,,,hotel,hotel,False,,,,"74/11 Moo 4, Tambon Thamakham, Amphoe Muang,, Kanchanaburi, 71000",+66858191686,https://www.thaigardeninn.com,info@thaigardeninn.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1034288963,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,14.0228146,99.5346324,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:1036540520,,osm,Tamarind,แทมมารี,Tamarind,hotel,hotel,False,14.0332198,99.5202561,,,+66-89-8377256,https://www.tamarindguesthouse.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3774705794,,osm,,,Kwai Riverside Resort,hotel,hotel,False,14.071485,99.4766926,,,+66 345 510 789,http://www.kwaeriversideresort.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4865820421,,osm,On's Thai Issan,,On's Thai-Issan Restaurant,restaurant,restaurant,True,14.0337403,99.5199276,,,+66 87 364 2264,,miss.on@hotmai.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:5593962522,,osm,ลินส์ โฮสเทล,,Lynn's Hostel,hostel,hostel,False,14.0320261,99.5223601,,"9/4, Thetsabanbumrung 2 Road, 71000",0653835985,,travelyns11@gmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:6075210585,,osm,Bicycle Cafe,,,restaurant,restaurant,True,14.0306619,99.5253225,,"35, Chao Khun Nen Road, 71000",+66 86 164 2298,,bicyclecafe@hotmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:6734162785,,osm,Kyllikki Hostel Cafe,,,hostel,hostel,False,14.0220666,99.5331219,,"160/61, U-Thong Soi 2 Rd, 71000",0655474400,https://m.facebook.com/Kyllikki.Kanchanaburi/,kyllikki.cafe@gmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:9320740317,,osm,Baan mama,,,hotel,hotel,False,13.9720666,99.4743346,,,,https://baanmama.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:631444719,,osm,Hop Inn Kanchanaburi,,,hotel,hotel,False,,,,,,https://hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1036459975,,osm,Noble Night,,,hotel,hotel,False,14.0345219,99.518571,,,+66-34-514769,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1036675346,,osm,Ploy Resort,,,hotel,hotel,False,14.0344069,99.519063,,,034514437,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1038806383,,osm,Blue Star Guest House,,,guest_house,guest_house,False,14.0347747,99.5171421,,,+66-34-512161;+66-1-6391688,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1038806449,,osm,River Kwai Bridge Resort,,,hotel,hotel,False,14.040554,99.5071337,,,+66-34-514522,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3320410618,,osm,VN Guesthouse,,,hotel,hotel,False,14.0297235,99.5226985,,,006634514082,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3792427838,,osm,,,Inchantree Kanchanaburi Hotel,hotel,hotel,False,14.0440539,99.5017334,,,+66 2 651 7677,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3792429266,,osm,แพอาหารโฟลทติ้ง,,Floating Raft Restaurant,restaurant,restaurant,True,14.0415879,99.5035828,,"85, Kwaiyai Road, 71000",+6634512595,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4124782389,,osm,P&P Place,,,hotel,hotel,False,14.0348067,99.5195848,,40/6,034917557,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4295462289,,osm,Sky Resort ,,,hotel,hotel,False,14.0303546,99.5223056,,,034518189,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4547853093,,osm,,,D Hostel,hostel,hostel,False,14.0188733,99.5243933,,"23 Moo 1., Pak Phraek, 71000",+66804122298,,,,hostel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4583486489,,osm,,,River Guest House,guest_house,guest_house,False,14.0290124,99.523357,,,034511637,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4744207939,,osm,,,Nita Rafthouse,guest_house,guest_house,False,14.0177648,99.5300215,,,+66 34 514521,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5064390129,,osm,VR KCB Mam,VR KCB Mam,VR KCB Mam,restaurant,restaurant,True,14.004359,99.546631,,,+66 34516072,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5464800821,,osm,ถุงเล็ก ร้านกาแฟและที่พัก,,ToongLek cafe&hostel,cafe,cafe,True,13.9723263,99.6346122,,"246/3, 71110",0864443700,http://facebook.com/toonglekcafe,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5549795729,,osm,รักษ์คันนา ก๋วยเตี๋ยวห้อยขา,,Rakkanna,attraction,attraction,False,13.9513633,99.6074932,,71110,0800616888,,,,attraction,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7158166186,,osm,,,The Balcony Restaurant and Cafe Lounge,restaurant,restaurant,True,14.0231884,99.5282338,,"196-198, Pak Prak Road, 71000",+66 87 829 8420,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9280534918,,osm,,,,restaurant,restaurant,True,14.0396223,99.5112819,,,+66810074533,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13774974816,,osm,Skypreme Fried Chicken,สกายพรีม ไก่ทอด,,food_court,food_court,False,13.9824801,99.6102614,,"31, ถนนแสงชูโต, Tha Muang, Tha Muang, Kanchanaburi, 71000",+66 87 017 8328,,,,food_court,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:442871044,,osm,Kan Buri,,,restaurant,restaurant,True,,,,,66 819895664,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:754029248,,osm,,,BH Place,apartment,apartment,False,,,,,0898950501,,,,apartment,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:754034570,,osm,Natee,,Natee Hotel,hotel,hotel,False,,,,,034518777,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:759388165,,osm,Bussaba Coffee & Thai Restaurant,,,cafe,cafe,True,,,,,+66 98 302 8321,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7278818651,,osm,SPORT PLUS,,,sports_centre,sports_centre,False,14.016314,99.5340248,,"223  225 227 229 231, แสงชูโต, บ้านใต้, 10700",081-015-9955,,sp.sportplus@gmail.com,,sports_centre,,,,,0,3,2,+2 phone ; +1 email,
osm:607519883,,osm,ร้านเตี๋ยวยำแม่แดง กาญจนบุรี,เตี๋ยวยำแม่แดง กาญจนบุรี,,restaurant,restaurant,True,,,,"65/23, เลี่ยงเมืองกาญจนบุรี, ปากแพรก, 71000",,,wittayathong@gmail.com,,restaurant,,,,,1,3,2,+2 tourism category ; +1 email,
osm:619336489,,osm,Bamboo House Guesthouse,,,hotel,hotel,False,14.0396289,99.5073548,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:619349790,,osm,,,,restaurant,restaurant,True,14.0020178,99.5465495,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:694366744,,osm,Felix River Kwai Resort,,,hotel,hotel,False,14.0419945,99.4999352,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:949714991,,osm,Apples GH,,,hotel,hotel,False,14.0318048,99.5220673,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1034436555,,osm,ครัวปู่เปี้ยก,ครัวปู่เปี้ยก,,restaurant,restaurant,True,14.0439827,99.5953745,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1036540547,,osm,Sugar Cane 1,,,hotel,hotel,False,14.0328207,99.5194571,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1036588398,,osm,Luxury Hotel,,,hotel,hotel,False,14.0302678,99.528863,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1036588399,,osm,Dollacha,,,restaurant,restaurant,True,14.0298771,99.5287128,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1036675327,,osm,Schluck,,,restaurant,restaurant,True,14.0335462,99.5204667,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1036675328,,osm,Magne & Tine,,,restaurant,restaurant,True,14.0341287,99.5197589,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1036675330,,osm,Pong Phen Guesthouse,,,hotel,hotel,False,14.0339627,99.518579,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1036675333,,osm,Green View,,,hotel,hotel,False,14.034523,99.519372,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1036675334,,osm,The Hut,,,restaurant,restaurant,True,14.0345279,99.5189449,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1036675335,,osm,Smiley Frog,,,hotel,hotel,False,14.0325044,99.5204671,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1036675342,,osm,Tai-Thai,,,restaurant,restaurant,True,14.034618,99.5191677,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1036675343,,osm,Chitanun Guest House,,,hotel,hotel,False,14.0335889,99.5207495,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1038806302,,osm,,,Blue Rice Restaurant,restaurant,restaurant,True,14.0337538,99.5138091,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1038806303,,osm,The Rabbit Café,,,cafe,cafe,True,14.0393142,99.5127276,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:1038806369,,osm,The Resort,,,hotel,hotel,False,14.039362,99.5124116,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1038806375,,osm,Sugar Cane Guest House,,,hotel,hotel,False,14.0380523,99.5102736,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1038806411,,osm,Apple's Guesthouse,,,guest_house,guest_house,False,14.033262,99.5136579,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1038806436,,osm,,,,restaurant,restaurant,True,14.0349536,99.5183729,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1038806437,,osm,Morning Guesthouse,,,guest_house,guest_house,False,14.0398187,99.5099052,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1038806445,,osm,Camelia Resort,,,hotel,hotel,False,14.0379984,99.5109745,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1127234782,,osm,C&C Tour,,,guest_house,guest_house,False,14.0356133,99.5152423,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1130586249,,osm,Sunrise,,,restaurant,restaurant,True,14.0398836,99.5105324,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1834223743,,osm,Promittr Film Studios,,,attraction,attraction,False,14.1435527,99.4295979,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:2101774985,,osm,Tara Buree Restaurant,,,restaurant,restaurant,True,14.0187678,99.528281,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:2168241899,,osm,หาคทรายสวย,,Hak Sai Suai Resort & Homestay,guest_house,guest_house,False,14.0357232,99.5102376,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:2168253045,,osm,aajam,,,hotel,hotel,False,14.0372273,99.5115331,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2500364978,,osm,,,World War II & Jeath Museum,museum,museum,False,14.0413645,99.5048847,,,,https://youtu.be/Bg5aU3rchhc,,,museum,,,,,1,2,1,+2 tourism category,
osm:3062461871,,osm,ก๋วยเตี๋ยวเรือโก๊ศักดิ์,,,restaurant,restaurant,True,14.0210676,99.5273247,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3144976435,,osm,Sam's House,,,hotel,hotel,False,14.0349164,99.5175464,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3144976436,,osm,Tara Cafe,,,cafe,cafe,True,14.0347161,99.5186501,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3237263941,,osm,Zab Zab Restaurant,,,restaurant,restaurant,True,14.032315,99.5233925,,"Don Ruk Road, Kanchanaburi",,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3237264741,,osm,Baan Peek Mai Restaurant,,,restaurant,restaurant,True,14.0407125,99.5094478,,"Maenam Khwae Road, Kanchanaburi",,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3263498264,,osm,Crowe's Nest Cafe,,,restaurant,restaurant,True,14.03368,99.52018,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3315619425,,osm,The Pickled Fish (Thai),,,restaurant,restaurant,True,14.0385514,99.5143446,,"Maenam Khwae Road, Kanchanaburi",,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3315623739,,osm,Fai Coffee,,,cafe,cafe,True,14.031896,99.5237975,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3315630600,,osm,Sabai @ Kan Resort,,,hotel,hotel,False,14.0390973,99.5119243,,"Maenam Khwae Road, Kanchanaburi",,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320399319,,osm,Than Thip Kan Hotel,,,hotel,hotel,False,14.0251784,99.537123,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320400183,,osm,Mitreechit Bungalow,,,hotel,hotel,False,14.0270988,99.5412483,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320402548,,osm,Ban Bor Bungalow,,,hotel,hotel,False,14.0050413,99.5434155,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320402715,,osm,Baan Ma Feung Guest House,,,hotel,hotel,False,14.0251384,99.5313567,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320405470,,osm,Prasopsuk Hotel,,,hotel,hotel,False,14.0273086,99.5306111,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320407374,,osm,Rainbow Lodge Guesthouse,,,hotel,hotel,False,14.0243369,99.5278538,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320408417,,osm,V.L. Guest House,,,hotel,hotel,False,14.0269911,99.530772,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320408436,,osm,Modern Inn,,,hotel,hotel,False,14.0284432,99.5323599,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320410199,,osm,MK Hotel,,,hotel,hotel,False,14.0285004,99.5302946,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320410513,,osm,Si Ringrueang Bungalow,,,hotel,hotel,False,14.0317558,99.523876,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320411725,,osm,Rainbow Lodge,Rainbow homestay guesthouse,Rainbow homestay guesthouse,hotel,hotel,False,14.0301554,99.522205,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320412746,,osm,T and T Guest House,,,hotel,hotel,False,14.0321721,99.5202442,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3320412750,,osm,Tamarind Guest House,,,hotel,hotel,False,14.0323309,99.5198205,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
