src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:7965259190,,osm,De V Loft,,,hotel,hotel,False,14.9824716,102.0765611,,"75/19, ถนน สำโรงจันทร์ Nai Mueang, Nakhon Ratchasima, 30000",+66 97 154 1111,http://www.devlofthotel.com,devloft.hotel@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:12404877101,,osm,AisanA Hotel-Korat,โรงแรม ไอซาน่า โคราช,AisanA Hotel-Korat,hotel,hotel,False,14.975734,102.0746547,,"149, Soi King Sawai Riang, Nai Mueang, Mueang, Nakhon Ratchasima, 30000",+6644085999,https://aisanahotel.com/,rsvn@aisanahotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1814469027,,osm,Chayada Resort,,Chayada Garden House & Resort Hotel,hotel,hotel,False,14.9841261,102.0852669,,,+66 44 263474;+66 44 263036;+66 44 341849,https://www.chayadaresort.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:11821494950,,osm,โรงแรมฮ็อป อินน์ นครราชสีมา ซิตี้ เซ็นเตอร์,โรงแรมฮ็อป อินน์ นครราชสีมา ซิตี้ เซ็นเตอร์,HOP INN Nakhon Ratchasima City Center,hotel,hotel,False,14.9806947,102.0873118,,,+6626592899,https://www.hopinnhotel.com/th/our-hotels/hop-inn-nakhon-ratchasima-city-center,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2128753412,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,14.9488937,102.1272473,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3751114712,,osm,Chez Andy Swiss Restaurant & Steak House,,,restaurant,restaurant,True,14.972245,102.1033977,,,+66 44 289556,http://www.chezandykorat.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4423467390,,osm,The Pizza Company,เดอะพิซซ่าคอมพานี,The pizza company,fast_food,fast_food,True,14.9726164,102.0978973,,"ราชดำเนิน, 30000",1112                                      0,https://1112.com/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4735410721,,osm,Mezzo,Mezzo,,cafe,cafe,True,14.9744491,102.0978394,,,0269077502,http://mezzo.co.th,,,cafe,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:7510496266,,osm,Shabu Monster,,,restaurant,restaurant,True,14.9800506,102.0612863,,"ถ.มานะศิลป์ ต.ในเมือง อ.เมือง, นครราชสีมา, 30000",096-707-0130,https://shabu-monster.business.site/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:546498849,,osm,เซ็นทรัล โคราช,เซ็นทรัล โคราช,Central Korat,mall,mall,False,,,,Nakhon Ratchasima,+66 44 001 555,https://shoppingcenter.centralpattana.co.th/th/branch/central-korat,prom.nkm@centralpattana.co.th,,mall,,,,,0,6,4,+3 real website ; +2 phone ; +1 email,
osm:3326552593,,osm,Hop Inn Nakhon Ratchasima,,,hotel,hotel,False,14.9591237,102.062395,,,,https://hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:4939267624,,osm,Baan Kuer,,,hotel,hotel,False,14.9906359,102.1022106,,,,http://www.baankuer.com,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:5349114777,,osm,Honey Grand Hotel,,,hotel,hotel,False,14.9679135,102.1337269,,,,https://www.renthub.in.th/en/honey-grand-hotel,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:8008972988,,osm,hotel B,,,hotel,hotel,False,14.9954678,102.1150179,,294/77,+6644230588,,hotelB.korat@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:10310404709,,osm,ไดอารี่ สูท,,Diary Suite,hotel,hotel,False,14.9921758,102.1040777,,"690/3, ช้างเผือก, 30000",0908898009,https://www.facebook.com/DiarySuitehotel,diarysuite_korat@hotmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:3418083343,,osm,Starbucks,สตาร์บัคส์,Starbucks Coffee,cafe,cafe,True,14.9800852,102.076271,,,,https://www.starbucks.com/,,,cafe,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:7266017587,,osm,โพงพาง อาร์ต แอนด์ คาเฟ่,,Phong Phang Art & Cafe',cafe,cafe,True,14.9774913,102.1001565,,"255/5, ถนนยมราช, 30000",0617879962,http://www.facebook.com/PhongPhangArtandCafe,phongphangartandcafe@gmail.com,,cafe,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:7608252085,,osm,"สเต็กโคราช ""ด๊ะดาด สเต็กจิ้มก๊ะแจ่ว""",,Dadad Steakjimkajaew,restaurant,restaurant,True,14.9495097,102.0645937,,"1119 ต.หนองจะบก, ซอยสืบศิริ36, 30000",0818773363,,jeerasakca@hotmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:7608314585,,osm,"สเต็กโคราช""ด๊ะดาดสเต็กจิ้มก๊ะแจ่ว",,Dadad Steakjimkajaew,restaurant,restaurant,True,14.9501965,102.0647638,,"1119 ม5หนองจะบก, ซอยสืบศิริ36 ถนนสืบศิริ, 30000",0818773363,,jeersdakca@hotmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:12240171939,,osm,AMA RAMEN • 祖母ラーメン • KORAT,,,restaurant,restaurant,True,14.9751775,102.0923295,,,,https://ama-ramen.fly.dev,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1279318318,,osm,Dusit Princess,,,hotel,hotel,False,14.9925111,102.1210054,,,+66 4425 6601,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3506298510,,osm,OH BAR International,,,bar,bar,True,14.9728692,102.0949413,,,"044254030, 0960908685, 0870515708",,,,bar,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4561019693,,osm,Chaiyaphruk Grand Hotel,,,hotel,hotel,False,14.9734184,102.0929066,,,+66 44 275 1023,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4691910889,,osm,บ้านกอล์ฟ2001,บ้านกอล์ฟ2001,Bangolf2001,hotel,hotel,False,14.9732469,102.0905976,,"103/2, โพธิ์กลาง, 30000",044273916,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4711443390,,osm,กานต์ธิดา เพลส,กานต์ธิดา เพลส,Kantida Place,hotel,hotel,False,14.9987316,102.0896926,,"518, ต. หนองกระทุ่ม, 30000",+66894110652,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4837759321,,osm,ป่ญ่าเพลส,ป่ญ่าเพลส,Baan Pu Ya Pet Hotel,motel,motel,False,15.0004499,102.102555,,,044923189,,,,motel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4733494336,,osm,Twenty Five,,,cafe,cafe,True,14.972911,102.0922412,,,0898473529,https://facebook.com/twentyfivecafe,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5379899823,,osm,Sweet Café,,,cafe,cafe,True,14.9773811,102.1109764,,"12, Kudaen",0973351189,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5974052397,,osm,Cafe' Capu,,,restaurant,restaurant,True,14.9848327,102.0571469,,"179/46, Venice Park, Nakhon Ratchasima",+6644918901,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6782184892,,osm,ก๋วยเตี๋ยวไก่ตุ๋น หมูตุ๋น เจ้ภาอ่างห้วยยาง,,,restaurant,restaurant,True,14.9255916,101.9936444,,"391, ถนนมิตรภาพ, โคกกรวด, 30280",044465842,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7162131283,,osm,Furusato,,,restaurant,restaurant,True,14.9798441,102.0618162,,,+66638954632,https://www.facebook.com/FurusatoTheLink/about/,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7848679213,,osm,Waterside Seafood,,,restaurant,restaurant,True,14.9532587,102.009626,,"410, Mookamontri-KokKroad, Muang, 30000",0822468948,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7927532285,,osm,,,Takeoff Cafe,cafe,cafe,True,14.875684,102.0432803,,,+66885906400,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7930192385,,osm,Starbucks,,,cafe,cafe,True,14.9820927,102.0899886,,,+660614201391,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7953391785,,osm,Starbucks,,,cafe,cafe,True,14.9971613,102.1161282,,,+66632261271,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9521561409,,osm,,,Shabu Indy,restaurant,restaurant,True,14.9759478,102.097684,,,+66-959599645,https://www.facebook.com/Indyminimalkr,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
