src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:4615527589,,osm,Green House Hotel,,Green House Hotel,hotel,hotel,False,8.0656203,98.9138365,,,+66 75 622 9602,http://www.greenhousehotel.com,info@greenhousehotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4655550613,,osm,Al Ameen,,,hotel,hotel,False,8.057923,98.9091996,,,+66 870465744,http://www.alameenhotelkrabi.com/,rsvn.online2012@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:278488820,,osm,Dee Andaman,,,hotel,hotel,False,,,,,+6675620779,https://www.deeandamanhotel.com/,info@deeandamanhotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1613926487,,osm,Viva Restaurant,,,restaurant,restaurant,True,8.0633773,98.917116,,"29, Pruksa Utit Road, 81000",+6675630517,https://www.vivakrabi.com/,vivarena@gmail.com,,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4344353860,,osm,Ya's restaurant and cookery school,,,restaurant,restaurant,True,8.047091,98.852346,,"269, Moo 2, 81000",+66819790677,http://www.krabicookeryschool.com,krabicookeryschool@hotmail.com,,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:6169598985,,osm,ธัญญะเพลส,,Tanya place,apartment,apartment,False,8.1045585,98.9170677,,,+6675818799,http://www.tanyaplace-krabi.com,,,apartment,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3374348431,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,8.1086253,98.9277603,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3374348433,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,8.1085692,98.9275099,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3374348434,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,8.1088013,98.939131,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4126706326,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,8.1088846,98.9383824,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
