src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:12136935004,,osm,NamDern น้ำเดิน(Nam-Nam Specialist),,,restaurant,restaurant,True,18.2595526,99.4744441,,"745/1, ถนนเลี่ยงเมืองลำปาง, ชมพู, เมือง, ลำปาง, 52100",0980603999,https://namdern.food/,namdern.specialist@gmail.com,,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:706850456,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,18.2763213,99.4807836,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:706850497,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,18.2759989,99.4808892,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:1540781781,,osm,The Pizza Company,เดอะ พิซซ่า คอมปะนี,The Pizza Company,fast_food,fast_food,True,18.2765076,99.4810667,,,1112,https://www.1112.com/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:6781907925,,osm,เอื้องคำ รีสอร์ท ลำปาง,เอื้องคำ รีสอร์ท ลำปาง,Auangkham Resort Lampang,resort,resort,False,18.2959153,99.504874,,"Wiang Nuea, Mueang Lampang, Lampang, 52000",+66 54221305,http://www.auangkhamlampang.com/web/,,,resort,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:11578256069,,osm,,,Dreamer Burger Steak Pizza,restaurant,restaurant,True,18.2871336,99.488809,,,+66 87 182 1838,https://wongnai.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:12404271802,,osm,คเณชา โฮม ลำปาง,,Kanecha's Home Lampang,hotel,hotel,False,18.2933171,99.4990761,,"43, ถนนเจริญประเทศ, Wiang Nuea, Mueang Lampang, Lampang, 52000",+66 98 793 9416,https://www.kanecha-home.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:1458089408,,osm,โรงแรมสิบทิศ,,SIBTIS HOTEL,hotel,hotel,False,,,,"583 1, ถนน ซุปเปอร์ไฮเวย์สาย, Hua Wiang, Mueang Lampang, Lampang, 52000",+66 652598555,https://www.sibtishotel.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:5195455449,,osm,เวียงบุญเดลิเวลรี่,,Waengbun Dailivery,restaurant,restaurant,True,18.2940368,99.5054503,,"106, ถนนป่าไม้, 52000",+66 92 319 9156,,hongfha1595@gmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:5963235886,,osm,โก๋กาแฟ,,Go Café Lampang,cafe,cafe,True,18.2836086,99.4842428,,"363 Chatchai rd., 52100",+66054218828,,gocafe.lampang@gmail.com,,cafe,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:7244352736,,osm,Hop Inn,,,hotel,hotel,False,18.2776088,99.4840192,,,,https://www.hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:12198118827,,osm,Memmoth Cafe & Hostel In Lampang,,,guest_house,guest_house,False,18.283362,99.467425,,"219/1-3, ถนนประสานไมตรี, สบตุ๋ย, เมืองลำปาง, ลำปาง, 52100",+66 09 545 14583,,memmoth.hostel@gmail.com,,guest_house,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:667983492,,osm,Hop Inn Lampang,,,hotel,hotel,False,,,,,,https://hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1398212544,,osm,Pin Hotel,,,hotel,hotel,False,18.2893232,99.4955715,,,+6654221509,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1980587863,,osm,Long Jim,,,restaurant,restaurant,True,18.2904997,99.4983793,,,+66828925009,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2772710493,,osm,ร้านอร่อยบาทเดียว,ร้านอร่อยบาทเดียว,Aroy One Baht,restaurant,restaurant,True,18.2897615,99.4960589,,"297, Tipchang Rd, Mueang Lampang, Lampang, 52000",+66 54 219 233,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2774443653,,osm,ก้องกี - บะหมี่เกี๊ยวเป็ดย่างฮ่องกง,,Kong Kee Bamee Giao Pet Yang Hongkong,restaurant,restaurant,True,18.2885063,99.4954871,,"Mueang Lampang, Lampang, 52100",+66 959296198,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2774468207,,osm,DeRoom,,,restaurant,restaurant,True,18.2881068,99.4954903,,,054225745,https://www.facebook.com/pages/DeRoom/126938267405015,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2999062996,,osm,Ton Nam & Ton Lux Guest House,,,guest_house,guest_house,False,18.2904358,99.4946624,,,+66 54 221 175,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3118396348,,osm,Riverside Guest House,,,guest_house,guest_house,False,18.2905797,99.4943548,,,+66 54 227 005,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3118396349,,osm,R-Lampang Guest House,,,guest_house,guest_house,False,18.2906709,99.4950414,,,+66 81 817 0899 +66 54 225 278,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3118401281,,osm,Prink,,,guest_house,guest_house,False,18.2905675,99.4961199,,,+66 81 993 0411,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3964145220,,osm,Lada House Guesthouse,,,guest_house,guest_house,False,18.287936,99.4992908,,"69, Tiphawan Road, Lampang, 52000",+66 81 885 6577,https://www.facebook.com/ladahouse/info?tab=overview,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3964321803,,osm,Ga o in caffè,,,cafe,cafe,True,18.2943547,99.5090999,,"Tha Maoh Road, Lampang, 52000",+66817657172,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3964323757,,osm,The House Coffee & Hostel,,,hostel,hostel,False,18.2946746,99.5078167,,"19, ถนนราษฎร์วัฒน, Lampang, 52000",+66617723893,,,,hostel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5239211024,,osm,,,Riverside Guesthouse,guest_house,guest_house,False,18.2818322,99.4835598,,"ถนนพหลโยธิน, 52100",054227005,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5389492719,,osm,Baan Suan@KongTa,,,guest_house,guest_house,False,18.290649,99.4954789,,,0879008527,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5389493538,,osm,Vegetarian Food,,,restaurant,restaurant,True,18.2917833,99.4996799,,,+66 89 855 2595,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
