src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:106751937,,osm,Loei Palace Hotel,,,hotel,hotel,False,,,,,+66 42 815668,https://www.mosaic-collection.com/loeipalace/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:261803705,,osm,Forra Hill Resort,,,hotel,hotel,False,,,,,+66 42 861881;+66 81 7681113,http://www.forrahillresort.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3313995435,,osm,The Stay Guest House,,,guest_house,guest_house,False,17.5035211,101.7319797,,,,https://thestayguesthouse.com/,,,guest_house,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:664774037,,osm,Loei Residence Hotel,,,hotel,hotel,False,,,,42000,042-833477,,loeiresidence@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:3314059795,,osm,Baiboon Grand Hotel,โรงแรม ใบบุญ แกรนด์ ໂຮງແຮມໃບບຸນ ແກຣນດ໌,,hotel,hotel,False,17.4693903,101.7325157,,111,+66 42 833 533,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4297244790,,osm,ชมจันทร์ลิฟวิ่ง,,,hotel,hotel,False,17.507477,101.7154187,,"666หมู่5. ต. เมือง. อ. เมือง. จ. เลย. 42000
",042811905,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4539698390,,osm,,,Room 32,restaurant,restaurant,True,17.4872132,101.7245336,,,042814656,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4552363092,,osm,Sugar Guesthouse,,,guest_house,guest_house,False,17.4944838,101.7320372,,,042812982,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4566763131,,osm,Moomarui,,,restaurant,restaurant,True,17.487107,101.7286885,,,081-5454587,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4592083989,,osm,ครัวยูซุป อาหารไทย-มุสลิม ຄົວຍູຊຸບ ອາຫານໄທ-ມຸດສະລິມ,ครัวยูซุป อาหารไทย-มุสลิม ຄົວຍູຊຸບ ອາຫານໄທ-ມຸດສະລິມ,Yusuf Restaurant (Thai-Muslim Foods),restaurant,restaurant,True,17.4824834,101.7295866,,,0868274705,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4647473192,,osm,สลัดฟอร์ยู,,Salad for U,restaurant,restaurant,True,17.482867,101.7215368,,,0918603737,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7038222685,,osm,,,Outlaw brewing,bar,bar,True,17.4865726,101.7285012,,,0611460088,,,,bar,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7836144582,,osm,Malakii Savory,,,restaurant,restaurant,True,17.4648709,101.7162591,,"379, T.Na-arn Moo 11, Loei, 42000",+66 98 484 3558,https://www.facebook.com/malakii.Savory/,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8221338951,,osm,BanThaPae Cafe & Bistro,,,cafe,cafe,True,17.4931988,101.7062476,,"144/14, เลย-ด่านซ้าย, เมืองเลย, 42000",+660956045544,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8221382343,,osm,ร้านอาหารบ้านท่าแพ,,,restaurant,restaurant,True,17.493154,101.706472,,"144/14, เลย-ด่านซ้าย, เมืองเลย, 42000",+660956045544,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13333127701,,osm,BoonChu Cafe’,,,cafe,cafe,True,17.4848332,101.7341815,,,+66 89 941 9014,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
