src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:1540338524,,osm,Noom Guesthouse,,,guest_house,guest_house,False,14.8003768,100.6140212,,,+66 36 427 693,https://noomguesthouse.com/,,,guest_house,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4235345582,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,14.8010493,100.6126173,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4791269122,,osm,Kannaree Massage,,Pee Guesthouse,guest_house,guest_house,False,14.8009858,100.6166017,,Soi Phromachan,0861642184,http://www.lopburimassage.com,,,guest_house,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:8909565464,,osm,Bitter*Sweet Lopburi,,,cafe,cafe,True,14.7730075,100.6999165,,,081 571 0440,https://www.bittersweeticecream.com/,,,cafe,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:424027473,,osm,Lopburi Inn Hotel,,,hotel,hotel,False,,,,,,http://lopburiinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3942692175,,osm,Ban Suan Rimnam Homestay,,,guest_house,guest_house,False,14.7949984,100.6072056,,,+66895241525,http://www.facebook.com/bansuanrimnamhomestay,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8133364775,,osm,บัวลอยปริญญา สาขาลพบุรี,,,restaurant,restaurant,True,14.7938226,100.6319141,,"368/5, รามเดโช, ท่าหิน, 15000",0819972191,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8808188231,,osm,U Salad Cafe,,,restaurant,restaurant,True,14.7941097,100.6358383,,,061-614-9825,https://m.facebook.com/Usalad,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8889731349,,osm,Bitter Sweet Dessert Cafe,,,cafe,cafe,True,14.7729928,100.6998482,,,+66 95 414 3452,https://m.facebook.com/SaraburiBitterSweet,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11002584787,,osm,มัดหมี่,มัดหมี่,Mudmee,restaurant,restaurant,True,14.7955863,100.6433532,,8/18,+66 36 412 883,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12959099500,,osm,Canteen 4 Yak Sai 3,แคนทีน 4แยกสาย3,,restaurant,restaurant,True,14.792657,100.6235049,,"ถนนรามเดโช, ตำบล ป่าตาล, อำเภอเมืองลพบุรี, ลพบุรี",+66 82 149 3057,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13310068370,,osm,อามอร์ กริลล์,อามอร์ กริลล์,Amore Grill,restaurant,restaurant,True,14.8005935,100.6128986,,,0944373798,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:424274540,,osm,Hi So Resort Hotel,,,motel,motel,False,,,,,+66 86 9766404,https://www.facebook.com/hisobybeer/,,,motel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:259720002,,osm,Thepthani,,,hotel,hotel,False,14.8009788,100.6224885,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:423749888,,osm,,,,restaurant,restaurant,True,14.8104931,100.5688326,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:423749890,,osm,,,,cafe,cafe,True,14.8105252,100.5683833,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:423749891,,osm,,,,hotel,hotel,False,14.8106831,100.5687159,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:493524936,,osm,,,,restaurant,restaurant,True,14.7906697,100.6010829,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:2066042905,,osm,Noom's Bar,,,cafe,cafe,True,14.8003809,100.6140569,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:2066042907,,osm,Coffee House,,,cafe,cafe,True,14.8010071,100.6138255,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:2066042909,,osm,Hor Sophonsilp Museum,,,museum,museum,False,14.798588,100.6084715,,,,,,,museum,,,,,1,2,1,+2 tourism category,
osm:2066042910,,osm,Lopburi Asia Hotel,,,hotel,hotel,False,14.8006677,100.6120588,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2066042911,,osm,Nett Hotel,,,hotel,hotel,False,14.8007653,100.612791,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2066042912,,osm,Noom Guesthouse II,,,guest_house,guest_house,False,14.8007833,100.6129422,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:2066043054,,osm,Matini,,,pub,pub,True,14.8005693,100.613804,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:3457272700,,osm,Matini,,,guest_house,guest_house,False,14.8005992,100.6137779,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:3942688410,,osm,Come on Bar,,,bar,bar,True,14.7994436,100.6140775,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:3942688411,,osm,,ซูโฮ,Guardian Angel,cafe,cafe,True,14.7983515,100.609555,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3942691996,,osm,The Little Lopburi Village,,,guest_house,guest_house,False,14.7961155,100.6078649,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:3942692027,,osm,,,,cafe,cafe,True,14.7937063,100.6106005,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4200399141,,osm,Windsor Resort,,,hotel,hotel,False,14.7928829,100.6174118,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4235080454,,osm,,,,motel,motel,False,14.7891779,100.6803896,,,,,,,motel,,,,,1,2,1,+2 tourism category,
osm:4235112643,,osm,Dome Restaurant,,,restaurant,restaurant,True,14.7875028,100.6785943,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4235124911,,osm,Hizo Cafe,,,cafe,cafe,True,14.7915857,100.6787599,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4235124912,,osm,Nok Eyan Restaurant,,,restaurant,restaurant,True,14.7916664,100.678491,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4235345580,,osm,Baan Sabai Bistro,,,pub,pub,True,14.7992969,100.6128828,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:4235345581,,osm,Budsi's Place,,,pub,pub,True,14.8001054,100.61401,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:4235345583,,osm,The Mellow Cafe,,,cafe,cafe,True,14.8007222,100.6138447,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4235378463,,osm,Jay Coffee,,,cafe,cafe,True,14.7908562,100.6743422,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4235378466,,osm,MDR Hotel,,,motel,motel,False,14.7861039,100.679834,,,,,,,motel,,,,,1,2,1,+2 tourism category,
osm:4235378468,,osm,Panom Wine & Bar Restaurant,,,pub,pub,True,14.7993751,100.6487171,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:4235378472,,osm,Tasala Bar & Bistro,,,pub,pub,True,14.7870517,100.6792707,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:4236472479,,osm,The Bank,,,bar,bar,True,14.7968738,100.6346341,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:4236478999,,osm,Chill Out Bar & Restaurant,,,pub,pub,True,14.7886491,100.6349294,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:4236479000,,osm,Last Night,,,bar,bar,True,14.788688,100.6352379,,,,,,,bar,,,,,1,2,1,+2 tourism category,
