src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:3476223568,,osm,Pimsiri Hotel,,,hotel,hotel,False,17.3847109,104.7929093,,"22/55, ซอยพิมพ์ศิริ, เมือง, นครพนม, 48000",+66866642995,https://pantip.com/topic/32205412,pimsiri345@hotmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:863521696,,osm,โรงแรมแลนด์มาร์ค นครพนม,โรงแรมแลนด์มาร์ค นครพนม,LANDMARK NAKHONPHANOM HOTEL,hotel,hotel,False,,,,"21, นิตโย, ตำบลในเมือง, อำเภอเมืองนครพนม, นครพนม",+66917403001,https://hotellandmarknakhonphanom.business.site/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:6033165485,,osm,La Casa,,,hostel,hostel,False,17.3944232,104.8043509,,"Ban Thakhek Khan, Thakhek, 12000",+8562096051688,,casathakhek@gmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:6169462286,,osm,Bike&Bed,,Bike&Bed,hostel,hostel,False,17.3931191,104.8043549,,"355, Singapore Road, 12000",+856 20 91710957,,danu.onkaew@gmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:6917917626,,osm,Mekong Heritage Hotel Nakhonphanom,,,hotel,hotel,False,17.376891,104.7937964,,"35/5, NakhonPhanom-TardPhanom Road, Nai Mueang Nakhon Phanom, Mueang NakhonPhanom, NakhonPhanom, 48000",042511189,,mekongheritagehotel.sales@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:11066280372,,osm,Bamboo Hostel,,,hostel,hostel,False,17.3995806,104.8022918,,,+856 20 58 382 226,https://www.facebook.com/profile.php?id=100087561529056&mibextid=ZbWKwL,bamboothakhek@gmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:12401673046,,osm,Domea Thakhek | Urban Glamping,,,hotel,hotel,False,17.3950293,104.8059089,,"City Center, Thakhek, 12000",+8562092136626,https://www.facebook.com/profile.php?id=61570224267987,domeathakhek@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:12517388391,,osm,Pimsiri Hotel,,,hotel,hotel,False,17.3848127,104.7926458,,"22/55, ถนนชยางกูร, ในเมือง, เมือง, นครพนม, 48000",+66866642995,,pimsiri345@hotmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:12803454101,,osm,SIRI Regent Hotel,,,hotel,hotel,False,17.375076,104.7940386,,"37, ถนนเลี่ยงเมืองนครพนม, 48000",,https://web.facebook.com/siriregenthotel,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1164667293,,osm,Hotel,โรงแรมพรเทพ,phone thep hotel,hotel,hotel,False,17.41095,104.8002,,,051212929,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
