src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:1586071789,,osm,โรงแรมเมืองลิกอร์,,Ligor City Hotel,hotel,hotel,False,8.4420471,99.964845,,,,http://www.ligorcityhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3959993843,,osm,Hop Inn Nakhon Si Thammarat,,,hotel,hotel,False,8.4426343,99.9707167,,,,https://hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:11607542069,,osm,MD Grand Hotel,,,hotel,hotel,False,8.4400093,99.9707463,,,,http://www.mdhotel.co.th,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:2412771412,,osm,Grand Park Hotel,,,hotel,hotel,False,8.4392051,99.9644953,,,+66 75 317666,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4237233990,,osm,Suktawee,,,restaurant,restaurant,True,8.443644,99.961567,,"1656, Ratchadamnuen, 80000",0959542654,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4285933891,,osm,สุขทวีโภชนา,สุขทวีโภชนา,Suktawee restaurant,restaurant,restaurant,True,8.4436374,99.96152,,"1656, Ratchadamnuen, 80000",0959542654,https://www.facebook.com/SuktaweeNST,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4851295228,,osm,VR 604 Bo Ang,VR 604,VR 604 Bo Ang Rd,restaurant,restaurant,True,8.4383115,99.9672857,,,+66 836904950,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5073559023,,osm,VR 604 BKT,VR 604,,restaurant,restaurant,True,8.4209243,99.9646876,,,+66 874694584,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5130510026,,osm,นครรีสอร์ท,,nakhon resort,hotel,hotel,False,8.4448818,99.987894,,"184, ปากนคร, 80000",075319391,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7113578996,,osm,โรงแรมนครโฮเต็ล​,,,hotel,hotel,False,8.4374087,99.9607388,,,+66075356318,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8156928722,,osm,อาหารเจ จานเจ,,,restaurant,restaurant,True,8.4367806,99.968053,,"ึ7/14 ซ.อำนวยสุข, ถนนพัฒนาการคูขวาง 24, คลัง, 80000",0987466030,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
