src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:4716028491,,osm,,,Nan de Panna,hotel,hotel,False,18.835207,100.802115,,"34 Moo 10, 55000",+66909943669,http://www.nandepanna.com,nandepanna@gmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:246841778,,osm,Nan Boutique Hotel,,,hotel,hotel,False,,,,"1, 11 Khaluang Rd, Nan, 55000",+66 54 775532;+66 84 6177913,https://www.nanboutique.com/home-1,hotelnan@hotmail.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:629525235,,osm,วิลล่าเดอบัว รีสอร์ต น่าน,วิลล่าเดอบัว รีสอร์ต น่าน,VillaDeBua,motel,motel,False,,,,,054 050060,https://www.villadebuaatnan.com,smanida@hotmail.com,,motel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1227746357,,osm,Amazing Guest House,,,guest_house,guest_house,False,18.791717,100.784175,,,+66 54 710893;+66 80 4493705,https://www.amazing-guesthouse-nan.com/,,,guest_house,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2538033533,,osm,Nan Guesthouse,,Nan Guesthouse,hotel,hotel,False,18.7776828,100.7696459,,,+66 81 2888484;+66 54 771849,http://www.nanguesthouse.net,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2826104041,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,18.7649116,100.7614625,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3560533594,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,18.7778483,100.7576716,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3560533693,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,18.7777366,100.7583365,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3740842947,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,18.78369,100.7811057,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:246841790,,osm,บ้านน่าน,,Baan Nan Hotel & Restaurant,hotel,hotel,False,,,,,+66 54 771037;+66 85 7176589,http://baannanhotel.blogspot.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:246845817,,osm,คุ้มเมืองมินทร์,คุ้มเมืองมินทร์,Khum Muang Min Boutique Hotel,hotel,hotel,False,,,,,+66 54 774166;+66 91 5646946,https://www.nanhotels.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:246845821,,osm,โรงแรม เวียงภูมินทร์,โรงแรม เวียงภูมินทร์,Wiangphumin Hotel,guest_house,guest_house,False,,,,,+66 81 2892932;+66 54 711154,https://www.wiangphumin.com/,,,guest_house,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:246845822,,osm,โรงแรมพูคาน่านฟ้า,,Pukha Nanfa Hotel,guest_house,guest_house,False,,,,,+66 54 771111 ,http://www.pukhananfahotel.co.th,,,guest_house,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:246845823,,osm,Dhevaraj Hotel,,Dhevaraj Hotel,hotel,hotel,False,,,,,+66 54 751577,http://www.dhevarajhotel.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:552936414,,osm,Nan Noble House,,Nan Noble House,guest_house,guest_house,False,,,,,+66 81 7969029,https://nannoblehouse.com/index.html,,,guest_house,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:1217648220,,osm,Eurngkum Guesthouse,,,hotel,hotel,False,,,,,+66 54 775817,http://www.eurngkumhotel.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3951447417,,osm,Phu Hunsa Boutique Hotel,,,hotel,hotel,False,18.7837193,100.7721589,,"45/15, Phathong Soi 3",+6654710125,,phuhansa_999@outlook.co.th,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:5954115448,,osm,น่าน​ ศรีปันนา​ รีสอร์ท​,,,hotel,hotel,False,18.7737371,100.7285623,,242 หมู่​ 8​ บ้านทุ่งขาม  ตำบลไชยสถาน​ อำเภอเมือง​ จังหวัด​น่าน​ 55000,+6654681625; +6654050024,https://facebook.com/NanSripannaResort,Nan_sripanna@hotmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:742852399,,osm,โรงแรมน้ำทองน่าน,โรงแรมน้ำทองน่าน,Namthong Nan Hotel,hotel,hotel,False,,,,"321 M 6 Namthong Road, 55000",054775777,,namthongnanhotel@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:1299305704,,osm,เขาน้อยรีสอร์ท,,Khao Noi Resort,motel,motel,False,18.7753697,100.7484831,,,+66 86 9244930,,,,motel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2541165844,,osm,ณ น่าน ก๋วยเตี๋ยวเรือกะทิสด,,Karn  (Green Bar),restaurant,restaurant,True,18.7797502,100.7695542,,,0612579975,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2657556007,,osm,The One House Hotel,เดอะวันเฮ้าส์,One House,hotel,hotel,False,18.7821552,100.766604,,,+66 85 6988802,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3237590916,,osm,Huen Pak Jai Hotel,,,hotel,hotel,False,18.763507,100.757282,,,+66 890092426,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3239097954,,osm,Huan Phuka,,,restaurant,restaurant,True,18.7808514,100.779771,,,0959629663,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3523312493,,osm,Zep 2,,,restaurant,restaurant,True,18.8073476,100.7767343,,,086-1898650,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3612224090,,osm,Nan Treasure Hotel,,,hotel,hotel,False,18.7991157,100.7907042,,,054600414,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3614808877,,osm,Kaow Ta,,Khao Tha at Nan,restaurant,restaurant,True,18.786862,100.789172,,,+66825040819,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4519014330,,osm,M M Loft Hotel,,,hotel,hotel,False,18.7945406,100.769857,,,+66873019890,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5153248722,,osm,,,Nan Baankhun,hotel,hotel,False,18.7834125,100.7726331,,45/2,+6654775305,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5285735422,,osm,Homestay,,Homestay,guest_house,guest_house,False,18.8032747,100.7690537,,,+66810339300,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5382325827,,osm,,,Banban Nannan Library and Guest House,guest_house,guest_house,False,18.7789334,100.7683608,,,+66898595898,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5957052785,,osm,เฮือนเจ้านาง,,,restaurant,restaurant,True,18.7785486,100.7837842,,,+66618791628; +66818085588; +66933623241,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6048495652,,osm,รพีพงศ์ รีสอร์ท น่านไท,,,resort,resort,False,18.7611484,100.7957829,,"485 หมู่-3, น่านแม่จริม, ตำบลฝายแก้ว อำเภอภูเพียง จังหวัดน่าน, 55000",66885629912,,,,resort,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6148719085,,osm,,,Sonahouse,hotel,hotel,False,18.7823053,100.766339,,,054771254,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6765709092,,osm,Eco Coffee Nan,,,cafe,cafe,True,18.784184,100.788992,,,0894444435,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6972319788,,osm,,,Nan Panwa,hotel,hotel,False,18.7790364,100.7793135,,,0617949787,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9577548474,,osm,Nongnator Homestay,,,guest_house,guest_house,False,18.7882053,100.7309872,,,0979244914,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11076523255,,osm,Wine Story Nan,,,restaurant,restaurant,True,18.7678762,100.7569357,,"399, ตำบลดู่ใต้, 55000",092 736 9725,https://www.facebook.com/profile.php?id=100085306420290&mibextid=ZbWKwL,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13428361880,,osm,Khao Tom Nonlertros,,,restaurant,restaurant,True,18.781138,100.7800731,,,66 875432593,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13531440834,,osm,Lan Lab Food & Drink,,,bar,bar,True,18.7892722,100.7784278,,213/1,0808979394,,,,bar,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:246841788,,osm,บ้านกาแล Homestay,,,guest_house,guest_house,False,,,,,0871888125,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:246845819,,osm,โรงแรม พรบุรี,,Ponburi Hotel,hotel,hotel,False,,,,,+6654772995,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:467750920,,osm,,,Pornpong Hotel,guest_house,guest_house,False,,,,,+66 (0) 8 6988-6380,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:552938358,,osm,,,Guest House,guest_house,guest_house,False,,,,,+66629047666,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:552938362,,osm,Nam Lanna Hotel,,,hotel,hotel,False,,,,,+6654772720,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:552938365,,osm,บ้นในเวียง,บ้นในเวียง Hostel,Baan Nai Weang Hotel,hotel,hotel,False,,,,,+6654775886,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:552938372,,osm,Huen Kuang Nan Guesthouse,เอี่อนข่วงน่าน Guesthouse,Huen Kuang Nan Guesthouse,hotel,hotel,False,,,,,+66 84 6116306;+66 54 772028,https://www.facebook.com/Huenkuangnan/,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:552939933,,osm,Changphueak GH,,,guest_house,guest_house,False,,,,,+66931809051,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:552939935,,osm,Changpuak House,,,hotel,hotel,False,,,,,0830118488,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
