src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:183712146,,osm,Rashmi Plaza Hotel,,Rashmi Plaza Hotel,hotel,hotel,False,,,,,+85621315088,http://www.rashmisplazahotel.com,info@rashmishotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:3476700774,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,17.8716401,102.742789,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3476700778,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,17.8717775,102.742734,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3617256470,,osm,Mojo Hero,,,restaurant,restaurant,True,17.9421364,102.6267863,,,+856 20 97298200,https://powerar.wix.com/mojobar,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4332017361,,osm,Le Patitoh,,,restaurant,restaurant,True,17.9276496,102.6253472,,,+856 30 5082428,http://www.le-patitoh.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4529353658,,osm,Flavours & Spices,,,restaurant,restaurant,True,17.9464344,102.6236884,,,+856 20 55588339,https://www.flavorsandspices.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:6220885041,,osm,นกฮูกเฮ้าส์ ริมโขง หนองคาย,,Nokhuuk's House @Rimkhong,guest_house,guest_house,False,17.8157572,102.639092,,"222, แก้ววรวุฒิ, โพนสา, ท่าบ่อ, หนองคาย, 43110",+66 924644222,https://book-directonline.com/properties/nokhuukshouserimkhongdirect?locale=th&items[0][adults]=2&items[0][children]=0&items[0][infants]=0&currency=THB&checkInDate=2025-04-19&checkOutDate=2025-04-20&trackPage=yes,,,guest_house,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:11271167669,,osm,,,Basn Thuad Cafe,cafe,cafe,True,17.8849638,102.7498254,,,091 492 6969,https://baanthuadcafe.business.site/,,,cafe,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:476203325,,osm,สุพัตรา อพาร์ทเม้นต์,,Suphattra Apartment,motel,motel,False,,,,,+66 88 5607894,http://www.suphattraapartment.com,,,motel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:557853046,,osm,The Pizza Company,เดอะ พิซซ่า คอมปะนี,The Pizza Company,fast_food,fast_food,True,,,,Thadeua Road,+856 1112,https://www.1112.com/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:1682181237,,osm,Mut Mee Guesthouse,,,guest_house,guest_house,False,17.8834229,102.7418975,,"Nai Mueang, Mueang Nong Khai, Nong Khai, 43000",,https://www.mutmee.com,,,guest_house,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:2397815386,,osm,แดงแหนมเนือง หนองคาย,,Daeng Namnueang Nong Khai,restaurant,restaurant,True,17.8847476,102.7456389,,"526-527, ถนนริมโขง, Nai Mueang, เมืองหนองคาย, Nong Khai, 43000",,https://daengnamnuang.net/,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3326552493,,osm,Hop Inn Nong Khai,,,hotel,hotel,False,17.8778364,102.744037,,,,https://hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3888924284,,osm,,,,apartment,apartment,False,17.9193857,102.6211423,,,+856 21 315052,,laoasset@yahoo.com,,apartment,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4535170290,,osm,ธนภรแหนมเนือง หนองคาย,,Thanapornnamneung Nongkhai,restaurant,restaurant,True,17.879748,102.7485961,,"1152/2, Prajak Sillapakhom, 43000",042412241,https://m.facebook.com/Thanapornnamneungnongkhai/,sin_home@hotmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4677161589,,osm,Memory,,,cafe,cafe,True,17.9317911,102.6165776,,"056, ທະຫນົນທ່າເດື່ອ",+856 20 29805559,,nongmoui.ars@gmail.com,,cafe,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4815762222,,osm,,,Ban Donefaiy,bar,bar,True,17.8588274,102.6628882,,085,+856 30 5178302,,bounmyinthavong@gmail.com,,bar,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:6127275756,,osm,Ray's Grille,,,fast_food,fast_food,True,17.9426563,102.6267916,,,,https://www.fb.com/raysgrillelaopdr,,,fast_food,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:6430015885,,osm,วนิลา​ คาเฟ่,,Vanilla Cafe,cafe,cafe,True,17.8834724,102.7450481,,"1145, ถนนมีชัย, 43000",0910042446,,hongmaleela@gmail.com,,cafe,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:7095327586,,osm,านกลางสวน,,Ban klangsuan guesthouse,guest_house,guest_house,False,17.8287665,102.7617109,,"109/1, ถนนมิตรภาพ, 43000",080-7664113,,pari.tubtimtong@gmail.com,,guest_house,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:13423984903,,osm,Mut Mee Restaurant,,,restaurant,restaurant,True,17.8835496,102.7420329,,"1111 4, ถนน ซอย แก้ววรวุฒิ, Nai Mueang, Mueang Nong Khai, Nong Khai, 43000",,https://www.mutmee.com,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:145946007,,osm,Vientiane Restaurant Nong Khai,,,restaurant,restaurant,True,,,,,+66 42 438 438,http://www.facebook.com/pages/Vientiane-Restaurant-Nongkhai/163507667045139,vientianerestnk@gmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:1257869833,,osm,Park & Pool Resort***,,,hotel,hotel,False,,,,"163/1-3 Moo.3, Soi Dondaeng 3 Sadej Rd T.Meechai A. Muang, Nong Khai, 43000",,https://parkpoolresort.th-thailand.com/fr/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:512440209,,osm,Eat Me Cafe,,,cafe,cafe,True,17.9446493,102.6192407,,,+856 20 55851115,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:512440213,,osm,Monkey House,,Monkey House,restaurant,restaurant,True,17.9410655,102.6180913,,,+856 21 312930,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:647814040,,osm,Arounsavath Guesthouse,,Arounsavath Guesthouse,guest_house,guest_house,False,17.9225315,102.6163673,,,+856 21 313 442,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2263758603,,osm,ร้านอาหารเจหนานผิงซัน,,Janan Pingshan Restaurant,restaurant,restaurant,True,17.8836399,102.7475408,,,+66 63 795 7517,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2397809661,,osm,แพนเกสเฮาส์,แพนเกสเฮาส์,Pan Guest House,guest_house,guest_house,False,17.8856076,102.7481343,,,+6642420421,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2397815387,,osm,GoodFood,,,restaurant,restaurant,True,17.8849215,102.7460276,,,+6642460689,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2608700259,,osm,ໄກ່ອຳພອນ,,Kaiamphone Guesthouse,guest_house,guest_house,False,17.9340104,102.6169132,,,+856 21 314 121,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2608747752,,osm,,,Souksomvang,guest_house,guest_house,False,17.8979125,102.6388713,,,+856 21 316309,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2624817088,,osm,Joommalee Guest House,,,guest_house,guest_house,False,17.8861319,102.7509584,,,085-0102540,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2624817093,,osm,Jing Joe Restaurant & GuestHouse,,,restaurant,restaurant,True,17.8841686,102.7447662,,"537, Soi Rim Khong",66 090 848 7748,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3589034450,,osm,Victory,,Victory,restaurant,restaurant,True,17.9311625,102.6175209,,,+856 20 22493443,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3612516531,,osm,Café Fiore,,Café Fiore,restaurant,restaurant,True,17.9475456,102.624406,,,+856 20 58893500,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3634736887,,osm,ຊົມຂອງ,,Xomkong Sindard,fast_food,fast_food,True,17.8325022,102.6414097,,,+856 20 55404454,,,,fast_food,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3635571813,,osm,Kanlaya Apartment,,Kanlaya Apartment,hotel,hotel,False,17.8871964,102.7267783,,,+856 21 832214,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3645511715,,osm,Vongphone Grilled,,Vongphone Grilled,restaurant,restaurant,True,17.8877778,102.7324337,,,+856 20 99226330,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
