src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:1516170769,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,13.1028916,99.9388557,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:5409700121,,osm,ECO MOMENT Beachresort,,,hotel,hotel,False,13.0217787,100.0800786,,,,http://ecomomentbeachresort.com,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:13505784994,,osm,เดอะคีรีเรสซิเทล,เดอะคีรีเรสซิเทล,,hotel,hotel,False,13.1132459,99.9354389,,,,https://thekiriresitel.th-thailand.com/en/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:310767121,,osm,บูลสกาย รีสอร์ท หาดเจ้าสำราญ,บูลสกาย รีสอร์ท หาดเจ้าสำราญ,Blue Sky Resort Had Chao Sam Ran,resort,resort,False,,,,,+66 32 441399,,blueskyresorthadchao@gmail.com,,resort,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:1137537795,,osm,Rabieng Restaurant and Guesthouse,,,guest_house,guest_house,False,13.108562,99.9476525,,,+66 32425707,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5109271426,,osm,VR Petchaburi,VR Petchaburi,VR Petchaburi Anuttra,restaurant,restaurant,True,13.0885994,99.9528346,,,+66 860317861,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7848654885,,osm,บ้านทะเลซีฟู้ด,,Baantalay seafood,restaurant,restaurant,True,13.0357654,100.0858591,,,+66854052856,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7850348086,,osm,,,Maithong TARA Phetchaburi,hotel,hotel,False,13.0763493,99.9389913,,168,+66959782917,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8144460817,,osm,พรเพลส,,Phon place,hotel,hotel,False,13.0749379,99.9379008,,,+66922142736,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8297343937,,osm,,Shogun House Café,,cafe,cafe,True,12.9879487,99.9413112,,"98, มาบปลาเค้า, 76130",0994464292,https://www.facebook.com/111612296915064/posts/457758825633741/?d=n,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10680781503,,osm,บ้านพญายอ รีสอร์ท,บ้านพญายอ รีสอร์ท,,hotel,hotel,False,13.1140522,99.920453,,,+66 80 9289245,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10927739505,,osm,,,Thanyachatra Boutique,hotel,hotel,False,13.1031321,99.940582,,บันไดอิฐ 4,+66 81 2579108;+66 84 0200798;+66 32 770 468,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10973243562,,osm,Chez Nous Boutique Resort,,,hotel,hotel,False,12.9929318,100.0563926,,,+66 88 5425599,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11050667926,,osm,Lan Aroy,,,restaurant,restaurant,True,13.0992582,99.9320545,,,+66 885949878,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13533975272,,osm,Motor Ville Cafe,,,cafe,cafe,True,13.1128306,99.9354489,,,+66 95 9815538,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
