src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:3898218899,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,8.4591271,98.5316583,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:6744039785,,osm,เจเนสส​ การ์เด้น,,Genesis Garden,restaurant,restaurant,True,8.4624416,98.5307381,,"154, ถนนเพชรเกษม",089 919 3326,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11394448731,,osm,ส้มตำเฮียบอย,,,restaurant,restaurant,True,8.5007665,98.4692521,,"48/1 หมู่ที่4, ตำบลป่ากอ อำเภอเมือง, 82000",0621695485,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1578549141,,osm,Home Phangnga Guest House,,,guest_house,guest_house,False,8.4603045,98.5297193,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1578549142,,osm,Manora Garden Guest House,,,guest_house,guest_house,False,8.5025968,98.5233943,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1578549226,,osm,,,,restaurant,restaurant,True,8.428808,98.5283735,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1578549916,,osm,,,Tham San Rock Art,attraction,attraction,False,8.4649247,98.5389675,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:1578549929,,osm,Rattanapong Hotel,,,hotel,hotel,False,8.4657114,98.5311965,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1578549936,,osm,Phang-Nga Guesthouse,,,guest_house,guest_house,False,8.4660549,98.5311965,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1578549948,,osm,Thaweesuk Hotel,,,hotel,hotel,False,8.4666748,98.5311151,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1578549954,,osm,,,,hotel,hotel,False,8.469592,98.5303635,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1578549986,,osm,,,,attraction,attraction,False,8.475891,98.5390628,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
