src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:8261640017,,osm,,,Baan Saeng Chan,restaurant,restaurant,True,18.113326,100.145983,,,+66946074323,http://www.baansaengchan.com,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4873326521,,osm,,,The Best Room Place,hotel,hotel,False,18.1348892,100.1503911,,,,http://www.thebestroomplace.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:13671727430,,osm,พิพิธภัณฑ์บ้านเทพ,,Baan Thep Museum,museum,museum,False,18.1463354,100.1441636,,"Nai Wiang, Mueang Phrae, Phrae, 54000",,https://www.museumthailand.com/th/2359/storytelling/%E0%B8%9E%E0%B8%B4%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%A0%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B9%8C%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%9E/,,,museum,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:433297821,,osm,Phoom Thai Garden,,,hotel,hotel,False,,,,,,http://www.phoomthaigarden.com/index.html,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1418653926,,osm,พิพิธภัณฑ์คุ้มวงศ์บุรี,,Khum Vongburi Museum,museum,museum,False,,,,"50, Kham Lue, Nai Wiang, Mueang Phrae, Phrae, 54000",,https://www.vongburihouse.com/,,,museum,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3959077427,,osm,Huern Che Ta One Hotel,,,hotel,hotel,False,18.142985,100.13264,,,+6654524420,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4733418321,,osm,,,Chatawan Homestay,hostel,hostel,False,18.1410643,100.1324793,,,081-0359420,,,,hostel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5255593922,,osm,จินเจอร์เบรด เฮ้าส์ แพร่,,Gingerbread House Cafe B&B Gallery,guest_house,guest_house,False,18.1416124,100.1425537,,"1, เจริญเมือง, Nai Wiang, Mueang Phrae, Phrae, 54000",+66 54 523 671,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5363103524,,osm,Wee Wee,,,restaurant,restaurant,True,18.1348273,100.1539735,,ราชอุทิศ,0640044689,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6285816587,,osm,บ้านประทับใจ,,Pratubjai House,museum,museum,False,18.1375256,100.1310074,,"59, Pa Maet, Mueang Phrae, Phrae, 54000",+66 54511282,,,,museum,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7194774485,,osm,ร้านน้องเฮง,,Nong Hang restaurant,restaurant,restaurant,True,18.1419107,100.1353811,,"5, พระนอนใต้",0918524526,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7967851285,,osm,ร้านนริศ ยำแซ่บ,,Naris Yum Zap,restaurant,restaurant,True,18.1150541,100.1352661,,"เวียงทอง, 54000",0801298483,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10606524878,,osm,Kittipan,,,fast_food,fast_food,True,18.145582,100.1597813,,"Ratchaphruek Road, Chiang Mai",+66 857051564,,,,fast_food,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10859522430,,osm,Am Tea สาขาเมืองเก่าแพร่,,,cafe,cafe,True,18.1466248,100.142864,,"19/2, ไชยบูรณ์, ในเวียง, 54000",+66 98 009 9546,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13671727428,,osm,จินเจอร์เบรด เฮ้าส์ แพร่,,Gingerbread House Cafe B&B Gallery,cafe,cafe,True,18.1415727,100.1425268,,"1, เจริญเมือง, Nai Wiang, Mueang Phrae, Phrae, 54000",+66 54 523 671,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13671727429,,osm,จินเจอร์เบรด เฮ้าส์ แพร่,,Gingerbread House Cafe B&B Gallery,gallery,gallery,False,18.1415273,100.1424999,,"1, เจริญเมือง, Nai Wiang, Mueang Phrae, Phrae, 54000",+66 54 523 671,,,,gallery,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13680893061,,osm,โฮะ Bake & Craft Café,,Ho: Bake & Craft Café,cafe,cafe,True,18.1486028,100.1437262,,"Nai Wiang, Mueang Phrae, Phrae, 54000",+66 82 659 2453,https://www.facebook.com/hobakeandcraftcafe,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:629202540,,osm,Nam Thong Hotel,,,hotel,hotel,False,,,,,+6654534500,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:766133176,,osm,Payapon Villa,,,guest_house,guest_house,False,,,,,+66991424245,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1197000355,,osm,Taris Art,,,hotel,hotel,False,,,,"69, Rasadamnern Rd.",054511120,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2061302118,,osm,Northern View Hotel,,,hotel,hotel,False,18.1103257,100.1400156,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2331479593,,osm,Coffee and Etc.,,,cafe,cafe,True,18.1162644,100.172415,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3311872756,,osm,Bau Khao,,,hotel,hotel,False,18.138647,100.1446445,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3466887196,,osm,Kedtawha Bakery And Coffee,,,restaurant,restaurant,True,18.1254138,100.1474467,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3961396577,,osm,Café,,,cafe,cafe,True,18.14343,100.137042,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3961427358,,osm,Night Foodmarket,,,food_court,food_court,False,18.1422677,100.1415532,,,,,,,food_court,,,,,1,2,1,+2 tourism category,
osm:3963546192,,osm,Paadaa's Place,,,restaurant,restaurant,True,18.145698,100.139277,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3963546193,,osm,Loft Hotel,,,hotel,hotel,False,18.142485,100.13239,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3965223227,,osm,Cafe De Moon,,,cafe,cafe,True,18.1425162,100.1325399,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3965282312,,osm,,,,cafe,cafe,True,18.1436796,100.1374232,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4141989790,,osm,Khao Soy Je Lek,ร้านข้าวซอยเจ๊เล็ก,,restaurant,restaurant,True,18.1447568,100.1445455,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4321335156,,osm,Riverside Rim Yom Restaurant,ริเวอร์ไซด์ ริมยม,,restaurant,restaurant,True,18.1564207,100.1456417,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4323391227,,osm,พิพิธภัณฑ์บ้านวงศ์บุรี,,Wongburi House,museum,museum,False,18.1436861,100.1360722,,"Nai Wiang, Mueang Phrae, Phrae, 54000",,,,,museum,,,,,1,2,1,+2 tourism category,
osm:4360173184,,osm,ข้าวซอยเจ้เล็ก,,,fast_food,fast_food,True,18.1418905,100.1410461,,,,,,,fast_food,,,,,1,2,1,+2 tourism category,
osm:4360256898,,osm,ร้านฮังเล เบเกอรี่,,Hanglei Bakery Shop,cafe,cafe,True,18.1423433,100.1402148,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4360463564,,osm,ร้านอาหารปั๋นใจ๋,,,restaurant,restaurant,True,18.1438876,100.1416732,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4381993894,,osm,Photo Gallery Coffee,,,cafe,cafe,True,18.1487499,100.1492939,,,,https://www.facebook.com/Photogallerycoffee-177024085825837/,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4510275090,,osm,,,Yatirod Restaurant,restaurant,restaurant,True,18.1283992,100.1365962,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4514578961,,osm,Mee B & B,,,guest_house,guest_house,False,18.1381033,100.1453779,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4586483387,,osm,บ้านขนมเส้น,,,restaurant,restaurant,True,18.135457,100.1407274,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4586504174,,osm,Je bar,,,cafe,cafe,True,18.1438196,100.1372075,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4588562066,,osm,Balance cup,,,cafe,cafe,True,18.1400215,100.1412826,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4712886590,,osm,ไก่ย่างห้าดาว มหาโพธิ์,ไก่ย่างห้าดาว มหาโพธิ์,,restaurant,restaurant,True,18.1524675,100.1369702,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4733410526,,osm,,,,restaurant,restaurant,True,18.1440488,100.1427348,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
