src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
wongnai:414236cg,osm:12396108401,wongnai+osm,โต๊ะแดง - บ้านอาจ้อ Baan Ar-Jor บ้านอาจ้อ,โต๊ะแดง บ้านอาจ้อ,Toh Daeng Baan Ar Jor,อาหารไทย,อาหารไทย,True,8.15692,98.30517189999999,,"102, ถนนเทพกระษัตรี",+66624598889,https://baanarjor.com/,baanarjor@gmail.com,อาหารไทย,museum,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/414236cg
wongnai:2032698BM,osm:11768655487,wongnai+osm,Bon Pan Asian Tapas,,,อาหารนานาชาติ,อาหารนานาชาติ,True,7.898612,98.299844,,"124/4, 124/4 Rat-U-Thid 200 Phi Road, Pa Tong, Kathu District, Patong, Thailand, 83150, Patong, 83150",+66 65 239 2777,https://en.laromegroup.com/bontapas,bontapas.phuket@laromegroup.com,อาหารนานาชาติ|อาหารจีน,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/2032698BM
wongnai:3290113ep,osm:4105263194,wongnai+osm,The Kiri Villas Resort,,,โรงแรม/รีสอร์ท,โรงแรม/รีสอร์ท,False,8.015267,98.326537,,,+6676274413,https://www.thekirivillas.com/,rsvn@thekirivillas.com,โรงแรม/รีสอร์ท,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/3290113ep
wongnai:2252640sP,osm:9737184165,wongnai+osm,Baba Soul Café Sri Panwa,บาบา โซล คาเฟ่ ศรีพันวา,,อาหารฟิวชั่น,อาหารฟิวชั่น,True,7.801955335102929,98.41099977493286,,"88 moo 8, Sakdidej Road, Phuket, 83000",+66 7637 1000,https://sripanwa.com/,chill@sripanwa.com,อาหารฟิวชั่น|เบเกอรี/เค้ก|เครื่องดื่ม/น้ำผลไม้,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/2252640sP
wongnai:2055151vd,osm:1487434783,wongnai+osm,Hard Rock Cafe Patong,ฮาร์ดร็อค คาเฟ่,,กึ่งผับ/ร้านเหล้า/บาร์,กึ่งผับ/ร้านเหล้า/บาร์,True,7.887161002136672,98.29428093507886,83150,,+66-76-366-381,https://www.hardrock.com/locations/cafes3/cafe.aspx?LocationID=521&MIBEnumID=3,csr@phuket-hrc.com,กึ่งผับ/ร้านเหล้า/บาร์,restaurant,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/2055151vd
osm:260302192,,osm,La Moon,La Moon @ Phuket,La Moon @ Phuket,hotel,hotel,False,7.8855956,98.3936121,,"2/6, ถนนหลวงพวง, 83000",+66762209656,https://t.trip.com/oQ3gnZH,phuketresotel@yahoo.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:672810494,,osm,Andaman White Beach Resort,,,hotel,hotel,False,8.0472189,98.2781612,,"28/4 Moo 4, Tambon Sakoo, Thalang District, Phuket 83130, Tailandia",+66 76 316 300,https://www.andamanwhitebeach.com/,reservations@andamanwhitebeach.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1371509709,,osm,Boomerang Resort,,,hotel,hotel,False,7.8291728,98.3028864,,"Patak soi 10, Mueang Phuket District, KARON, Kata, Phuket, 83100",+66623648197,https://www.boomerangresortphuket.com/,info@boomerangresortphuket.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1495832341,,osm,Aochalong Villa Resort & Spa,,,hotel,hotel,False,7.8283444,98.3487053,,"16/9, Moo 5, Rawai, 83130",+6676381838,http://www.chalongbeachhotelandspa.com,chalongbeachhotelandspa@live.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:1562211240,,osm,Peach Hill,,,hotel,hotel,False,7.8261531,98.2957364,,"212, Kok Tanod Road, 83100",(66-76) 371 600,https://www.peach-hill.com/,hotel@peach-hill.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
