src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:4193382789,,osm,Numsai Khaosuay Resort,,,hotel,hotel,False,9.9596382,98.636364,,"14/19, Poemphon Rd., Khaoniwate",+6677834888,https://www.numsaikhaosuay.com/,info@numsaikhaosuay.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4483626027,,osm,The Hidden,,,hotel,hotel,False,9.9714554,98.6531883,,,+66 77 821 900,http://www.thehidden-ranong.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2072438775,,osm,Pon's Place,,,restaurant,restaurant,True,9.9623718,98.6333383,,"192, Ruangrat Road, 8500",,https://www.ponplace-ranong.com/,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:4483621589,,osm,ลูกจ่าปองโฮม,,Lukjapong Home,hotel,hotel,False,9.9556801,98.6390251,,,+66 97 424 9245,https://www.facebook.com/Lukjaponghome/,Khuntim_2626@hotmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4511423889,,osm,,,Boutique Hotel,hotel,hotel,False,9.9592442,98.6328017,,"36-37 Rueangrat Rd. Khan Niwet, 85000",077811425,,davidsoe740@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4675721897,,osm,,,The House of Happinez,guest_house,guest_house,False,9.9578583,98.6476766,,,,http://www.happinez.asia,,,guest_house,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:7118833282,,osm,A Day Inn,อะเดย์ อินน์ ระนอง,A Day Inn,hostel,hostel,False,9.9647688,98.6339905,,"204, ถนนเรืองราษฎร์, 85000",+66637898711,,adayinnranong@gmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:13494964488,,osm,AGUST Slow Brew,,,cafe,cafe,True,9.9748645,98.6385064,,"7/5, ถนนผาดาด, Khao Niwet, Mueang Ranong, Ranong, 85000",+66 61 335 4668,,topsecretmadman@gmail.com,,cafe,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4574271593,,osm,,,Sunny Side Up,cafe,cafe,True,9.9644521,98.6366528,,,0814865039,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8153361330,,osm,,,Farm house,restaurant,restaurant,True,9.9670896,98.6331894,,,+66944242459;+66872784224,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9450295270,,osm,Dahla House,,,guest_house,guest_house,False,9.9678678,98.6328262,,,077812959;0836497747,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12730270501,,osm,Sino Mansion,,,hotel,hotel,False,9.9602724,98.6334801,,"28/8, ถนนเรืองราษฎร์, 85000",095 269 2494,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12941993803,,osm,รวยเละ (โกเด้งเจ้าเก่า),,RuayRae Restaurant,restaurant,restaurant,True,9.9640579,98.6341164,,,+66 81 1241516,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13307628301,,osm,,ชิลล์,Chill Chill,restaurant,restaurant,True,9.9653939,98.6344621,,,+66805593945;+66897335312,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13432514675,,osm,D Love,,,guest_house,guest_house,False,9.9530333,98.6225562,,,+66935769426,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1026586381,,osm,Momda Resort @ Rayong,,,hotel,hotel,False,,,,,66645407065,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1026586395,,osm,Petch Ranong @ Town,,,hotel,hotel,False,,,,,66919322324,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1148137151,,osm,The Galla Hotel,,,hotel,hotel,False,,,,,+66 936954746,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1171815833,,osm,Muslim Restaurant,,,restaurant,restaurant,True,9.9643255,98.6341031,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1757329007,,osm,Casa Teresa Guesthouse,,,guest_house,guest_house,False,9.9588225,98.630093,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:2427378256,,osm,ร้านอาหาร ระนอง โอชา,,Restaurants Ranong ocha,restaurant,restaurant,True,9.9544143,98.616742,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:2633672032,,osm,Ranong Garden,,,hotel,hotel,False,9.9510795,98.6349171,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2740711453,,osm,Mark,,,bar,bar,True,9.977231,98.5524326,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:2740711455,,osm,Penguin,,,hotel,hotel,False,9.9804564,98.5517058,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2740711458,,osm,Honey Bear,,,hotel,hotel,False,9.9794289,98.5536799,,14091,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2740711756,,osm,Clock Tower,,Clock Tower,attraction,attraction,False,9.9781353,98.5520486,,14091,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:2870430653,,osm,Kiwi Orchid Guesthouse,,,guest_house,guest_house,False,9.9566616,98.6389129,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:3792793701,,osm,Luang Poj Boutique Hostel,,,hostel,hostel,False,9.9641333,98.6339274,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:3843613015,,osm,Thansila bed & breakfast,,,guest_house,guest_house,False,9.9597486,98.6461124,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
