src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:10844178037,,osm,The Roof by Sangthai,,,cafe,cafe,True,16.0525034,103.6926524,,"359, ถนนวงแหวนรอบเมืองร้อยเอ็ด, ตำบลนิเวศน์, อำเภอธวัชบุรี, นิเวศน์, ร้อยเอ็ด, 45170",+66 93 193 6165,https://the-roof-by-sangthai.business.site/,theroof_by_sangthai@hotmail.com,,cafe,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:3646166941,,osm,PaiDow Coffee,ปลายดาว คอฟฟี่,PaiDow Coffee,cafe,cafe,True,16.0708217,103.6615819,,,,https://slotwallet-auto.com/,,,cafe,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:11425813288,,osm,พิพิธภัณฑสถานแห่งชาติร้อยเอ็ด,,Roi Et National Museum,museum,museum,False,16.0541533,103.657328,,"2, 43, Peonjit Alley, Nai Mueang, Mueang Roi Et, Roi Et, 45000",,http://www.virtualmuseum.finearts.go.th/roiet/index.php/th/,,,museum,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3372960564,,osm,Sheeva Mansion,,,hotel,hotel,False,16.0356058,103.6713679,,,0933948811     0880335344     0856801800,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:3643669674,,osm,The Cake Library,,,cafe,cafe,True,16.0614012,103.6605808,,,+66 92 693 6363,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10566191226,,osm,Double T Coffee,,,cafe,cafe,True,16.0339572,103.6434422,,"260, ถนนปัทมานนท์, ในเมือง, เมือง, บ้านเหล่าบักเล, ร้อยเอ็ด, 45000",+66 86 228 1109,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13061273492,,osm,B.te cafe,,,cafe,cafe,True,16.0622523,103.6345634,,"28/1, ถนนคุ้มแสนสุข, ตำบล ในเมือง, อำเภอเมืองร้อยเอ็ด, ร้อยเอ็ด, 45000",+66 87 229 7222,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13293880629,,osm,กลุ่มเมืองไม้บาติก,,The Batik Land of Isan,attraction,attraction,False,16.0424752,103.7296406,,"นิเวศน์, ธวัชบุรี, ร้อยเอ็ด, 45170",+66 4356 9048,,,,attraction,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13344548003,,osm,Nada Residence,นฎา เรสซิเด้นซ์,,hotel,hotel,False,16.0421452,103.6520611,,"129, รัฐกิจไคลคลา ชอย 6",+66 99 229 6899,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13625386083,,osm,RATREES DINER,,,restaurant,restaurant,True,16.077057,103.6889233,,"193, มะอึ, ธวัชบุรี, ร้อยเอ็ด, 45170",098-105-8642,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
