src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:4364186207,,osm,Hong Hub @ Sakon,,,hotel,hotel,False,17.1813973,104.1115923,,,,http://honghubsakon.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:5568245021,,osm,ปูปลาจุ่ม,ปูปลาจุ่ม thai food,Pupajoom,restaurant,restaurant,True,17.1331204,104.1436185,,สกลทวาปี,+66 42 971 069,,inthiban2508@gmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:13342517101,,osm,Mali House Sakon Nakhon,,,hotel,hotel,False,17.1531556,104.1474896,,444,+66 61 492 9262,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:2130416364,,osm,โรงแรม เอ็ม.เจ. เดอะมาเจ็สติค สกลนคร (MJ the Majestic),โรงแรม เอ็ม.เจ. เดอะมาเจ็สติค สกลนคร,M.J. The Majestic Hotel Sakon Nakhon,hotel,hotel,False,17.1569482,104.1471607,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4084721101,,osm,,,,restaurant,restaurant,True,17.1624473,104.1433021,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4277796689,,osm,Apple's Restaurant,,,restaurant,restaurant,True,17.1418406,104.1446207,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4364175104,,osm,L P Mansion,,,hotel,hotel,False,17.1661446,104.1465039,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364176166,,osm,Dusit Hotel,,,hotel,hotel,False,17.1627208,104.1450984,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364177636,,osm,Hop Inn Sakon Nakhon,,,hotel,hotel,False,17.1652671,104.1386641,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364179025,,osm,PC Grand Palace,,,hotel,hotel,False,17.1631295,104.1364741,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364180833,,osm,MT Place,,,hotel,hotel,False,17.1568275,104.1410448,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364184368,,osm,UII Boutique Place,,,hotel,hotel,False,17.1587126,104.1357536,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364189288,,osm,@SAKON Hotel,,,hotel,hotel,False,17.1571954,104.1522116,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364190227,,osm,Sakon Grand Palace,,,hotel,hotel,False,17.150523,104.157455,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364194190,,osm,Bangchak Phuphan Resort,,,hotel,hotel,False,17.1415408,104.1060026,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364196238,,osm,บ้าน เศรษฐ์ธนัน Apartment Daily and Month,,,hotel,hotel,False,17.1766492,104.1222804,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364197108,,osm,หอพักวาสิตา,,,hotel,hotel,False,17.1585486,104.1201539,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4364197858,,osm,สกายอพาร์ทเม้นท์,,,hotel,hotel,False,17.1621775,104.1274602,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4550221990,,osm,,,,motel,motel,False,17.1436962,104.1071698,,,,,,,motel,,,,,1,2,1,+2 tourism category,
osm:4867521204,,osm,Imperial Sakon Hotel,,,hotel,hotel,False,17.1593209,104.1477745,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4873907841,,osm,Café Amazon,,Amazon Cafe,cafe,cafe,True,17.1156035,104.1437614,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:5271447121,,osm,,,OCha Milk,restaurant,restaurant,True,17.1613205,104.1466723,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:7059242885,,osm,,,Piccolo Cafe,cafe,cafe,True,17.1673984,104.1521947,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:11268455122,,osm,falling in the cop,,,cafe,cafe,True,17.1635522,104.1241395,,"565/4, ถนนรัฐบำรุง, ธาตุเชิงชุม, 47000",,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:12023645945,,osm,The Room Boutique Hotel,,,hotel,hotel,False,17.153796,104.1450374,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:12178255329,,osm,Fika Cafe,,,cafe,cafe,True,17.1776183,104.1227466,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:12178262396,,osm,,,,hotel,hotel,False,17.1543705,104.1461354,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:12328690982,,osm,คาเฟ่ อเมซอน,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,17.1734062,104.1059944,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:12328707717,,osm,คาเฟ่ อเมซอน,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,17.1825677,104.1146063,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:12856937001,,osm,บิ้กอ้วน แหนมเนือง,บิ้กอ้วน แหนมเนือง,Big Auon Nem Nuong,restaurant,restaurant,True,17.1652502,104.1501078,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
