src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:958267266,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,14.554463,100.9662736,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:4071296590,,osm,MK Restaurants,,MK Restaurants,restaurant,restaurant,True,14.5242931,100.9253308,,,1642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:3281620805,,osm,Choktawee Place,,,hotel,hotel,False,14.5247446,100.8970327,,,+66 897778846,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4071296596,,osm,แกรนด์จรูญรัตน์,,Grand Charoonrat,hotel,hotel,False,14.5243394,100.9211609,,,+6636220888,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4818284323,,osm,กรีนฟิลด์ รีสอร์ท,,Green Field Resort,hotel,hotel,False,14.4611388,100.9376567,,,0624181984,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8399370622,,osm,Triple A Thai Indian Restaurant,,,restaurant,restaurant,True,14.526798,100.9144911,,"216/1, Thetsaban 9",0836048716,https://m.facebook.com/Triple-A-Thai-Indian-Restaurant-Saraburi-107871347735046/,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10981914157,,osm,ชื่น Cafe,,,restaurant,restaurant,True,14.562307,100.9302027,,,0912226514,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11648478388,,osm,เจชาญหมูกระทะ,,,restaurant,restaurant,True,14.5870553,100.9836116,,"153/2, ม.7, ต.ตาลเดี่ยว อ.แก่งคอย จ.สระบุรี, 18110",0925390625,https://www.facebook.com/profile.php?id=61555267508244,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13434567000,,osm,จั๊บบ้านจู,,,restaurant,restaurant,True,14.5238419,100.9143519,,"100/102, Phahon Yothin Soi 4, Pak Prieo, Mueang Saraburi, Saraburi, 18000",+66 85 934 1345,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13660749217,,osm,อิต๋าตามสั่ง หอยทอด กาแฟสด,,,restaurant,restaurant,True,14.5717585,100.9110343,,"19, ดาวเรือง, เมืองสระบุรี, สระบุรี, 18000",0836143088,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:667881867,,osm,,,,restaurant,restaurant,True,14.5896291,101.0235455,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:958267044,,osm,Café Amazon,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,14.5545246,100.9658921,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:958267055,,osm,แบ็ลคแคนยอน,แบ็ลคแคนยอน,Black Canyon Kitchen,restaurant,restaurant,True,14.5543145,100.9665728,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:958267155,,osm,,,,restaurant,restaurant,True,14.5539512,100.9655661,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:2669998064,,osm,ก๋วยเตี๋ยวเรือเจ้าค่ะ,,,restaurant,restaurant,True,14.5239938,100.9243294,,"Sut Banthat, สระบุรี, 18000",,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3164017387,,osm,Bandaara Resort,,,hotel,hotel,False,14.5183767,100.9431199,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3237621591,,osm,,,,cafe,cafe,True,14.4923232,100.9169946,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3281620803,,osm,Bar-cony,,,nightclub,nightclub,False,14.5235502,100.9068817,,,,,,,nightclub,,,,,1,2,1,+2 tourism category,
osm:3476299422,,osm,Kyo-un Hotel,,,hotel,hotel,False,14.5225456,100.9136033,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3476299436,,osm,Akanist Tower,,,hotel,hotel,False,14.5351046,100.8982477,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3476312651,,osm,โรงแรมสระบุรี,,Saraburi Hotel,hotel,hotel,False,14.5229585,100.918367,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3476312881,,osm,Muang Prieo Inn Hotel,,,hotel,hotel,False,14.5224547,100.9357879,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3476315971,,osm,Sub Sin Roong Rueng,,,hotel,hotel,False,14.531789,100.9114093,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3476318641,,osm,ที่พัก เรือนขุมทรัพย์ อพาร์ทเมนท์ สระบุรี,,,hotel,hotel,False,14.541019,100.9480134,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3476321929,,osm,Saeng Thai Villa and Karaoke,,,hotel,hotel,False,14.5245943,100.928621,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
