src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:4484783209,,osm,Pavillion Hotel Songkhla,,,hotel,hotel,False,7.2033606,100.5936338,,"17, ถนนปละท่า, 9000",+6674441850,http://pavillionhotels.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:8641382219,,osm,,,Songkhla Walking Street,attraction,attraction,False,7.2020471,100.589406,,ถนนจะนะ,,https://www.songkhla.go.th/shop/detail/104,,,attraction,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:9176407779,,osm,やよい軒,,Yayoi-ken,restaurant,restaurant,True,7.1529215,100.6019171,,,,https://www.yayoiken.com,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:11903504870,,osm,โรงแรมโกลว์ รัตนา เพลส,,Glow Rattana Place,hotel,hotel,False,7.2030083,100.593075,,"ถนนปละท่า, 90000",+66 93 479 8889,,glow.rattana@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:4303818792,,osm,Holland House,,,guest_house,guest_house,False,7.2030455,100.5897069,,Rong Mueang Alley,074314890,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5077320023,,osm,VR songkla,VR songkla,VR songkla,restaurant,restaurant,True,7.1998617,100.5887886,,,083 18343207,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7677797080,,osm,Lyn's The Shanghai Cafe',,,restaurant,restaurant,True,7.1965712,100.5893828,,"144-146, Nakornnai, Boryang, 90000",+66832439977,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9784528274,,osm,คาเฟ่ อเมซอน,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,7.1968327,100.5903323,,"ถนน หนองจิก, Boryang, 90000",+6661 023 2891,https://www.facebook.com/cafeamazonsongkhlaoldtown,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13588745701,,osm,Montana Hotel,,,hotel,hotel,False,7.2074351,100.5930818,,,+66 74 300 614,https://lin.ee/7CTnoNA,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:496651242,,osm,Café Der See Nakornnok,คาเฟ่ เดอ ซี,,cafe,cafe,True,,,,,+66 74 898 595,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:985068061,,osm,Sook Somboon 2 Hotel,,,hotel,hotel,False,7.2025933,100.5904564,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1116453647,,osm,พิพิธภัณฑสถานแห่งชาติ สงขลา,พิพิธภัณฑสถานแห่งชาติ สงขลา,Songkhla National Museum,museum,museum,False,7.2023972,100.5889444,,,,,,,museum,,,,,1,2,1,+2 tourism category,
osm:1141893386,,osm,ร้านอาหารมุสลิม,ร้านอาหารมุสลิม,Muslim Food Restaurant,restaurant,restaurant,True,7.1788127,100.6135491,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1650153685,,osm,Songkhla Guesthouse,,,guest_house,guest_house,False,7.2030652,100.5898424,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1743997459,,osm,jazz coffee,,,restaurant,restaurant,True,7.161787,100.6060822,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:2859528994,,osm,Secret Garden,,,cafe,cafe,True,7.1953403,100.5901495,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3309949874,,osm,,,,attraction,attraction,False,7.191423,100.5727187,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:3309950101,,osm,Serpent spout water sculpture,,Serpent spout water sculpture (head),attraction,attraction,False,7.227161,100.5769363,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:3309951767,,osm,,,,attraction,attraction,False,7.1908532,100.570048,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:3309951779,,osm,,,Narai Hotel,hotel,hotel,False,7.2077081,100.5886963,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3309951781,,osm,,,,restaurant,restaurant,True,7.2082081,100.5891693,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3309953365,,osm,,,Queens Hotel,hotel,hotel,False,7.202356,100.5905342,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4136148692,,osm,บ้านแสนสุข,,,cafe,cafe,True,7.1745872,100.6262355,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4303802402,,osm,Buth GH,,,guest_house,guest_house,False,7.2030665,100.590042,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4304630394,,osm,Yoma GH,,,guest_house,guest_house,False,7.2030303,100.5886666,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4307239289,,osm,The sculpture of serpent,,,attraction,attraction,False,7.2125288,100.5884736,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:4691963100,,osm,,,Food market,attraction,attraction,False,7.2018448,100.5926892,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:4691964205,,osm,,,Old Train Station,attraction,attraction,False,7.2020567,100.59344,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:4691979601,,osm,,,Old City Wall,attraction,attraction,False,7.2019232,100.589426,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:4693102295,,osm,,,Sports Bar,bar,bar,True,7.2076628,100.5919396,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:4693135590,,osm,,,Coffee and Snacks,cafe,cafe,True,7.2031379,100.5883468,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4693532893,,osm,,,Ancient Graveyard of Dutch Merchants,attraction,attraction,False,7.23341,100.5606335,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
