src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:703520071,,osm,TR Guest House,,,guest_house,guest_house,False,17.0082514,99.8168636,,,+66 55 611663;+66 84 0499445,http://www.sukhothaibudgetguesthouse.com/,guesthouse_tr@yahoo.com,,guest_house,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:4500048790,,osm,อีฟ ยู วอนท์ โฮสเทล สุโขทัย,อีฟ ยู วอนท์ โฮสเทล สุโขทัย,If you want hostel,hostel,hostel,False,17.008896,99.8183427,,"1-2-3, นิกรเกษม, 64000",+66637797601,https://ifyouwanthostel.wordpress.com/,ifyouwanthostel@gmail.com,,hostel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:703947724,,osm,KFC,เค เอฟ ซี,KFC BigC Sukhothai,fast_food,fast_food,True,17.0108413,99.7735848,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2592517052,,osm,MK Restaurants @ Big c,,MK Restaurants,restaurant,restaurant,True,17.0109273,99.7731568,,,71642,https://www.mkrestaurant.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:6069416586,,osm,mango house,,,hotel,hotel,False,17.0070891,99.8199802,,,+66819263748,http://www.mangohousesukhothai.com,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:683064090,,osm,Friend's House,,,guest_house,guest_house,False,17.0051949,99.8155739,,,,https://www.lesukhothai.com/,,,guest_house,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:2592517060,,osm,Swensens,,,cafe,cafe,True,17.0104657,99.7731334,,,,https://www.swensens1112.com/,,,cafe,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3519687493,,osm,4T Guest House,,,guest_house,guest_house,False,17.010938,99.814718,,"122, Soi Mae Ramphan, Sukhothai, 64000",055614679,,fourthouse@yahoo.com,,guest_house,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:12360591496,,osm,Ordina,,,cafe,cafe,True,17.0952362,99.8154974,,"222, 1195, Tab Paung, Sri samrong, Sukhothai, 64120",+66 99 159 3957,,ordina.house@gmail.com,,cafe,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:1020780376,,osm,EZ House & Café,อีซีเฮาส์,,guest_house,guest_house,False,,,,"240/4 หมู่ 7, ถนนจรดวิถีถ่อง, Sukhothai, 64000",+66839954055,https://www.facebook.com/EZHouseCafe,tookkadia@hotmail.com,,guest_house,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:703520064,,osm,ตำลาว,,Poo Restaurant,restaurant,restaurant,True,17.0083092,99.8151684,,,+66 93 197 4070,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
