src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:5412162721,,osm,,,Toby’s Hostel,hostel,hostel,False,9.1457027,99.3297729,,"297/14, ถนนตลาดใหม่, 84000",+66840530553,https://tobystravel.com/,tobyshostel@gmail.com,,hostel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:5842069985,,osm,Chang Bed And Bar Hostel,,,hostel,hostel,False,9.134495,99.3428055,,"388/3, Amphoe Road",+66945898597,https://www.booking.com/Share-6IzyCeA,,,hostel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:6590240285,,osm,2street hostel,2street Hostel,,hostel,hostel,False,9.1449288,99.3239391,,"61, Ban Don Road, 84000",085 178 9306,https://www.booking.com/Share-n2UAT1,,,hostel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:10744642281,,osm,BJ City Hotel,,,hotel,hotel,False,9.1370742,99.3227434,,,+6677203231,http://bjhotel-bke.zoombookdirect.com/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:978164391,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,9.1036488,99.3068066,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:1378797007,,osm,The Pizza Company,เดอะ พิซซ่า คอมปะนี,The Pizza Company,fast_food,fast_food,True,9.1451697,99.3267506,,,1112,https://www.1112.com/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2503446691,,osm,KFC,เค เอฟ ซี,KFC,fast_food,fast_food,True,9.1460525,99.3272406,,,1150,https://www.kfc.co.th/,,,fast_food,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:5601112321,,osm,,,Cafeteria Suratthani,cafe,cafe,True,9.1432553,99.3255554,,,+6677205206,https://cafeteriathailand.com/,,,cafe,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:6338916185,,osm,,,Bake & Blend,cafe,cafe,True,9.1251006,99.3365035,,,089 730 7097,https://bakeandblend.business.site/,,,cafe,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:2671322533,,osm,Monkey School Homestay,,,guest_house,guest_house,False,9.1311065,99.3916529,,,,https://www.firstschoolformonkeys.com/homestay/,,,guest_house,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:2671322685,,osm,Monkey Training College,,,theme_park,theme_park,False,9.1310803,99.3920776,,,,https://www.firstschoolformonkeys.com/,,,theme_park,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3959993844,,osm,Hop Inn Surathani,,,hotel,hotel,False,9.0998486,99.3062956,,,,https://hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:4225632989,,osm,บ้านแสนอบอุ่น,,,hostel,hostel,False,9.1455859,99.3371769,,"229/30, ถนนอําเภอ, 84000",0946943308,,matarmuttaratpun00@hotmail.com,,hostel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:978164397,,osm,Swensen's,,,cafe,cafe,True,9.1039718,99.3067073,,,,https://www.swensens1112.com/,,,cafe,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:3488626327,,osm,Starbucks,สตาร์บัคส์,Starbucks Coffee,cafe,cafe,True,9.1104395,99.3023967,,,,https://www.starbucks.com/,,,cafe,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1813945068,,osm,Earthzone,,,pub,pub,True,9.1396725,99.3421824,,"227/61, Chalolkrat 6/1, 84000",+66 82 545 2693,,,,pub,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4122113768,,osm,Orchid Residence Suratthani,,,hotel,hotel,False,9.1502808,99.3318337,,"666/5, ถนนหน้าเมือง",077214492 or 0824230086,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7330646387,,osm,NCPLACE789,,,hostel,hostel,False,9.0887515,99.3694039,,"131/6, ถนนบ้านท่าเพชร, 84000",0953566962,,,,hostel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8938861124,,osm,Nok Hook Hotel,,,hotel,hotel,False,9.1366579,99.3304107,,,+6696 597 9429,https://facebook.com/nokhookcafe/,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9607705954,,osm,Top Residence,,,hotel,hotel,False,9.1366451,99.3318793,,,+66-898-729-3986,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10567658609,,osm,rimnam lomyen resort,,super and cheap,hotel,hotel,False,9.1661553,99.3062643,,"4 bang bai mai, 84000",+668091447747,https://www.facebook.com/rimnamlomyen,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10723177089,,osm,Little roadside hôtel,,,hotel,hotel,False,8.9709386,99.4608256,,,0840583508,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11034086574,,osm,The Port Hostel,,,hostel,hostel,False,9.1415411,99.3225655,,"4, Preedarat Road",+66 86 595 4444; +66 77 286 000,,,,hostel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12214473205,,osm,Bed&BarHostelSurat,,,hostel,hostel,False,9.1437452,99.3179909,,"23/12, บางใบไม้, เมือง, สุราาษฎร์ธานี, 84000",+66 0909692545,,,,hostel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12306444601,,osm,สุโฮเทล,,SUhotel,hotel,hotel,False,9.1398733,99.3423012,,"227/233, Chalolkrat 6/1, 84000",+66 90 199 8898,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12558655503,,osm,Hoppy Folks House Bar,,,pub,pub,True,9.1387271,99.3342748,,"531, ถนนชนเกษม, เมืองสุราษฎร์ธานี, สุราษฎร์ธานี, 84000",+66 90 930 9863,,,,pub,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5177303223,,osm,หญิงดาว,,Ying-Dao,fast_food,fast_food,True,9.1515975,99.334645,,,0909309124,,,,fast_food,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5196266023,,osm,แล้วแต่...เตี๋ยว,,Noddle as,restaurant,restaurant,True,9.1301131,99.349916,,,0846256663,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5197206523,,osm,กะปิ,,kapie,restaurant,restaurant,True,9.1401161,99.3406421,,,0952645291,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5198018247,,osm,มายเทอเรส,,My Terrest,restaurant,restaurant,True,9.1387697,99.3578914,,,077962465,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:5925883085,,osm,,,Dolce Vita,restaurant,restaurant,True,9.123328,99.3242843,,,077310115,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6413357009,,osm,Nok Hook Garden Cafe,,,cafe,cafe,True,9.1368119,99.3306494,,,+6696 597 9429,https://facebook.com/nokhookcafe/,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7489921569,,osm,ซูชิมั้ย สุราษฎร์ธานี,,,restaurant,restaurant,True,9.1336797,99.3336337,,"359/39, ถนนชนเกษม, สุราษฎร์ธานี, 84000",+66 846253430,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8937415917,,osm,เตี๋ยวเหอะ เชื่อดิ,,Noodles,restaurant,restaurant,True,9.1341159,99.3241418,,,+66836492282,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8938557717,,osm,ALIVE Cafe,,,cafe,cafe,True,9.1182097,99.3129375,,,+66954168585,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8938557718,,osm,รดม-นม,รดม-นม-ปัง,Dome Nom Pung Milk & Matcha bar,cafe,cafe,True,9.1183202,99.31236,,,+6681 620 8681,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8940173817,,osm,ไผ่หยก ติ่มซำ อาหารเช้า,,Pai-Yok Tim-Sam Breakfast,restaurant,restaurant,True,9.1393946,99.3274338,,,+6698 956 9936,https://facebook.com/paiyokdimsum,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10310243386,,osm,ผัดไทยท่าฉางป้าหนุ่ย,,Padthai Phanui,restaurant,restaurant,True,9.1451947,99.3264355,,"แผงที่ 8, Ton Po Road, เมือง, 84000",+66843055656,https://www.facebook.com/Padthai.Phanui,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10744636766,,osm,ร้านผักบุ้งเจ๊จอน (ผักบุ้งลอยฟ้าเก่า),,,restaurant,restaurant,True,9.1345748,99.3244547,,,+6677286122,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:10971416280,,osm,ร้านเฉียบหมูกระทะ ริมบึงขุนทะเล,,,restaurant,restaurant,True,9.0737465,99.3298738,,"68/3, ถ. พ่อขุนทะเล, มะขามเตี้ย, 84000",0937874217,https://www.facebook.com/profile.php?id=100093385159206&sk=about,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11104030408,,osm,Tooday Cafe,,,cafe,cafe,True,9.1690057,99.2880167,,,+66 81 891 6699,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12013396169,,osm,House No. 5,,,restaurant,restaurant,True,9.1445801,99.3238118,,"317/13 Moo 2, 84000",+66 94 6256413,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12373554101,,osm,ร้านทนาย หัวโค้งริมน้ำตาปี,,,restaurant,restaurant,True,9.1418728,99.3225232,,,+66 81 6061746,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12531314201,,osm,,,,cafe,cafe,True,9.1493997,99.3787613,,84000,+66 83 702 9662,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12531314202,,osm,ร้านครัวแม่ย่า - Kruamaeya Suratthani,,,restaurant,restaurant,True,9.1487384,99.3867268,,84000,+66 81 478 2261,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12976162701,,osm,Tian Fu Plant Based (Vegan),,,restaurant,restaurant,True,9.1464054,99.3254077,,ถนนบ้านดอน,+66 92 469 1694,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:259777623,,osm,100 Islands Resort & Spa,,,hotel,hotel,False,9.1024165,99.3047813,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1377406506,,osm,แก้วสมุย รีสอร์ท,แก้วสมุย รีสอร์ท,Kaew Samui Resort,hotel,hotel,False,9.1144356,99.3454312,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1378797006,,osm,โรงแรมบรรจงบุรี,โรงแรมบรรจงบุรี,Bunjongburi Hotel,hotel,hotel,False,9.1013931,99.3246855,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1378797138,,osm,,,,viewpoint,viewpoint,False,9.0999344,99.3502181,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:1562211614,,osm,My Place @ Surat Hotel,,,hotel,hotel,False,9.1442805,99.3256564,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1785620187,,osm,,,,hotel,hotel,False,9.0955514,99.2903471,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1786293248,,osm,,,,guest_house,guest_house,False,9.1034722,99.3134282,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:1788098911,,osm,,,,hotel,hotel,False,9.1050525,99.304087,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1821270986,,osm,Turn On Coffee,,,pub,pub,True,9.1340578,99.3240536,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:1827694139,,osm,Monkeyhouse,,,hotel,hotel,False,9.1337196,99.328824,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:1829096376,,osm,สะพานคลองฉนาก,,,viewpoint,viewpoint,False,9.1830461,99.3261962,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:2187904588,,osm,The One Hotel,,,hotel,hotel,False,9.1410241,99.3337014,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2502431118,,osm,Tapee Hotel,,,hotel,hotel,False,9.1430218,99.3255235,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2668562630,,osm,ราชธานี,,,hotel,hotel,False,9.1457641,99.3272316,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3268503297,,osm,Chokkarun Guest House,,,guest_house,guest_house,False,9.1369039,99.3305126,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4024849424,,osm,,,Papangkorn House,hotel,hotel,False,9.1466061,99.3332185,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4122113603,,osm,Tapee River Viewpoint ,,,viewpoint,viewpoint,False,9.1451643,99.3236838,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:4122157089,,osm,Orchid Riverview Hotel,,,hotel,hotel,False,9.1422183,99.318775,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4122938293,,osm,สะพานศรี​สุราษฎร์​,,,viewpoint,viewpoint,False,9.1738794,99.3584826,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:4376572492,,osm,ferry,ferry,,attraction,attraction,False,9.1934803,99.4480484,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:4583566294,,osm,นารายา รีสอร์ท,นารายา รีสอร์ท,,hotel,hotel,False,9.111591,99.3144452,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4586483800,,osm,ปากน้ำกะแตะ,ปากน้ำกะแตะ,,attraction,attraction,False,9.2097917,99.477589,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:4688586098,,osm,,,Louvre bar,bar,bar,True,9.1440555,99.3381888,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:4701347189,,osm,,,Rooms at Surat,hostel,hostel,False,9.1462648,99.3286875,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:4704620291,,osm,,,Jetty River View Point,viewpoint,viewpoint,False,9.1466602,99.324103,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:4706163606,,osm,,,Bandon Hotel,hotel,hotel,False,9.1419033,99.3235732,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4706174192,,osm,,,Intown Hotel,hotel,hotel,False,9.1420299,99.3237028,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4739101332,,osm,,,Floating Village,attraction,attraction,False,9.1506084,99.3203517,,,,,,,attraction,,,,,1,2,1,+2 tourism category,
osm:4904121421,,osm,,,,hotel,hotel,False,9.1399324,99.3277641,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:5174586830,,osm,,,My point,viewpoint,viewpoint,False,9.1557409,99.2778477,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:5324893221,,osm,,,Toby’s Hostel,hostel,hostel,False,9.1454682,99.3299581,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:5464131723,,osm,,,Bali,bar,bar,True,9.1410042,99.3399965,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:5571091622,,osm,,,kiss,bar,bar,True,9.1381306,99.3259351,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:5582098721,,osm,บ้านพร,,,apartment,apartment,False,9.1616721,99.3379568,,,,,,,apartment,,,,,1,2,1,+2 tourism category,
osm:5594172522,,osm,Cheap Guesthouse,,,guest_house,guest_house,False,9.1436792,99.3281834,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:6384651285,,osm,,,Urban cozy hostel,hostel,hostel,False,9.1444753,99.3292304,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:6487139685,,osm,,,Boundary Hostel & Cafe,hostel,hostel,False,9.1463828,99.3287608,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:6531830351,,osm,Merlion Hostel,,,hostel,hostel,False,9.1434201,99.3277972,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:6531845900,,osm,Viewpoint to Bridge,,,viewpoint,viewpoint,False,9.1429869,99.3226855,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:6831805897,,osm,Little PP Hometel,,,hotel,hotel,False,9.1388394,99.3264872,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:7025049385,,osm,,,Baan Bon Khao - View Suai,viewpoint,viewpoint,False,9.0930864,99.2889166,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:7123677285,,osm,,,Drunky Bear café,bar,bar,True,9.145362,99.3266123,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:7140835948,,osm,Donya Home,,Donya Home,guest_house,guest_house,False,9.1426075,99.4847631,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:7148859685,,osm,,,Sunset View,viewpoint,viewpoint,False,9.1366511,99.3129417,,,,,,,viewpoint,,,,,1,2,1,+2 tourism category,
osm:7183346124,,osm,Sleepbox Hostel,,,hostel,hostel,False,9.141991,99.3192194,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:7183346125,,osm,Crossroads Riverside,,,bar,bar,True,9.1402778,99.3192552,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:7799655668,,osm,Perfect Place,,,hotel,hotel,False,9.1202158,99.3363069,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
