src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:491648448,,osm,Thongtarin Hotel,,,hotel,hotel,False,,,,,+66 44514281,https://www.thongtarinhotel.com/,rsvn@thongtarinhotel.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:6065408086,,osm,,,Blue Elephant Guesthouse,guest_house,guest_house,False,14.8793499,103.4943309,,"Sathit Alley, 32000",,https://blueelephantsurin.com/,blueelephanthouse@gmail.com,,guest_house,,,,,1,6,4,+3 real website ; +2 tourism category ; +1 email,
osm:6341081970,,osm,Hopp Inn,,,hotel,hotel,False,14.8870657,103.4856703,,,,https://www.hopinnhotel.com/,surin@hopinnhotel.com,,hotel,,,,,1,6,4,+3 real website ; +2 tourism category ; +1 email,
osm:6408715231,,osm,โรงแรมโซริน บูทีค (Sorin boutique hotel),,,hotel,hotel,False,14.8804546,103.4836193,,"22/88, ถนนเทศบาล 3, ในเมือง, 32000",+66 4 406 0188,,Sorin_boutiquehotel@hotmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:8259599979,,osm,TaraWaDee Thai Massage,,,massage,massage,False,14.8887685,103.5009585,,"143, Sirirut Road, Surin, 32000",+66 649091489,https://tarawadee.me,,,massage,,,,,0,5,4,+3 real website ; +2 phone,
osm:12697913978,,osm,Orchid Surin Hotel,โรงแรมออร์คิดสุรินทร์,,hotel,hotel,False,14.8817455,103.5075505,,"19, Rungkit, Nai Mueang, Mueang Surin, Surin, 32000",+66 910209262,,info.orchidsurin@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:513430010,,osm,Farang Connection,,,restaurant,restaurant,True,14.8878672,103.497319,,"257/11, Jitbumrung Rd, Muang Surin, 32000",+6644511509,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4676131990,,osm,,,The Olarn Residence,guest_house,guest_house,False,14.8831198,103.496178,,"1923/3 Thetsaban 2, Nai Mueang, Mueang Surin District, Surin 32000, ថៃ",+66903748357,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13095326173,,osm,Surin Majestic Hotel,,,hotel,hotel,False,14.8898265,103.4972407,,,+66 44 713 980; +66 44 713 981; +66 44 713 982; +66 44 713 983,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13348096501,,osm,โรงแรมเดอะกรีนนิช,,The Greenish Hotel,resort,resort,False,14.8958047,103.4965497,,"50/2, ถนนยุทธนา",+66 98 390 1898,,,,resort,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1199480694,,osm,Garden House,,,cafe,cafe,True,,,,"7P65VGG6+F5, 223/1, หมู่ 6 ซอยคุ้มไตรคาม, นอกเมือง, 32000",0850879984,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4734668622,,osm,นิวโฮเตล,,New Hotel,hotel,hotel,False,14.8910737,103.4936643,,,,,Newhotel_surin@hotmail.com,,hotel,,,,,1,3,2,+2 tourism category ; +1 email,
osm:418649381,,osm,,,,cafe,cafe,True,14.8779493,103.531859,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:802088880,,osm,Oasis Restaurant,,,restaurant,restaurant,True,14.88812,103.497534,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3278210672,,osm,Maneerote Hotel Surin,,,hotel,hotel,False,14.8875984,103.4859753,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
