src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:10559052343,,osm,VELAWARIN HOTEL,โรงแรม เวฬาวาริน,,hotel,hotel,False,15.2020207,104.8624086,,"2-6, ถนนทหาร, วารินชำราบ, 34190",+66803697639,https://www.velawarin.com/,reservation@velawarin.com,,hotel,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:3063279077,,osm,Peppers Restaurant & Bakery,,,restaurant,restaurant,True,15.239639,104.8553683,,"297/2-3, Uppalisan Rd, Ubon Ratchathani, 34000",+66 45 245275,https://www.peppersbakery.com/,,,restaurant,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:11928124112,,osm,B2 Ubon,โรงแรมบีทู อุบล,B2 Ubon Boutique-and-Budget Hotel,hotel,hotel,False,15.2506448,104.8277753,,,+66 (45) 950-909,https://www.b2hotel.com/ubon-ratchathani/b2-ubon-boutique-budget-hotel/,,,hotel,,,,,1,7,5,+3 real website ; +2 tourism category ; +2 phone,
osm:13028269801,,osm,Mama Wong,,,restaurant,restaurant,True,15.2338695,104.8708595,,,,http://www wongmum.com,mama@wongmum.com,,restaurant,,,,,1,6,4,+3 real website ; +2 tourism category ; +1 email,
osm:3326552633,,osm,Hop Inn Ubon Ratchathani,,,hotel,hotel,False,15.2505731,104.8256695,,,,https://hopinnhotel.com/,,,hotel,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:6337898591,,osm,สตาร์บัคส์,,Starbucks,cafe,cafe,True,15.2564849,104.847806,,,,http://www.starbuckscard.in.th,,,cafe,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:11240828237,,osm,Ubon Best Place,,,hotel,hotel,False,15.2292678,104.8703293,,"3 3 Srinarong, ตำบล ในเมือง Mueang Ubon Ratchathani District, Ubon Ratchathani 34000",+66 89 928 8694,,ubonbestplace@gmail.com,,hotel,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:11795909642,,osm,Nobu,,,restaurant,restaurant,True,15.2672926,104.8175193,,,,https://www.wongnai.com/restaurants/337911aO-nobu-growing-space,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:12802543602,,osm,ปากหม้อ Robot เจ๊หุ่นยนต์,,Pakmor Robot Jeh Hunyon,restaurant,restaurant,True,15.22819,104.8534239,,82,,http://www.veryubon.com/pakmor-robot/,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:1440420719,,osm,โรงแรม โตเกียว,โรงแรม โตเกียว,Tokyo Hotel,hotel,hotel,False,15.2351299,104.8554169,,,+6645241739,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4224843692,,osm,Fundee 1 Mansion,,,hotel,hotel,False,15.2704885,104.843478,,"18 , Chayang kun 38",+66 45 312 318,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4809834624,,osm,เอสเพลส,เอสเพลส,Espress,motel,motel,False,15.285675,104.8686703,,,045437333,,,,motel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4809850222,,osm,เอสเพลส,เอสเพลส,Espress,motel,motel,False,15.285647,104.8687073,,"161/18, 161/18 Ban Don Khae, Thanon Khai Yai, Ampner Mueang Ubon Ratschathani, 34000, 34000",045437333,,,,motel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6015213484,,osm,วารินบุรี วิลล่า แอนด์ สปา,วารินบุรี วิลล่า แอนด์ สปา,,motel,motel,False,15.2184862,104.9473899,,,+6645301111,,,,motel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6419154047,,osm,บ้านแป้งอบ,,Banpangaob,cafe,cafe,True,15.2745073,104.8329393,,,+66619016586,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6904373085,,osm,Eco inn lite ubon ratchathani,,,hotel,hotel,False,15.2289076,104.8617088,,"152, ถนนศรีณรงค์, 34000",+66 45 254 200,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:6950684802,,osm,14 cafe,,,cafe,cafe,True,15.2334567,104.8700604,,,+66 83 925 6073,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7045755292,,osm,ภันเต ร้านกาแฟ,,Plantae,cafe,cafe,True,15.202081,104.8627149,,,+66 45 269 921,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7781957752,,osm,พี.เจ. รีสอร์ท,พี.เจ. รีสอร์ท,P.J. Resort,guest_house,guest_house,False,15.2163522,104.944582,,,+66854119807,,,,guest_house,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8423122967,,osm,ฺิBunny Sleep By Ma-nee เบเกอรี่โฮมเมด,,,cafe,cafe,True,15.2421406,104.8538024,,"80 ซอย 2, ถนนชยางกูร, ในเมือง อำเภอเมือง จังหวัดอุบล, 34000",0635929449,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8442370280,,osm,ทำเนียบเหงา - Tam Neab Ngao,,,restaurant,restaurant,True,15.2485691,104.8913062,,"191 หมู่ 2, ซอยซลประทาน, ตำบลในเมือง อำเภอเมือง จังหวัดอุบลราชธานี, 34000",+66963189028,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8486544351,,osm,ฅ.เครื่องดื่มทุกชนิด,,,restaurant,restaurant,True,15.229376,104.8633578,,"73/4, ถนนราชวงศ์, ในเมือง, 34000",0955600548,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8584771617,,osm,โรงน้ำแข็งช้างไอซ์,,,restaurant,restaurant,True,15.2335148,104.8412055,,"252, พโลชัย, ในเมือง, 34000",0803706776,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:8944344128,,osm,เพชราภา ขนมไทยโบราณ,,,restaurant,restaurant,True,15.2642777,104.9270629,,"223, ถนนวงแหวนรอบเมืองอุบลราชธานี, กุดลาด, 34000",0927826198,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9596414617,,osm,,,Morning Ubon,restaurant,restaurant,True,15.2355356,104.8530306,,,081-718-8755,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:11243535637,,osm,300Grams butcher & restaurant,,,restaurant,restaurant,True,15.2296982,104.8636053,,,+66 62 338 9938,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12314233001,,osm,Okasan Japanese BBQ,,,restaurant,restaurant,True,15.2326206,104.8705971,,,0808947547,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12902171601,,osm,SnackSho,,,restaurant,restaurant,True,15.2241455,104.8615976,,,094-7838932,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13779596991,,osm,บ้านสวนเพลินพัฒน์,,,restaurant,restaurant,True,15.2697641,104.854034,,,+66992498262,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:738400160,,osm,Utthayān Bunniyom,อุทยานบุญนิยม,,restaurant,restaurant,True,,,,34000,+66 (45) 240-950,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:324253652,,osm,River Moon Guesthouse,,,guest_house,guest_house,False,15.2011803,104.8624295,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:679597830,,osm,,,Ma Long Du,cafe,cafe,True,15.2915801,104.8509993,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:679787562,,osm,คาเฟ่ อเมซอน,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,15.2772397,104.8459718,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:686184393,,osm,,,The View,cafe,cafe,True,15.2791898,104.8474919,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:686197350,,osm,,,Kittrong Restaurant,restaurant,restaurant,True,15.2786774,104.8461479,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:686601948,,osm,,,,restaurant,restaurant,True,15.2512285,104.8887229,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:686601953,,osm,,,,restaurant,restaurant,True,15.2507032,104.8855393,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:1440391217,,osm,Ubonratchathani National Museum,พิพิธภัณฑ์แห่งชาติ อุบลราชธานี,Ubonratchathani National Museum,museum,museum,False,15.2276805,104.8577626,,,,,,,museum,,,,,1,2,1,+2 tourism category,
osm:1440417154,,osm,U-Bar,,,bar,bar,True,15.2330835,104.8642105,,,,,,,bar,,,,,1,2,1,+2 tourism category,
osm:1440419959,,osm,,,,pub,pub,True,15.2241093,104.8613264,,,,,,,pub,,,,,1,2,1,+2 tourism category,
osm:1440419960,,osm,Moon Lover,,,restaurant,restaurant,True,15.2242202,104.8616131,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:2071155022,,osm,,,,food_court,food_court,False,15.2709097,104.8407534,,,,,,,food_court,,,,,1,2,1,+2 tourism category,
osm:2071155029,,osm,,,,food_court,food_court,False,15.2691232,104.8384663,,,,,,,food_court,,,,,1,2,1,+2 tourism category,
osm:3281960662,,osm,The Ratchanthani Hotel,,,hotel,hotel,False,15.2272921,104.8591812,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326553950,,osm,Ubon Buri Resort,,,hotel,hotel,False,15.2100543,104.8591316,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326555791,,osm,Picnic Hotel,,,hotel,hotel,False,15.2336164,104.8491103,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326558151,,osm,Tohsang Hotel,,,hotel,hotel,False,15.2324984,104.8452372,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326558850,,osm,Avemaria Hotel,,,hotel,hotel,False,15.2281713,104.851578,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326559039,,osm,Central Mansion,,,hotel,hotel,False,15.2319601,104.852447,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326559359,,osm,Bordin Hotel,,,hotel,hotel,False,15.2318566,104.8540134,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326559605,,osm,Si Somthai House,,,hotel,hotel,False,15.2382126,104.8473401,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326560235,,osm,Laithong Hotel,,,hotel,hotel,False,15.2331713,104.8610515,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326560416,,osm,The Phadaeng Mansion,,,hotel,hotel,False,15.2341754,104.8584122,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326560559,,osm,Krungtong Hotel,,,hotel,hotel,False,15.2292997,104.8672689,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326560571,,osm,Laithong Hotel,,,hotel,hotel,False,15.2339328,104.8680638,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326562629,,osm,The Regent Hotel,,,hotel,hotel,False,15.2419144,104.8514101,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326562669,,osm,UBO International Hotel,,,hotel,hotel,False,15.2467297,104.8521284,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326562671,,osm,Nevada Inn Hotel,,,hotel,hotel,False,15.2471928,104.8517687,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326562693,,osm,T3 House,,,hotel,hotel,False,15.2350161,104.860001,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326562701,,osm,Suriyat,,,hotel,hotel,False,15.2377571,104.8615826,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326563608,,osm,The CoCo Place,,,hotel,hotel,False,15.2390567,104.8747823,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326563696,,osm,The Outside Inn,,,hotel,hotel,False,15.2372969,104.8747555,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326563924,,osm,Pathumrat Hotel,,,hotel,hotel,False,15.2432614,104.8512768,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326564195,,osm,Dusita Parkview Hotel,,,hotel,hotel,False,15.2528393,104.8556206,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326564367,,osm,A+ Hotel,,,hotel,hotel,False,15.2531891,104.8559379,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326564934,,osm,Rim Huay Resort,,,hotel,hotel,False,15.2520527,104.8478315,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326565025,,osm,Thapanee Jennifer Mansion,,,hotel,hotel,False,15.2517473,104.8511413,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326565391,,osm,Better Place Ubon,,,hotel,hotel,False,15.2525392,104.8529438,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326567329,,osm,Hug Na Ubon Place,,,hotel,hotel,False,15.247581,104.8523698,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326569061,,osm,Living Apartment,,,hotel,hotel,False,15.2563534,104.8468123,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326570073,,osm,Sunee Grand Hotel & Convention Center,,,hotel,hotel,False,15.2558514,104.8481051,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326571229,,osm,Gaem Gaew Grand Garden Hotel,,,hotel,hotel,False,15.2538563,104.8331866,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326571230,,osm,The Rich Hotel,,,hotel,hotel,False,15.2535535,104.8387656,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326573359,,osm,Rapeepan Ville Hotel,ระพีพรรณวิล โฮเทล,,hotel,hotel,False,15.2511677,104.8342649,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326575696,,osm,Pen Ta Hug Hotel,,,hotel,hotel,False,15.2489215,104.8343936,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326577376,,osm,The Zara Double Tree Hotel,,,hotel,hotel,False,15.2489163,104.831631,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3326580819,,osm,Huaymuang Apartment,,,hotel,hotel,False,15.2468771,104.8362819,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3488626311,,osm,สตาร์บัคส์,,Starbucks,cafe,cafe,True,15.2393658,104.8231029,,,,www.starbuckscard.in.th,,,cafe,,,,,1,2,1,+2 tourism category,
osm:3496246203,,osm,Sunee Mansion,,,guest_house,guest_house,False,15.228556,104.850557,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:3848547098,,osm,,,New Nakornluang Hotel,guest_house,guest_house,False,15.2268732,104.8606217,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4170903490,,osm,เจ๊อร ซีฟู้ด,,,restaurant,restaurant,True,15.2670663,104.8738517,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:4312136590,,osm,Saloon Cafe,,,cafe,cafe,True,15.2348573,104.8473568,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4320887890,,osm,96 Cafe,,,cafe,cafe,True,15.2335538,104.8670491,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4344212906,,osm,Coffee & Bakery,,,cafe,cafe,True,15.2727196,104.8373867,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4344478891,,osm,Coffee & Bakery,,,cafe,cafe,True,15.2729244,104.8371954,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4405149090,,osm,คาเฟ่ อเมซอน,คาเฟ่ อเมซอน,Café Amazon,cafe,cafe,True,15.2390809,104.8628589,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4423260005,,osm,ร้านณ ต้นตาลอินเตอร์เน็ต,,Natontan Netcafe,cafe,cafe,True,15.2606869,104.8503603,,"ถนนสุขาสงเคราะห์, 34000",,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4606715784,,osm,,,Ubon Hotel,hotel,hotel,False,15.226816,104.8579493,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:4659337691,,osm,,,Fun Dee Mansion,guest_house,guest_house,False,15.2707937,104.8441781,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4659378889,,osm,,,Prasongsook Hostel,hostel,hostel,False,15.2707652,104.8435804,,,,,,,hostel,,,,,1,2,1,+2 tourism category,
osm:4659383790,,osm,,,VT Mansion,guest_house,guest_house,False,15.2708725,104.8440494,,,,,,,guest_house,,,,,1,2,1,+2 tourism category,
osm:4742577387,,osm,Mosa,,,cafe,cafe,True,15.2320898,104.8601103,,,,,,,cafe,,,,,1,2,1,+2 tourism category,
osm:4809855222,,osm,เอสเพลสอพาทเมนต์,,,motel,motel,False,15.2856491,104.868697,,,,,,,motel,,,,,1,2,1,+2 tourism category,
