src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,wongnai_cuisine,wongnai_price_range,wongnai_opening_hours,wongnai_rating,wongnai_review_count,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
wongnai:145326Ob,osm:535285078,wongnai+osm,Scandinavian Bakery,,,เบเกอรี/เค้ก,เบเกอรี/เค้ก,True,17.964696,102.60801,43130,,+856 21 21519,https://www.scandinavianbakerylaos.com/,,เบเกอรี/เค้ก,cafe,,,,,,2,ok,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=Scandinavian%20Bakery&search_type=keyword_exact_phrase,,1,10,7,+3 real website ; +3 FB ads (2) ; +2 tourism category ; +2 phone,https://www.wongnai.com/restaurants/145326Ob
wongnai:342037oh,osm:4357796591,wongnai+osm,ทะเลบัวแดง,,,อุทยานและธรรมชาติ,อุทยานและธรรมชาติ,True,17.2123791,103.03447000000006,,ทางหลวงชนบทหมายเลข 2007,+66 81 9645420,https://www.facebook.com/RedLotusSea.org/,,อุทยานและธรรมชาติ|จุดชมวิว,attraction,,,Sun 00:00-23:59 | Mon 00:00-23:59 | Tue 00:00-23:59 | Wed 00:00-23:59 | Thu 00:00-23:59 | Fri 00:00-23:59 | Sat 00:00-23:59,4.1,20,16,ok,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B9%81%E0%B8%94%E0%B8%87&search_type=keyword_exact_phrase,,1,8,6,+3 FB ads (16) ; +2 tourism category ; +2 phone ; +1 reviews (20),https://www.wongnai.com/restaurants/342037oh
wongnai:203678Af,osm:3832536548,wongnai+osm,Soul Kitchen,,,พิซซ่า,พิซซ่า,True,17.9517468,102.6190677,,,+856 20 56 120 804,,soulkitchen.vientiane@gmail.com,พิซซ่า|อาหารฝรั่งเศส|อาหารอิตาเลียน,restaurant,,,,,,3,ok,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=Soul%20Kitchen&search_type=keyword_exact_phrase,,1,8,6,+3 FB ads (3) ; +2 tourism category ; +2 phone ; +1 email,https://www.wongnai.com/restaurants/203678Af
osm:756460257,,osm,โรงแรมเพรสซิเดนท์,โรงแรมเพรสซิเดนท์,President Hotel,hotel,hotel,False,17.3917882,102.784011,,,+66 42 327777,http://www.presidenthotelthailand.com/,info@presidenthotelthailand.com,,hotel,,,,,,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:757443045,,osm,โรงแรมประจักษ์ตรา,โรงแรมประจักษ์ตรา,Prajaktra Hotel,hotel,hotel,False,17.4185432,102.7786233,,,+66 42 240444,http://www.prajaktrahotel.com,info@prajaktrahotel.com,,hotel,,,,,,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:2912000169,,osm,Udoncabana,อุดรคาบาน่า,,hotel,hotel,False,17.4179083,102.7905514,,"30/7, ถนนโพนพิสัย, อุดรธานี, 41000",+66 89 4039403;+66 42 223018,https://www.udoncabana.com/,booking@udoncabana.com,,hotel,,,,,,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:116246117,,osm,Napalai Hotel,,,hotel,hotel,False,,,,,+66 42 347444,http://www.napalaihoteludon.com/,reservation@napalaihoteludon.com,,hotel,,,,,,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:310801679,,osm,โรงแรมบ้านเชียง,โรงแรมบ้านเชียง,Ban Chiang Hotel,hotel,hotel,False,,,,,+66 42 327911,http://www.banchianghotel.com/,info@banchianghotel.com,,hotel,,,,,,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:319228324,,osm,The Pannarai Hotel,,,hotel,hotel,False,,,,"19/8, Sampantamit Road, Udon Thani, Udon Thani, 41000",+66 42 345111;+66 42 344999,https://thepannaraihotel.com/,thepannaraiud@hotmail.com,,hotel,,,,,,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
osm:319228326,,osm,@Home at Udon,,,hotel,hotel,False,,,,"Mākkhǣng, Udon Thani, 41000",+6642212800,http://www.athomeatudon.com,at_home_at_udon@yahoo.com,,hotel,,,,,,,,,,1,8,6,+3 real website ; +2 tourism category ; +2 phone ; +1 email,
