src_id,src_id_alt,sources,name,name_thai,name_en,category_raw,subcategory,is_food,lat,lng,zipcode,address,phone,website,email,wongnai_categories,osm_subcategory,fb_ad_count,fb_check_status,fb_search_url,review_count,is_tourism,lead_raw,lead_quality,score_factors,detail_url
osm:8444320666,,osm,ครัวสหายซีฟู้ด,,,restaurant,restaurant,True,17.6548209,100.0906316,,"88, ท่าเสา, 53000",0900499474,https://www.facebook.com/ครัวสหายซีฟู้ด-111985270204860/,nongmamnan.mam3103@gmail.com,,restaurant,,,,,1,5,4,+2 tourism category ; +2 phone ; +1 email,
osm:11528578963,,osm,Conner - คอนเนอร์,,,restaurant,restaurant,True,17.630255,100.0881866,,"6/50, Chesadabodin Road, Tha-it, 53000",,https://bit.ly/3HCGbeE,,,restaurant,,,,,1,5,4,+3 real website ; +2 tourism category,
osm:4170886509,,osm,ร้านเรือนพี่เรือนน้อง,,,restaurant,restaurant,True,17.5894318,100.1348765,,Uttaradit Thailand,+6655442937,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:4320640589,,osm,,,Ran-ahan tak ngoen,restaurant,restaurant,True,17.608937,100.0834751,,"2/83, พาดวารี, 53000",055403858,Facebook/ร้านอาหารตักเงินใกล้ขนส่งอุตรดิตถ์,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:7721723362,,osm,เค้กไข่ไต้หวัน เบสเบค สาขาอุตรดิตถ์,,,restaurant,restaurant,True,17.6150376,100.0891787,,"3/3, ถนนเจษฎาบดินทร์, เมืองอุตรดิตถ์, 53000",0839878622,,,,restaurant,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:9277650517,,osm,Staychill Resort,,Staychill Resort,hotel,hotel,False,17.6586024,100.1752021,,"249 Moo 6, Uttaradit, 53000",+66819539416,,,,hotel,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:12039946970,,osm,Fresh Me สาขา ม.ราชภัฏอุตรดิตถ์,,,cafe,cafe,True,17.6357338,100.0924423,,"27, ถนนอินใจมี, ต.ท่าอิฐ อ.เมือง จ.อุตรดิตถ์, 53000",+66996611645,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:13455355205,,osm,ADDICT.coff,,,cafe,cafe,True,17.6370342,100.0946051,,"200/1, ถนนอินใจมี ซอย3, ท่สอิฐ, เมือง, อุตรดิตถ์, 53000",0839724600,,,,cafe,,,,,1,4,3,+2 tourism category ; +2 phone,
osm:1212228643,,osm,New York Steakhouse,,,restaurant,restaurant,True,17.6103804,100.0857112,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:2147736301,,osm,โรงแรมไทธนารีสอร์ท,,,hotel,hotel,False,17.6086281,100.0838679,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2487094623,,osm,Friday Hotel (closed 2020),,,hotel,hotel,False,17.614288,100.0928447,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:2622028435,,osm,,,,restaurant,restaurant,True,17.6097522,100.0881019,,,,,,,restaurant,,,,,1,2,1,+2 tourism category,
osm:3033876278,,osm,,,,hotel,hotel,False,17.6210045,100.0994332,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3314146631,,osm,Grang Wana Hotel,,,hotel,hotel,False,17.6122878,100.0916724,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
osm:3314153585,,osm,Thanakorn Hotel,,,hotel,hotel,False,17.6312099,100.1022511,,,,,,,hotel,,,,,1,2,1,+2 tourism category,
