osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
301318914,node,amenity,bar,Sukanya Bar Beer,,,12.9374757,100.8838118,,,,,,,,,,,,
301331693,node,tourism,hotel,Sandy Spring Hotel,,,12.9307015,100.8798905,+66 38 414752,http://www.sandyspringhotel.com/,,,,info@sandyspringhotel.com,,,,,,
301331704,node,tourism,guest_house,KTK House,,,12.9302213,100.8807851,+66 38 410933;+66 38 410996;+66 38 410575,,,,,ktkhouse@hotmail.com,,,,,,
301567636,node,amenity,pub,Queen Victoria Inn,,,12.9420933,100.8869386,+66 38 425418,https://www.queenvictoria-inn.com/,,,,,,,,,,
301766462,node,tourism,guest_house,TJ Guesthouse,,,12.9456059,100.8878066,,,,,,,,,,,,
301775184,node,tourism,guest_house,PS Guest House,,,12.9307103,100.8789772,+66 38 428247;+66 38 421177,,,,,,,,,,,
301775267,node,tourism,guest_house,Riviera Beach,,,12.9296609,100.8795737,+66 38 429623,http://rivierabeach.be/,,,,riviera.beach@yahoo.fr,,,,,,
303896244,node,tourism,guest_house,Montana Court,,,12.928515,100.8764979,+66 38 425912;+66 38 425913,,,,,,,,,,,
303896270,node,tourism,hotel,Penthouse Hotel,,,12.9279706,100.8763159,+66 38 710917;+66 38 710927;+66 38 710937;+66 38 429639,https://www.penthousehotel.com/,,,,,,,,,,
303896283,node,amenity,nightclub,G.A.Y. Pattaya,,,12.926395,100.8742856,+66 839190695,,,,,,,,,,,
303896291,node,tourism,guest_house,P.72 Hotel,,,12.9261066,100.8732141,+66 38 429291,https://www.p72hotel.com/,,,,p72hotel@thepattayacity.com,,,,,,
303896292,node,tourism,guest_house,White Rose Hotel II,,,12.9256251,100.8734417,+66 38 424943;+66 38 410719,,,,,whiterosehotel2@hotmail.com,,,,,,
303896316,node,tourism,hotel,Abunawas Merry Inn Hotel,,,12.9244054,100.8726547,+66 38 429450;+66 38 422301,,,,,abunawashotel@hotmail.com,,,,,,
304470253,node,amenity,pub,Easy Corner,,,12.9447294,100.8915549,,http://www.easycornerpub.com,,,,,,,,,,
358317773,node,tourism,hotel,Nova Park,,,12.9404954,100.8908842,+66 38 415304,http://www.novaparkpattaya.com/,,,,,,,,,,
358325268,node,tourism,guest_house,F&B Hotel,,,12.9378761,100.886955,+66 38 427142,,,,,,,,,,,
411296366,node,tourism,guest_house,Eldorado Guesthouse,,,12.9233489,100.875365,+66 38 713259,http://eldorado-pattaya.com/,,,,,,,,,,
411313949,node,tourism,hotel,Dream Hotel,,,12.9252824,100.8738739,+66 38 420771,https://www.dreamhotelpattaya.com/,,,,,,,,,,
411313953,node,tourism,hotel,White Inn,,,12.9258289,100.874305,+66 38 429841,,,,,,,,,,,
414581806,node,tourism,guest_house,Jasmine Villa,,,12.9298574,100.8853188,+66 38 488534;+66 38 488547;+66 82 3836665,,,,,,,,,,,
415291952,node,tourism,guest_house,Chaiyapoon Inn,,,12.9283129,100.8867623,+66 38 415847,https://www.soichaiyapoon.com/,,,,,,,,,,
415291954,node,tourism,guest_house,Valentine's,,,12.9282116,100.8861466,+66 86 1431222;+66 38 720583,,,,,albionallan@yahoo.com,,,,,,
415291974,node,tourism,guest_house,Sanya Apartments,,,12.9248203,100.8805684,+66 33 671483,https://www.sanya-apartments.com/,,,,Sanya.apartments@gmail.com,,,,,,
415592085,node,amenity,bar,-5° Supperclub,,,12.9389748,100.8905018,,,,,,,,,,,,
421263037,node,tourism,guest_house,TC House,,,12.9314926,100.8900653,+66 87 5814522;+66 89 2452869,,,,,,,,,,,
421263058,node,tourism,guest_house,Perfect Residence,,,12.9487427,100.8988172,+66 38 371488,https://www.perfectpattaya.com/,,,,,,,,,,
422803775,node,tourism,guest_house,Warissa House,,,12.9343746,100.8896345,+66 38 410041;+66 87 4194679,,,,,,,,,,,
423747049,node,tourism,hotel,Jomtien Garden,,,12.893089,100.8727288,+66 38 756523,https://www.jomtiengarden.com/,,,,reservation@jomtiengarden.com,,,,,,
423778081,node,tourism,guest_house,RS Seaside,,,12.8765193,100.8858388,+66 38 231867,,,,,,,,,,,
423778087,node,tourism,guest_house,Cheena House 2,,,12.8779571,100.8878826,+66 89 9391449;+66 81 8656737,http://www.pattayacheenahouse.com,,,,,,,,,,
554187220,node,amenity,nightclub,Star Dice Entertainment,,,12.9550119,100.8896537,,,,,,,,,,,,
559927726,node,amenity,bar,Luck Bar 1,,,12.9298902,100.8835088,,,,,,,,,,,,
559927843,node,amenity,bar,Boxing Roo,,,12.9273405,100.8870286,,,,,,,,,,,,
700700694,node,tourism,apartment,Jon Apartments,,,12.9300728,100.8790478,+66 38 710905,https://www.stayinpattaya.com/,,,,,"08:00-20:00; ""Staff in attendance. Key entry outside these hours.""","183/28 Moo 10, Soi 13/2",,,no,
995956011,node,tourism,attraction,ตลาดน้ำ 4 ภาค พัทยา,Pattaya Floating Market,ตลาดน้ำ 4 ภาค พัทยา,12.8678803,100.9048103,,https://www.pattayafloatingmarket.com/,,,,,Mo-Su 09:00-20:00,,,,,
1036608857,node,tourism,guest_house,Golden Beach Place,,,12.9440805,100.885082,+66 38 488223;+66 86 1482266;,,,,,goldenbeachplace@hotmail.sg,,,,,no,
1044028485,node,tourism,viewpoint,,,,12.9278472,100.8632145,,,,,,,,,,,,
1044071409,node,tourism,guest_house,Retox,,,12.931785,100.8832725,,,,,,,,,,,,
1060226204,node,amenity,bar,Roli Polli Bar,,,12.9342841,100.8874192,,,,,,,,,,,,
1060226247,node,amenity,bar,Kingkong Sports Bar,,,12.9297574,100.8853004,+66 98 3938145,,,,,,,,,,,
1060236584,node,amenity,bar,Puy Bar,,,12.9346059,100.8863997,,,,,,,,Soi New Plaza,,,,
1060236591,node,amenity,bar,Natalies Bar,,,12.9345734,100.8862212,,,,,,,,,,,,
1078508241,node,amenity,pub,Fabrice,,,12.9314786,100.9322466,+66 89 0941732;+66 84 5657356;,http://www.hotel-fabrice-resort-pattaya.com/,,,,,,,,pizza,,
1078517457,node,tourism,theme_park,Pattaya Elephant Village,,,12.912681,100.9388666,,https://www.elephant-village-pattaya.com/,,,,,,,,,,"Phairat Chaiyakham Co.,Ltd."
1111344716,node,amenity,bar,Fantasy Bar,,,12.9012543,100.8687407,,,,,,,,,,,,
1463832605,node,tourism,guest_house,Nightstar,,,12.9262207,100.8747252,+66 38 710716,https://www.sanya-nightstar.com/,,,,Sanya.Nightstar@gmail.com,,,,,,
1498963618,node,tourism,guest_house,Evelyn Residence,,,12.9378367,100.9122733,+66 91 470048;+66 91 1606680,,,,,,,,,,,
1498963620,node,amenity,pub,Route CC,,,12.9276589,100.9512869,,,,,,,,,,,,
1545438905,node,tourism,guest_house,PP House,,,12.955783,100.8918167,,https://www.facebook.com/pphouse.pattaya,https://www.facebook.com/pphouse.pattaya,,,pphouse@turboz.net,,,,,,
1548852177,node,amenity,pub,Rock Factory,,,12.9301707,100.8857952,+6698-267-6234,,,,,,,,,,,
1549975218,node,tourism,apartment,Family Home,,,12.9354345,100.8914658,,,,,,,,,,,,
1550011245,node,tourism,museum,Bottle Art Museum,,,12.9552882,100.9072077,,http://www.bottlemuseum.net/,,,,,,,,,,
1550042254,node,tourism,theme_park,Kids ATV's,,,12.9062445,100.8831406,,http://www.pattayakart.com/en/,,,,,,,,,,
1551753422,node,amenity,bar,Butterfly Bar,,,12.9303839,100.9406179,,,,,,,,,,,,
1551753473,node,amenity,bar,Joy Joy Bar,,,12.9363478,100.9306789,,,,,,,,,,,,
1551753476,node,amenity,pub,Black Oyster Bar,,,12.9436349,100.9406823,,,,,,,,,,,,
1551753484,node,amenity,pub,La Guinguette,,,12.9342033,100.9535784,,,,,,,,,,,,
1553398552,node,amenity,bar,Meeting Point,,,12.9302233,100.8809139,,,,,,,,,,,,
1553398554,node,amenity,bar,Wonderful Bar,,,12.9297751,100.8803872,,,,,,,,พัทยาสายสอง,,,,
1555088360,node,amenity,pub,Green Tree,,,12.9471079,100.8849026,,http://www.pattayagreentree.net,,,,,,,,western,,
1555088373,node,amenity,pub,Deutsches Haus,,,12.9447462,100.88495,,,,,,,,พัทยาสายหนึ่ง,,german,,
1555101562,node,tourism,guest_house,PJ DJ bar,,,12.9358579,100.8856211,+66 38 361473;+66 87 4864713;+66 80 0943517,http://www.pjdjbar.com/,,,,,,,,,,
1555107938,node,amenity,bar,Micky's Beer Bar,,,12.9348278,100.8859942,,,,,,,,,,,,
1555845109,node,tourism,museum,Ripley's Believe it or not,,,12.9287611,100.8785712,,https://www.ripleysthailand.com/index.php?p=believe,,,,,Mo-Su 11:00-23:00,,,,,
1557009912,node,amenity,pub,Mulligans Irish Pub,,,12.9352054,100.882328,+66 38 043388,https://mulliganspubs.com/,,,,,,,,,,
1557009919,node,amenity,bar,Naka 95 Bar,,,12.9364668,100.8828206,,,,,,,,,,,,
1557009936,node,amenity,bar,Tiger Beach Bar,,,12.9364992,100.8829308,,,,,,,,,,,limited,
1557009937,node,amenity,bar,Poppy 2,,,12.9365534,100.8828429,,,,,,,,ถนนพัทยาสายหนึ่ง,,,limited,
1557021552,node,amenity,pub,Beer House,,,12.9289382,100.8777577,,,,,,,,,,,,
1557021571,node,amenity,bar,Africano's Cave,,,12.9286856,100.8779345,,,,,,,,,,international;asian,,
1557038847,node,amenity,pub,Dicey Reily Irish Pub,,,12.9291659,100.8795904,+66 38 411755,https://www.diceyspub.com/,,,,,08:00-24:00,,,,,
1557038858,node,tourism,guest_house,The Nags Head,,,12.929074,100.8801134,+66 38 425274;+66 38 723174,,,,,nagshead_pattaya@yahoo.co.th,,,,,,
1557049245,node,amenity,bar,Tims Bar,,,12.9303166,100.881338,,http://www.timbarpattaya.com/,,,,,,,,,,
1557057968,node,amenity,bar,Papagayo,,,12.9305017,100.8824748,,,,,,,,,,,,
1557057973,node,amenity,pub,The Rock House,,,12.9299128,100.8841322,+66 38 720446,http://www.rockhousepattaya.com/,,,,,,,,steak;burger;sausage,,
1557057982,node,amenity,bar,Billabong,,,12.9300775,100.884514,,http://www.billabonghotel.com/,,,,,,,,,,
1557057984,node,amenity,pub,i-rovers,,,12.9303752,100.8844591,,https://www.i-rovers.com/,,,,,,,,western;thai,,
1557057990,node,tourism,guest_house,Pasadena Lodge,,,12.9304384,100.8844535,+66 38 489152,,,,,pasadenalodge@yahoo.com,,,,,,
1557058005,node,tourism,guest_house,Armageddon,,,12.929907,100.8851698,+66 38 720729,http://www.armageddonbar.com/,,,,info@armageddonbar.com,,,,,,
1559506302,node,tourism,apartment,Luck Apartment,,,12.9289294,100.8838461,+66 85 2760587,,,,,,,,,,,
1560362829,node,amenity,pub,Two Lions Pub,,,12.9345499,100.8901157,+66 38 720986,http://twolionsrestaurant.com/,,,,info@twolionsrestaurant.com,Tu-Su 12:00-23:00,,,swedish;pizza;kebab;thai;steak,,
1560368051,node,amenity,bar,Harry's Pit Stop,,,12.9325188,100.8904248,,,,,,,,,,,,
1560371075,node,tourism,apartment,MB Apartment,,,12.9321544,100.8901701,+66 38 374464;+66 89 8331821,,,,,,,,,,,
1560395941,node,amenity,bar,New Buffalo Bar,,,12.9267789,100.8864655,,,,,,,,,,,,
1562515727,node,amenity,bar,Beer and Coffee,,,12.9248931,100.9050293,,,,,,,,,,,,
1562520576,node,amenity,bar,Dao Bar,,,12.9271478,100.9082285,,,,,,,,,,,,
1562520577,node,tourism,guest_house,Chatkaew Hill and Residence,,,12.9281896,100.9090108,,,,,,,,,,,,
1562521197,node,amenity,bar,Paradise Bar,,,12.9236654,100.9097103,,,,,,,,,,,,
1562521201,node,amenity,bar,The Bird Cage,,,12.9072091,100.919828,,,,,,,,,,,,
1562521202,node,amenity,bar,Darkside,,,12.9096698,100.9172933,,,https://www.facebook.com/profile.php?id=100083130971953,,,,,,,,,
1562529960,node,amenity,bar,Top 10,,,12.9297633,100.9381555,,,,,,,,,,,,
1562537447,node,amenity,bar,The Pussy Cat Club,,,12.9291568,100.9245567,,,,,,,,,,,,
1562541204,node,amenity,bar,The Brass Monkey,,,12.9294496,100.9286046,,http://brassmonkeypattaya.com/,,,,,,,,,,
1562541210,node,amenity,bar,Top Cool Retreat,,,12.9303803,100.9198038,,,,,,,,,,,,
1563487434,node,tourism,guest_house,SY Mansion,,,12.9318768,100.8912815,+66 81 8233385,,,,,,,,,,,
1563906567,node,tourism,guest_house,JR Place,,,12.9291632,100.9032545,,,,,,,,,,,,
1563910604,node,amenity,bar,Old Hounds,,,12.9262329,100.901708,,,,,,,,,,,,
1572477702,node,tourism,guest_house,Chan Resort,,,12.9103236,100.8743861,+66 38 050128;+66 83 0030831,https://www.chanresort.com/,,,,ChanResort@gmail.com,,Pattaya,,,,
1572477722,node,tourism,guest_house,Sala Villas,,,12.9107461,100.8743992,,http://www.salavillas.com/,,,,chantwinresort@hotmail.co.th,,Pattaya,,,,
1572477723,node,tourism,guest_house,Baan Souy Resort,,,12.9116638,100.871052,+66 38 364580;+66 80 8321383,https://www.baansouy.com/,,,,info@baansouy.com,,,,,,
1572489538,node,tourism,guest_house,Windfield Resort,,,12.9108613,100.8729931,,,,,,,,Pattaya,,,,
1574159960,node,amenity,bar,Duck Bar and Resturant,,,12.9400513,100.8908787,,,,,,,,,,,,
1574162968,node,amenity,pub,Jameson's,,,12.9403554,100.8908149,+66 38 361874,https://www.jamesons-pattaya.com/,,,,,Mo-Su 07:00-01:00,พัทยากลาง 12,,steak;irish;italian;burger,,
1574162973,node,amenity,bar,Sun Shine Beer Bar,,,12.9407198,100.8905149,,,,,,,,,,,,
1574167110,node,amenity,bar,Bar Bliss,,,12.9424332,100.8881808,,,,,,,,,,,,
1574167112,node,amenity,bar,Malee Bar Beer,,,12.9422563,100.888097,,,,,,,,,,,,
1574167146,node,amenity,bar,Capital Bar,,,12.9425551,100.8883741,,,,,,,,,,,,
1574173726,node,amenity,bar,Fin,,,12.943504,100.8889186,,,,,,,,,,,,
1574173732,node,amenity,bar,One Bar Noi 3,,,12.9443274,100.888578,,,,,,,,,,,,
1574173747,node,amenity,pub,Beerfest,,,12.9428957,100.8883957,+66 87 7497005;+66 38 362297,https://www.beerfest-thai.com/,,,,,Mo-Su 14:00-01:00,,,steak;sausages;pizza,,
1574186097,node,tourism,guest_house,Around the Corner Bar and Guesthouse,,,12.9452025,100.8884134,+66 86 8236971,https://www.facebook.com/aroundthe.cornerbar,https://www.facebook.com/aroundthe.cornerbar,,,,,,,,,
