osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
257066461,node,tourism,hotel,lebua at State Tower,,,13.7215136,100.516885,+6626249999,https://www.lebua.com/state-tower,,,,,,"1055 State Tower, ถนนสีลม, แขวงสุริยวงศ์, 10500",,,limited,lebua Hotels and Resorts
280176686,node,tourism,hotel,House By The Pond,,,13.7264888,100.56342,,,,,,,,,,,,
304195460,node,tourism,attraction,,Holy Monkey Palace,,13.5727787,100.5992262,,,,,,,,,,,,
311073584,node,amenity,bar,Molly Malone's,Molly Malones,,13.7274447,100.5334988,,,,,,,,,,,,
317050229,node,tourism,hotel,Floral Shire Resort,,,13.7181753,100.7648962,,http://www.floralshireresort.com,,,,,,56,,,,
317050266,node,tourism,hotel,Patra Place,,,13.7462462,100.6085348,,,,,,,,,,,,
317957633,node,tourism,hotel,Bangkok City Suite,,,13.7571598,100.5218859,,,,,,,,"1, Petchburi Soi 1, กรุงเทพมหานคร",,,,
373098282,node,tourism,museum,พิพิธภัณฑสถานธรรมชาติวิทยา,Museum of Natural History,พิพิธภัณฑสถานธรรมชาติวิทยา,13.7374778,100.5300846,,,,,,,,,,,,
447589953,node,tourism,hostel,New Road Guesthouse,,,13.725687,100.516011,,,,,,,,,,,,
476307466,node,tourism,hotel,Heritage Hotel,,,13.7176464,100.5254721,,,,,,,,,,,,
478536604,node,amenity,bar,Hu'u Bar,,,13.720795,100.5280414,,,,,,,,,,,,
481996223,node,tourism,hotel,Forum Park Hotel,,,13.7070248,100.5358115,,,,,,,,"1633/2, Chan Soi 2, Chan Rd, กรุงเทพมหานคร, 10120",,,,
567014290,node,tourism,attraction,ผ่านฟ้าลีลาศ,Phanfa Leelard,ผ่านฟ้าลีลาศ,13.7555116,100.506445,,,,,,,Mo-Fr 08:00-20:00; Sa-Su 08:00-19:30,,,,,
573453708,node,amenity,nightclub,Glow,,,13.738672,100.563958,,,,,,,,,,,,
621287381,node,tourism,hotel,Baan Sala Daeng,,,13.7263613,100.5373806,,,,,,,,,,,,
670274486,node,amenity,bar,Lolita's,,,13.7392395,100.5556686,,http://www.lolitasbangkok.com/,,,,,,,,,,
752238141,node,tourism,hotel,Best Western AMARANTH,,,13.6470752,100.7144626,,,,,,,,,4,,,
776037975,node,tourism,hotel,Stable Lodge,Stable Lodge,,13.7383661,100.5561563,,,,,,,,,,,,
776037977,node,tourism,hotel,Dynasty Inn Bangkok Hotel,,,13.7410823,100.5530873,,,,,,,,"5/5, Soi Sukhumvit 4, 10110",,,,
776037982,node,amenity,pub,Bully's Bankok,,,13.7421037,100.5524785,,https://www.facebook.com/BullysBKK,https://www.facebook.com/BullysBKK,,,,,,,,,
776746014,node,tourism,hotel,PS Guesthouse,,,13.7374075,100.5557504,,,,,,,,,,,,
776746053,node,amenity,bar,Big Dog's,,,13.7415321,100.5530394,,,,,,,,,,,,
776746156,node,amenity,pub,Chequers,,,13.7408121,100.5530437,,,,,,,,,,,,
776746274,node,tourism,hotel,The Family,,,13.7601131,100.5027895,+66958960395,https://www.facebook.com/thefamilybkk,https://www.facebook.com/thefamilybkk,,,,,"1 6, Prachathipatai Rd, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Bangkok 10200, Thaïlande, กรุงเทพมหานคร, 10200",,thai,,
891242942,node,tourism,motel,KU Home,,,13.8450988,100.567741,,,,,,,,,,,limited,
891253823,node,tourism,museum,สำนักพิพิธภัณฑ์และวัฒนธรรมการเกษตร,Office of Agricultural Museum and Culture,,13.8477123,100.5637517,,,,,,,,,,,,
891272542,node,tourism,museum,พิพิธภัณฑ์สัตว์น้ำบางเขน,,,13.8550248,100.5676698,,,,,,,,,,,,
893940216,node,amenity,pub,เกษตรสโม,,,13.844961,100.5616315,,,,,,,,,,,,
893975287,node,tourism,hostel,whiteplace,,,13.8597904,100.5487864,,,,,,,,,,,,
893975291,node,tourism,hostel,sun,,Sun set place,13.8590925,100.5488294,,,,,,,,,,,,
897193058,node,amenity,bar,The Play,,,13.8395004,100.5742195,,,,,,,,,,,,
929190087,node,tourism,motel,niagra hotel,,Niagara Hotel,13.7233336,100.5271394,,,,,,,,,,,,
933234282,node,tourism,hotel,Vaboir Lodge,,,13.7684973,100.6324202,,,,,,,,,,,,
942310465,node,tourism,hotel,โรงแรมจัมโปเทล,Jumbotel Hotel,โรงแรมจัมโปเทล,13.8930434,100.5617395,,,,,,,,"ทุ่งสองห้อง, หลักสี่, กรุงเทพมหานคร",,,,
942310690,node,tourism,hotel,โรงแรม ทีเค.พาเลซ,TK. Palace Hotel,โรงแรม ทีเค.พาเลซ,13.8913703,100.5612895,+66 2 5741588,http://www.tkpalace.com/,,,,,,"54/7, ทุ่งสองห้อง, หลักสี่, กรุงเทพมหานคร, 10210",,,,
942311647,node,amenity,bar,เอเบียร์โฮมบาร์แอนด์แกลเลอรี่,aBeer Home Bar & Gallery,,13.8922149,100.5605209,0830380634,,,,,,Mo-Su 17:00-00:00,"307, ซอยคุณวิเวียน, ทุ่งสองห้อง, หลักสี่, กรุงเทพมหานคร",,,,
951517623,node,tourism,hotel,Best Western Mayfair Suites,,,13.7554701,100.5368263,,,,,,,,,,,,
964021841,node,tourism,guest_house,MHC Guesthouse,,,13.7281661,100.5719475,+6622599884,https://www.mhc-guesthouse.com/,,,,mhc-guesthouse@hotmail.com,,8/4,,,no,
971363511,node,tourism,hostel,We Train Intl. House,,,13.9389596,100.5843484,,www.we-train.co.th,,,,info@we-train.co.th,,,,,,
985091452,node,amenity,pub,,,,13.771351,100.6791121,,,,,,,,,,,,
1034880627,node,tourism,museum,พิพิธภัณฑ์เรือหลวงแม่กลอง,,,13.5387347,100.5843463,,,,,,,,,,,,
1097723846,node,amenity,bar,Jazz Happens,,,13.7620197,100.4935959,,,,,,,,,,,,
1142880102,node,tourism,hotel,Bossotel Inn,,,13.7212127,100.5154612,,https://www.bossotelinn.com/,,,,,,,,,,
1196935417,node,tourism,hotel,7-Eleven,7-Eleven,The house of Phraya Jasaen,13.7150996,100.5146901,,https://www.7eleven.co.th/,,,,,,,,,,Seven & I Holdings
1215705813,node,amenity,public_building,ดุริยางค์ตำรวจ,,ดุริยางค์ตำรวจ,13.9052508,100.5278371,,,,,,,,,,,,
1286878492,node,amenity,pub,Ekkamai Beer House,,,13.723404,100.5847181,,,,,,,,,,,,
1346720681,node,amenity,pub,Center Khao Sarn,,,13.7589807,100.4968873,,,,,,,,,,,no,
1357415697,node,tourism,hotel,Erewan Airport Hotel,,,13.9110863,100.5820368,,,,,,,,,,,,
1359758188,node,amenity,bar,Gazebo,,,13.7592261,100.4953383,,,,,,,,,,,,
1359843426,node,amenity,bar,Brick Bar,,,13.7585971,100.4984729,,,,,,,,,,,yes,
1359843432,node,amenity,bar,Club Culture,,,13.7556631,100.5033034,,,,,,,,,,,,
1374585057,node,tourism,museum,สถานแสดงพันธุ์สัตว์น้ำจืด เกษตรกลาง,,,13.842545,100.5756015,,,,,,,,,,,,
1374621686,node,amenity,pub,ชมรมมหาวิทยาลัย-ชาวบ้าน,,,13.8479972,100.5671496,,,,,,,,,,,no,
1374638038,node,amenity,bar,ร้านโค้งสัตวแพทย์,,,13.8461336,100.575738,,,,,,,,,,,,
1374644117,node,amenity,pub,เกษตรสโม,,,13.8431897,100.5624002,,,,,,,,,,,,
1374644650,node,amenity,pub,เกษตรสโม,,,13.8442192,100.5622152,,,,,,,,,,,,
1374904165,node,tourism,guest_house,โครงการหาบ้านใหม่ให้สุนัขจรจัด,,,13.8460794,100.576634,,,,,,,,,,,,
1412990209,node,tourism,hotel,TUB Room,,,13.9060492,100.5094726,,,,,,,,,,,,
1413490249,node,tourism,hotel,Bangkok Inter Place Hotel,,โรงแรมบางกอกอินเตอร์เพลส,13.7533377,100.6224604,,,,,,,,,,,,
1414158877,node,amenity,bar,Dream Pub,,,13.7542485,100.6270479,,,,,,,,,,,,
1414158878,node,amenity,bar,3rd Pub,,,13.7543215,100.6268283,,,,,,,,,,,,
1524383601,node,amenity,pub,โรงเหล้าแสงจันทร์ พระราม 2,,,13.6572511,100.4292148,,www.rama2.sangjan.net,,,,,,ถนนพระรามที่ 2,,,,
1524659674,node,tourism,museum,หอประวัติฯ,,,13.8457725,100.5663888,,,,,,,,,,,,
1534921847,node,tourism,hotel,บ้านเฉลียงอพาทร์เมนต์,Balcony Home,บ้านเฉลียงอพาทร์เมนต์,13.8481932,100.582884,,,,,,,,Phaholyothin 44,,,,
1597520234,node,amenity,bar,,Bann Phoen,,13.8395442,100.5733728,,,,,,,,,,,,
1597528308,node,tourism,museum,อนุสรณ์สถานแห่งชาติ,,อนุสรณ์สถานแห่งชาติ,13.9520699,100.6211885,,,,,,,,"ถนนพหลโยธิน, 10210",,,,
1607319416,node,tourism,guest_house,Wendy House,,,13.7482306,100.5296591,+66 2 214 1149,https://www.wendyguesthouse.com/evos/front/bin/home.phtml,,,,info@wendyguesthouse.com,,,,,,
1618612103,node,tourism,guest_house,Bangkok House,,,13.7637426,100.4981508,,,,,,,,,,,,
1618710941,node,amenity,bar,,,,13.7522661,100.4982287,,,,,,,,,,,,
1620287270,node,tourism,hotel,Orchid Resort,,,13.7195389,100.7776203,,http://orchidresort.net/,,,,,,,,,,
1632794902,node,tourism,hotel,Swana Bangkok,,,13.764882,100.5027294,,http://www.swanabangkok.com/,,,,,,,,,,
1641043367,node,tourism,attraction,Bang Nam Phueng Floating Market,Bang Nam Pheung Floating Market,,13.6802705,100.576055,,,,,,,Sa-Su 08:00-17:00,,,,,
1658904584,node,amenity,pub,Freedom Pub,,,13.7362861,100.5982072,,,,,,,,,,,,
1658905409,node,amenity,nightclub,,,,13.7359702,100.5981196,,,,,,,,,,,,
1678653018,node,amenity,bar,Sunrise Tacos Mexican Grill 24 hours,,,13.7283505,100.5328854,,,,,,,,"ซอยสีลม 4, 10500",,,,
1678679140,node,amenity,bar,The Nest,,,13.7445515,100.5559684,,www.nest-bangkok.com,,,,,,,,,,
1696984912,node,tourism,museum,มาดามทุสโซ กรุงเทพฯ,Madame Tussaud's Bangkok,มาดามทุสโซ กรุงเทพฯ,13.7464988,100.5317246,,https://www.madametussauds.com/bangkok,,,,,,,,,,
1705001052,node,amenity,nightclub,Lucky Karaoke,,,13.9047456,100.5381926,,,,,,,,58/71,,,,
1705391791,node,amenity,bar,บานชื่นรื่นอารมณ์,,,13.7888497,100.5953667,,,,,,,,"ลาดพร้าว 64 แยก 4, 10310",,,,
1711215674,node,tourism,hotel,Northgate Ratchayothin,,,13.8299422,100.5638276,+66 2 9397949,https://www.northgatebangkok.com/,,,,,,,,,,
1720469683,node,tourism,hotel,Park Plaza Hotels,,โรงแรมพาร์ค พลาซ่า,13.7328957,100.5628539,,,,,,,,,,,,
1720469685,node,tourism,hotel,Oakwood Apartments Trilliant,,,13.7329973,100.5626018,,,,,,,,,,,,
1720469693,node,amenity,bar,Palm @18,,,13.7331614,100.5628593,081-989-4584,,,,,,Mo-Su 10:00-24:00,,,thai;european,,
1721552664,node,amenity,parking_space;fast_food,Subway,,,13.7670443,100.5695972,,,,,,,,,,sandwich,,
1725736667,node,tourism,hotel,Twin Towers Hotel,,,13.7456331,100.519515,,,,,,,,,,,,
1754863651,node,tourism,attraction,Lan Chang Styled Scripture Repository and Wihan (070),,,13.5478605,100.6353656,,,,,,,,,,,,
1756609826,node,amenity,pub,ไว้ลาย,White Line,ไว้ลาย,13.7569197,100.5095809,,,,,,,,,,,,
1795295271,node,tourism,hostel,Homestay,,,13.6769351,100.5825926,,,,,,,,,,,,
1795295346,node,tourism,hostel,Homestay,,,13.677361,100.582911,,,,,,,,,,,,
1795296725,node,tourism,hostel,Homestay,,,13.6756677,100.581541,,,,,,,,,,,,
1799118867,node,tourism,guest_house,,Home Stay Poo Yai Oi,,13.6727411,100.5687725,,,,,,,,,1,,,
1799118872,node,tourism,guest_house,Phuenang Homestay,,,13.6751823,100.5721458,,,,,,,,,1,,,
1799203298,node,tourism,museum,พิพิธภัณฑ์ปลากัดสยาม,Siam Fighting Fish Gallery,พิพิธภัณฑ์ปลากัดสยาม,13.6998906,100.56285,+66 89 4464155,,siamesefighthingfishgalery,,,,Sa-Su 10:00-17:00,,,,,
1801787030,node,tourism,hotel,Fortuna,,,13.7425054,100.5541598,,,,,,,,,,,,
1812250163,node,tourism,viewpoint,บางปู,,,13.5127304,100.6537823,,,,,,,,,,,,
1833808846,node,amenity,pub,SNOP,,,13.8205409,100.6333157,,,,,,,,,,,,
1856585259,node,amenity,pub,,,,13.7285411,100.5352365,,,,,,,,,,,,
1856766520,node,tourism,guest_house,,,,13.7628922,100.5010387,,,,,,,,,,,,
1868784630,node,tourism,hotel,Center Point Silom,,,13.7199971,100.5150385,,,,,,,,,,,,
1872413363,node,tourism,attraction,สะพานพระราม 8,Rama VIII Bridge,สะพานพระราม 8,13.7696454,100.4958557,,,,,,,,,,,,
1881971006,node,amenity,pub,เมา@ Food & Drink,,,13.7166264,100.4495686,,,,,,,,,,,,
1881974896,node,amenity,pub,Slum Bar,,,13.7168635,100.4502445,,,,,,,,,,,,
1882172673,node,amenity,pub,Unfake Club & Restuarant,,,13.7178655,100.4530914,,,,,,,,,,,,
1887121773,node,tourism,hotel,Arun Residence,,,13.7448277,100.4912739,,,,,,,,10200,,,,
1892793817,node,amenity,pub,เหล้า ยา ปา ปลิ้น,,,13.717437,100.4506961,,,,,,,,,,,,
1915361266,node,tourism,hotel,Paragon Inn,,,13.7167581,100.7311642,02 346 4224,,,,,,,,,,,
1932279682,node,amenity,bar,Woodball,,,13.7279272,100.5304878,,,,,,,,,,,,
1937611289,node,amenity,bar,เก้าอี้ไม้,,,13.9055339,100.5202541,,,,,,,,,,,,
1937611802,node,amenity,bar,แจ้งวัฒนะ,,,13.904883,100.5202595,,,,,,,,,,,,
1952131179,node,tourism,hotel,Louis Tavern,,,13.8743003,100.5819752,,,,,,,,,,,,
1955998701,node,tourism,hotel,Ebina House Service Apartment,,,13.8752617,100.5798561,,,,,,,,,,,,
2006038962,node,tourism,attraction,บางกอกฟุตซอลอารีนา,Bangkok Arena,บางกอกฟุตซอลอารีนา,13.8327241,100.8496271,,,,,,,,,,,,
2027316841,node,tourism,hotel,Golden Pearl Bangkok,,,13.6846016,100.6132914,+66 2 393 2122,http://www.goldenpearlbangkok.com,,,,,,,,,yes,
2043356187,node,tourism,guest_house,Focal Local,,,13.715115,100.5028163,,,,,,,,,,,,
2065920181,node,amenity,bar,Cafe Trio Jazz bar & Art Gallery,,,13.7419704,100.5438502,+6622526572,,,,,,,,,,,
2066072188,node,amenity,bar,Wine Loft,,,13.7419919,100.5436886,+6626521965,www.wineloft.com,,,,info@wineloft.com,11:00-24:00,,,steak;pasta;spagetti,,
2066285686,node,amenity,bar,HOBS (House of Beer),,,13.7796255,100.545086,,,,,,,17:00-01:00,,,,,
2071777006,node,amenity,bar,Hobs Away,,,13.7799401,100.5450185,,,,,,,11:00-01:00,,,,,
2074262438,node,amenity,bar,Five wine bar,,,13.7210341,100.56903,,,,,,,,,,,,
2077991918,node,tourism,guest_house,Nat,,,13.7586904,100.4979415,,,,,,,,,,,limited,
2078129003,node,tourism,guest_house,Pranee Building,,,13.7468844,100.5292373,,,,,,praneeguesthouse@hotmail.com,,,,,,
2084099084,node,tourism,hotel,Grande Centre Point Terminal 21,Terminal 21 Hotel,,13.738186,100.5606839,,https://www.terminal21.co.th/,,,,,,,,,,
2089911687,node,tourism,hotel,Syn Siri Resort,,,13.8299463,100.6752187,,,,,,,,,,,,
2093241595,node,amenity,pub,น้ำแดง Pub & Restaurant,,,13.7805916,100.4292015,,,,,,,,,,,,
2102550438,node,tourism,hotel,AVANI Atrium Bangkok,,,13.7469266,100.5698932,+66 (0) 2718 2000-1,,,,,,,"1880, New Petchburi Road, กรุงเทพมหานคร, 10310",,,,
2103957087,node,amenity,bar,HAPPY FISH,,,13.7050353,100.5022268,+6621084498;+66830159988,,,,,info.happyfish@gmail.com,,,,,,
