osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1107566714,node,tourism,hotel,Chai Charoen Hotel,,,15.0030025,103.1071251,,,,,,,,,,,,
1130834487,node,amenity,restaurant,Irish Bar,,,14.9988131,103.1171984,,,,,,,Mo-Su 13:00-02:00,,,international;thai,,
1661819447,node,amenity,restaurant,,,,15.0233079,103.142631,,,,,,,,,,,,
1661820759,node,amenity,cafe,คาเฟ่ อเมซอน,Cafe Amazon,,15.0231718,103.1429405,,,,,,,,,,,yes,
1815008889,node,amenity,pub,Bam Boo Bar,,,15.0033483,103.1091614,,,,,,,,,,,,
3294199958,node,tourism,hotel,ThaiHotel-Buriram,,,15.00221,103.10747,,,,,,,,,,,,
3294201963,node,tourism,hotel,Klim Hotel,,,15.0039199,103.1072286,,,,,,,,,,,,
3294206498,node,tourism,hotel,Woraya Place,,,14.9936493,103.0950324,,,,,,,,,,,,
3294212802,node,tourism,hotel,Tulip Boutique Hotel,,,14.9922294,103.0934557,,,,,,,,,,,,
3294231129,node,tourism,hotel,Paradise Resort Buriram,,,14.9995052,103.0988977,,,,,,,,,,,,
3294236483,node,tourism,hotel,Kesorn Place,,,14.9976242,103.1017784,,,,,,,,,,,,
3294240461,node,tourism,hotel,Siam Boutique Hotel,,,14.9988419,103.1003675,,,,,,,,,,,,
3294243110,node,tourism,hotel,Fueang Fha Palace Hotel,,,14.9942455,103.1060511,,,,,,,,,,,,
3294246360,node,tourism,hotel,The Circle Hotel,,,14.9878254,103.1055388,,,,,,,,,,,limited,
3294266906,node,tourism,hotel,Oranit Place,,,15.0121739,103.0913124,,,,,,,,,,,,
3294272363,node,tourism,hotel,Jack's Resort & Restaurant,,,15.0331418,103.0993644,,,,,,,,,,,,
3294290461,node,tourism,hotel,Kannaporn House,,,14.9906029,103.1238369,,,,,,,,,,,,
3294296098,node,tourism,hotel,Buriram Siri Resort,,,14.9728543,103.0739746,,,,,,,,,,,,
3294297717,node,tourism,hotel,Erawan Resort,,,15.0050339,103.1173996,,,,,,,,,,,,
