osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
214636798,node,tourism,hotel,,,,18.8586162,98.9714709,,,,,,,,,,,,
245227907,node,tourism,viewpoint,,,,18.7914102,98.933245,,,,,,,,,,,,
248178364,node,tourism,viewpoint,,,,18.7958749,98.9784435,,,,,,,,,,,,
249393224,node,tourism,viewpoint,,Doi Pui Viewpoint,,18.8165602,98.8890723,,,,,,,,,,,,
336233344,node,tourism,guest_house,The Jersey Royal,,,18.7926301,98.9942785,,http://www.guesthouse-chiangmai.tk/,,,,,,,,,,
479708485,node,tourism,hotel,Nobel House,,,18.8090542,98.9428496,,,,,,,,,3,,,
497028814,node,tourism,attraction,บ้านม้งดอยปุย,Doi Pui Tribal Village,บ้านม้งดอยปุย,18.8162463,98.8832841,,,,,,,,,,,,
631562391,node,tourism,guest_house,Smile Guesthouse,,,18.785426,98.991888,+66 53 2086612,http://www.smilehousechiangmai.com,,,,smile1@smilehousechiangmai.com,,"5, ถนนราชมรรคา ซอย 2, เชียงใหม่",,,,
631562393,node,tourism,guest_house,,Awana House,,18.7885939,98.9921969,+6653419005,http://www.awanahouse.com/,,,,,,"7, ถนนราชดำเนินซอย 1",,,,
695036744,node,tourism,hotel,ฮอไรซันรีสอร์ท,Horizon Village & Resort,ฮอไรซันรีสอร์ท,18.8570732,99.099149,+6653868891,https://www.horizonvillage.net/,,,,info@horizonvillage.net,,,,,,
725620316,node,tourism,guest_house,Red Brick Guesthouse,,,18.7775224,98.9965072,,,,,,,,,,,,
725620342,node,tourism,guest_house,B.M.P. House,,,18.777329,98.9962056,,,,,,,,,,,,
766610260,node,tourism,guest_house,Kristi House,,,18.7894604,98.9912875,,,,,,,,,,,,
820315767,node,tourism,guest_house,Bautong Lodge,,,18.7837063,98.9967043,+6653208192,,,,,,,,,,,
820315995,node,tourism,guest_house,Soi Sabai,,,18.7839989,98.9966411,+6653206896,,,,,,,"2/4, ถนนลอยเคาะห์ ซอย3",,,,
820792799,node,amenity,pub,Joy Bar,,,18.7842762,98.9957032,,,,,,,,,,,,
820792801,node,amenity,pub,Good Friends,,,18.7844334,98.9955957,,,,,,,,,,,,
820792811,node,tourism,guest_house,โรงแรมแทรเวลเลอร์อินน์,Traveller Inn,โรงแรมแทรเวลเลอร์อินน์,18.7843972,98.995517,+6653280977,,,,,,,,,,,
820798644,node,amenity,pub,Paradise,,,18.7845148,98.9951915,,,,,,,,,,,,
820812474,node,amenity,pub,Number 1 Cafe Bistro,,,18.7843856,98.9948357,,,,,,,Mo-Su 15:00-02:00,,,,,
820812731,node,tourism,guest_house,Vipa House,,,18.7839536,98.9947794,,,,,,,,,,,,
820812757,node,tourism,guest_house,บ้านนานาชาติ เซนเตอร์เพลส,Centerplace,บ้านนานาชาติ เซนเตอร์เพลส,18.7838007,98.9947954,+6653271169,,,,,,,,,,,
820818404,node,tourism,guest_house,รักไทย เกสท์เฮาส์,Rux-Thai Guest House,รักไทย เกสท์เฮาส์,18.7831324,98.9950978,+6653208737,http://www.ruxthai.com/,,,,,,"11/2, ถนนลอยเคาะห์ ซอย 1",,,,
820820897,node,amenity,pub,Wild Boar,,,18.7846124,98.9948536,,,,,,,"Mo-Su,PH 08:00-01:00",,,,,
880660091,node,amenity,pub,Ratree Club,,,18.8101799,99.008121,,,,,,,,,,,,
892660350,node,tourism,guest_house,ลายไทยเกสท์เฮาส์,Lai Thai,ลายไทยเกสท์เฮาส์,18.7819253,98.9932997,+6653271725,https://laithai.com/,,,,,,"111/4-5, Kotchasarn Road",,,,
892660359,node,tourism,guest_house,Siri Guesthouse,,,18.79003,98.99113,+6653326550,,,,,,,"31/3, Moon Muang Soi 5",,,,
955952426,node,amenity,pub,,,,18.7842174,99.0162836,,,,,,,,,,,,
988562302,node,tourism,guest_house,Na Inn,,,18.7864178,98.9905059,,http://www.lannacondo.com/nainn,,,,,,,,,,
1001600108,node,tourism,hotel,Thapae Boutique House,,,18.787138,98.995024,+6653275370,http://www.thapaeboutiquehouse.com/,,,,sales@thapaeboutiquehouse.com,,,,,,
1010788425,node,amenity,pub,,7up,,18.7682418,99.0738972,,,,,,,,,,international,,
1013055442,node,tourism,attraction,เอ็กซ์เซ็นเตอร์,X-Centre,เอ็กซ์เซ็นเตอร์,18.9219292,98.9243613,,,,,,,,,,,,
1017379824,node,tourism,attraction,ประตูท่าแพ,Thapae Gate,ประตูท่าแพ,18.7877625,98.9932697,,,,,,,,,,,,
1026003621,node,tourism,hotel,Winner Inn,,,18.7800342,98.9943373,,,,,,,,,,,,
1030346574,node,tourism,hotel,Anantara Chiang Mai 下午茶,,,18.7819529,99.003897,+6653253333,http://chiang-mai.anantara.com/,,,,chiangmai@anantara.com,,"123, Charoen Prathet Road, Chiang Mai, 50100",,,,
1038125603,node,tourism,guest_house,A9 Place,,,18.8186827,98.9920519,,,,,,,,,,,,
1041205031,node,amenity,bar,BN Club,,,18.7754918,98.9767529,,,,,,,,,,,,
1041207306,node,amenity,bar,Time Out,,,18.7754726,98.9768886,,,,,,,,,,,,
1041207339,node,amenity,bar,Y-Zone Club,,,18.7754618,98.9769654,,,,,,,,,,,,
1041255922,node,amenity,bar,Inter Bar,,,18.7878049,98.9943218,,,,,,,,,,,,
1041291199,node,amenity,pub,Win Rockstyle Bar,,,18.7852488,98.9934394,,,,,,,,,,,,
1041391389,node,tourism,guest_house,Kong Court,,,18.7857152,98.9985376,+6653283750,,,,,,,,,,,
1041391557,node,tourism,hotel,Chiang Mai Travel Lodge,,,18.7862761,98.9986028,,,,,,,,,,,,
1041391638,node,tourism,hotel,Sabai House,,,18.7864231,98.9985996,,,,,,,,,,,,
1054147436,node,amenity,bar,555,,,18.7890221,99.0993161,,,,,,,,,,,,
1054204275,node,tourism,hotel,,,,18.7790621,99.092455,,,,,,,24/7,,,,,
1057660774,node,amenity,bar,Riverside Bar & Restaurant,,,18.7898239,99.0039815,053243239,http://www.theriversidechiangmai.com/,,,,,Mon-Sun 17:00-01:00,,,,,
1090064493,node,tourism,hotel,The Castle,,,18.7781704,98.9933468,,,,,,,,,,,,
1096066163,node,tourism,guest_house,Kantaya Popy GH,,,18.7778752,98.9942783,,,,,,,,,,,,
1104297179,node,amenity,bar,,,,18.7567841,99.076003,,,,,,,,,,,,
1104446552,node,amenity,bar,,,,18.7548765,99.0549772,,,,,,,,,,,,
1123937928,node,tourism,hotel,BP Chiang Mai City Hotel,,โรงแรมบีพี เชียงใหม่ ซิตี้,18.785909,98.9830763,+6653270710,http://www.bpchiangmai.com/,,,,bp@bpchiangmai.com,,"154, Ratchamanka Road",,,,
1132350652,node,tourism,guest_house,,,,18.7465253,99.0947349,,,,,,,,,,,,
1133604851,node,tourism,hotel,T. J. R. Boutique House,,,18.7893963,98.9919886,,,,,,,,,,,,
1133605464,node,tourism,hotel,Ban Wiang,,,18.7897956,98.9919982,,,,,,,,,,,,
