osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
906244402,node,amenity,bar,ST Motorcycles Rentals & Sales,,,19.9067918,99.8311863,+6653713652,,,,,,Mo-Su 07:00-19:00,1025/34-35,,,,
906244423,node,tourism,guest_house,Garden House,,,19.9063682,99.8253043,,,,,,,,,,,,
1188707070,node,tourism,guest_house,Jitaree Guest House,,,19.9140062,99.8342522,,,,,,,,,,,,
1295675510,node,tourism,hotel,โรงแรม สิริชัย แมนชั่น,Siri Chai Mansion,,19.9991528,99.8673589,+6653702765,http://www.sirichaimansion.com/,,,,,,,,,,
1425326995,node,tourism,guest_house,Ben Guesthouse,,,19.9042445,99.8234859,+6653716775,http://www.benguesthousechiangrai.com/,,,,benguesthouse@hotmail.com,,,,,,
1445536944,node,tourism,hotel,กรุงทอง,,กรุงทอง,19.9054207,99.8290222,,,,,,,,,,,,
1789540426,node,amenity,bar,,,,19.8786676,99.8302687,,,,,,,,,,,,
2140533976,node,amenity,nightclub,Club BJ,,,19.8927412,99.8067974,,,,,,,,,,,,
2140748944,node,tourism,hotel,อัมรินทร์ รีสอร์ท,Amarin Resort,อัมรินทร์ รีสอร์ท,19.9196202,99.8509256,+6653748785,https://www.amarinresortchiangrai.com/,,,,rsvn@amarinresortchiangrai.com,,,,,,
2148791524,node,tourism,hotel,คานาอันเพลส,Canaan Place,,19.9153238,99.8490205,+6653601388,,,,,,,,2,,,
2148823039,node,tourism,hotel,บ้านล้านนา,Baan Lanna Hotel,บ้านล้านนา,19.9246728,99.8450811,+6653166555,,,,,,,,2,,,
2148895479,node,tourism,hostel,Y.M.C.A. Chiang Rai,,,19.944505,99.8475298,,,,,,,,,,,,
2151144971,node,amenity,pub,Gear Zix,,,19.9754132,99.8585448,,,,,,,,,,,,
2315631889,node,tourism,guest_house,Fun-D,,,19.9075906,99.8404026,+6653712123,http://www.fun-dhostel.com,,,,contact@fun-dhostel.com,,"753, Phahon Yothin Road",,,,
2316641264,node,tourism,guest_house,Mae Hong Son Guest House,,,19.9136125,99.8341649,,,,,,,,,,,,
2316646738,node,tourism,guest_house,Sunantha House,,,19.9139127,99.833226,,,,,,,,,,,,
2317829553,node,amenity,bar,,,,19.9092488,99.8356728,,,,,,,,,,,,
2317834209,node,tourism,attraction,,,,19.9079613,99.8351187,,,,,,,,,,,,
2326811260,node,tourism,guest_house,Akha River House,,,19.9159406,99.8322139,,,,,,,,,,,,
2328179585,node,amenity,bar,The Indian,,,19.9030508,99.8324941,,,,,,,,,,,,
2328179586,node,amenity,bar,Hangover,,,19.9030388,99.8325742,,,,,,,,,,,,
2448228278,node,tourism,hotel,,Park Inn,,19.9137037,99.8412556,,,,,,,,,,,,
2450214473,node,amenity,bar,,Hi 5 Bar,,19.9065073,99.8311628,,,,,,,,,,,,
2450215744,node,tourism,hotel,Moon House,,,19.9067053,99.8311691,,,,,,,,,,,,
2826264519,node,tourism,hotel,Grandma Kaew House,,,19.9024066,99.8348627,+66 81 859 9858,,,,,,,"78 Moo.18, Sanpanard Road Soi 2/1, Chiang Rai, 57000",,,,
2908413736,node,tourism,guest_house,Chez Nous Homestay,,,19.9062855,99.833026,+66834723534,https://www.facebook.com/cheznous.chiangrai,https://www.facebook.com/cheznous.chiangrai,,,,,"541/9, Phayon Yothin Road, Chiang Rai, 57000",,,,
3214076232,node,tourism,guest_house,,Huean Him Kok,,19.9215405,99.8443892,,,,,,,,,,,,
