osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
369735869,node,tourism,viewpoint,หาดชะอำ,Cha-am Beach,หาดชะอำ,12.7942223,99.9842951,,,,,,,,,,,,
814793112,node,amenity,pub,Guys,,,12.5659323,99.9596937,+66817899030,,,,,,,,,,,
816761301,node,tourism,hotel,โรงแรมบ้านพะพลอย,Baan Paploy Hotel,โรงแรมบ้านพะพลอย,12.5691348,99.958939,,http://www.baanpaploy.com/,,,,,,,,,,
1030162341,node,tourism,guest_house,Cha-Am Villa Hotel,,,12.7982167,99.9848841,,,,,,,,,,,,
1030162348,node,tourism,guest_house,ชะอำเพอร์เฟคท์เฮาส์,Cha-Am Perfect House,ชะอำเพอร์เฟคท์เฮาส์,12.792206,99.981431,+66-32-433918,,,,,,,,,,,
1030162355,node,tourism,hotel,บ้านลานสวน รีสอร์ท,Banlansuan Resort,บ้านลานสวน รีสอร์ท,12.7930932,99.9830346,0927865109,,,,,,,,,,,
1030162356,node,tourism,guest_house,Rua Makham Villa,,,12.8014963,99.9862285,+66-32-471073,,,,,,,,,,,
1030162378,node,tourism,guest_house,Cha-Am Villa Beach,,,12.7976791,99.9846593,+66-32-471595,,,,,,,,,,,
1030162379,node,amenity,nightclub,Sand Grain,,,12.7969995,99.9828139,,,,,,,,,,,,
1030162380,node,tourism,guest_house,Charlie Place,,,12.7966259,99.9840948,,,,,,,,,,,,
1030162390,node,tourism,guest_house,สวีท โฮม รีสอร์ท ชะอำ,Sweet Home Resort,สวีท โฮม รีสอร์ท ชะอำ,12.7985511,99.9850075,+66-32-471039,https://sweethome-resort.com/,,,,,,,,,,
1030162405,node,tourism,guest_house,ชาอินน์,Cha_Inn@Cha Am,ชาอินน์,12.7999522,99.9856292,+66-32-471879,http://www.chainn-chaam.com/,,,,,,,,,,
1030162407,node,tourism,guest_house,Salathai,,,12.7965295,99.9838745,,,,,,,,,,,,
1030162413,node,tourism,guest_house,Hotel California,,,12.8021495,99.9857897,,,,,,,,,,,,
1351116542,node,tourism,guest_house,Jing's,,,12.5711161,99.9591254,+66 32 516 594;+66 86 108 9271,http://www.jings.in.th/,,,,jing@jings.in.th,,,,,,
1356282177,node,tourism,hotel,โรงแรมชมวีว,Chomview Hotel,โรงแรมชมวีว,12.5331566,99.9684778,+66 (32) 511 662,https://www.chomviewhotel.com/,,,,res@chomviewhotel.com,,,3,,,
1376611733,node,tourism,guest_house,Sofia Hotel,Sofia Hotel,โรงแรมโซเฟีย,12.5736633,99.9580391,,,,,,,,,,,,
1569240633,node,amenity,bar,Baan Chan,,,12.8045549,99.9865063,,,,,,,,,,,,
1617473023,node,tourism,hotel,Radisson Resort & Spa Hua Hin,Radisson Resort & Spa Hua Hin,เรดิสัน รีสอร์ท แอนด์ สปา หัวหิน,12.7222848,99.9620094,,,,,,,,,,,yes,
1632407380,node,tourism,guest_house,Aree Guest House,,,12.5738264,99.9577897,,https://www.areeshouse.com/,,,,,,,,,,
1706103202,node,tourism,hotel,The Hideaway Resort Hua Hin,The Hideaway Resort Hua Hin,เดอะ ไฮด์อะเวย์ รีสอร์ท หัวหิน,12.6114151,99.952852,+6632547333,http://www.thehideaway-resort.com/,,,,thehideawayresort@yahoo.com,,,4,,,
1706123935,node,tourism,guest_house,feel@home,,,12.606335,99.9535865,+6632522424,,,,,,,,,,,
1791265788,node,tourism,hostel,Thai Bamboo,,,12.8039236,99.9234207,+6626745555,,,,,,,,,,,
1840904749,node,tourism,guest_house,Fulay Guesthouse,Fulay Guesthouse,ฟูเลย์ เกสเฮาส์,12.572248,99.9603215,,,,,,,,,,,,
1878859920,node,tourism,hostel,บ้านไร่,Ban Rai,บ้านไร่,12.561975,99.940095,,,,,,,,,,,,
1950521302,node,tourism,hotel,โรงแรมหินน้ำทรายสวย,Hin Nam Sai Suay Hotel,โรงแรมหินน้ำทรายสวย,12.6151736,99.950766,,,,,,,,,,,,
2085355291,node,tourism,hotel,Sunshine Hotel,Sunshine Hotel,โรงแรมซันไชน์,12.5599083,99.9616949,,Booking.com,,,,,,"113/30, หัวหิน ซอย67, Hua Hin, 77110",,,,
2089706309,node,tourism,hotel,Golden Beach Hotel,,,12.8033873,99.9870175,,http://www.goldenbeachchaam.com/,,,,,,,,,,
2089847314,node,tourism,viewpoint,จุดชมวิว 5,Viewpoint 5,จุดชมวิว 5,12.5666351,99.9466536,,,,,,,,,,,,
2091875764,node,tourism,hotel,Greenfield Valley Fishing Resort,,,12.4738432,99.9338871,,,,,,,,,,,,
2091887290,node,tourism,attraction,ตลาดน้ำหัวหินสามพันนาม,Hua Hin Sam Phan Nam Floating Market,ตลาดน้ำหัวหินสามพันนาม,12.5015707,99.9150071,,,,,,,,,,,,
2091891925,node,tourism,hotel,G Hua Hin Resort and Mall,G Hua Hin Resort and Mall,จีหัวหิน รีสอร์ท แอนด์ มอลล์,12.5551072,99.960596,,https://ghuahin.com/,,,,,,,,,yes,
2091891928,node,tourism,hotel,โรงแรม นราวรรณ,Narawan Hotel,โรงแรม นราวรรณ,12.5547361,99.9585628,+66-96-1528635,http://www.narawan.com/,,,,reservation@narawan.com,,,,,,
2188717787,node,tourism,guest_house,Uno Guesthouse,,,12.5134472,99.975521,,,,,,,,,,,,
2405588859,node,tourism,guest_house,Smile Guest House,Smile Guest House,สมายล์ เกสท์เฮาส์,12.5735481,99.9580852,+66 32 511709,,,,,,,,,,,
2411422734,node,tourism,hotel,Hua Hin White Villa,Hua Hin White Villa,หัวหิน ไวท์วิลล่า,12.5578609,99.9611781,,https://www.huahinwhitevilla.com/,,,,,,,,,,
2411422736,node,tourism,hotel,สุภัทราหัวหิน รีสอร์ท,Supatra Hua Hin Resort,สุภัทราหัวหิน รีสอร์ท,12.5187878,99.9767985,,https://www.supatraresort.com/,,,,,,,,,,
2412575595,node,tourism,hotel,Cloud 9 Hua Hin Hotel,,,12.5724433,99.9571516,,,,,,,,,,,,
2413636609,node,tourism,hotel,โรงแรมแคขาว,Kae Khao Hotel,โรงแรมแคขาว,12.5668506,99.9586794,,,,,,,,,,,,
2413866101,node,tourism,hotel,Hua Hin Loft,Hua Hin Loft,หัวหิน ลอฟท์,12.5664598,99.9577179,+6632533778,http://www.huahinloft.com/,,,,enquiry@citinlofthuahin.com,,"120/22, หัวหิน ซอย78, Hua Hin, 77110",,,,
2413866102,node,tourism,hotel,Crystal Hotel,Crystal Hotel,คริสตัล โฮเต็ล,12.5655433,99.9588407,,,,,,,,,,,,
2413880024,node,tourism,hotel,บ้านคชาทอง,Baan Khachathong Hotel,บ้านคชาทอง,12.5648793,99.9591881,,http://www.khachathong.com/,,,,,,,,,,
2413903389,node,tourism,hotel,โรงแรมเคปนิทรา,Capenidhra Hotel,โรงแรมเคปนิทรา,12.5632554,99.9602802,,https://www.capenidhra.com/,,,,,,,,,,
2413925194,node,tourism,hotel,Hua Hin Grand Hotel & Plaza,Hua Hin Grand Hotel & Plaza,หัวหินแกรนด์โฮเทล แอนด์ พลาซ่า,12.5625818,99.9586582,,http://www.huahingrand.co.th/,,,,,,,,,,
2413925196,node,tourism,hotel,Hua Hin Marriott Resort & Spa,Hua Hin Marriott Resort & Spa,หัวหิน แมริออท รีสอร์ท และ สปา,12.5612455,99.9609257,,,,,,,24/7,"ถนนเพชรเกษม, 77110",,,,
2416726255,node,tourism,hotel,โรงแรม เบสท์ LD,Best LD Hotel,โรงแรม เบสท์ LD,12.5571409,99.9607228,,,,,,,24/7,"ถนนเพชรเกษม, 77110",,,no,
2416789459,node,tourism,hotel,บ้านกานตา,Baan Kanta,บ้านกานตา,12.5563079,99.9610248,,http://www.baankantahotel.com/,,,,,,,,,no,
2416866484,node,tourism,guest_house,บ้านไม้,Baan Mai,บ้านไม้,12.5495507,99.9622911,,,,,,,,,,,,
2416866493,node,tourism,hotel,ณิชา,Nicha,ณิชา,12.5497669,99.9622645,+6632532880,http://www.nichahuahin.com/,,,,info@nichahuahin.com,,,,,,
2416991945,node,tourism,hotel,The Peri Hotel,The Peri Hotel,เดอะ เภรี โฮเต็ล,12.5475246,99.963163,,,,,,,,,,,,
2416991959,node,tourism,guest_house,KS House,,,12.5393711,99.9632362,,,,,,,,,,,,
2416991961,node,tourism,hotel,Marrakesh Hua Hin Resort & Spa,Marrakesh Hua Hin Resort & Spa,มาราเคช หัวหิน รีสอร์ท แอนด์ สปา,12.5437502,99.9641892,,https://www.marrakeshresortandspa.com/,,,,,,,,,,
2416991964,node,tourism,hotel,Minitel Hotel,Minitel Hotel,โรงแรมมินิเทล,12.5453085,99.9636857,,http://www.minitelhotel.com,,,,,,,,,no,
2416991966,node,tourism,hotel,My Way Hua Hin Music Hotel,My Way Hua Hin Music Hotel,มายเวย์ หัวหิน มิวสิค โฮเต็ล,12.5416025,99.9636215,,,,,,,,,,,,
2416991971,node,tourism,hotel,โรงแรมสายลม,Sailom Hotel,โรงแรมสายลม,12.5469541,99.9635336,,https://www.sailomhotelhuahin.com/,,,,,,,,,,
2416991979,node,tourism,hotel,The Lapa,The Lapa,เดอะ ลาภา,12.5470971,99.9621527,+6632513222,http://www.thelapahotel.com/,,,,rsvn@thelapahotel.com,,,,,,
2418167051,node,tourism,hotel,บ้านจันทร์ฉาย,Baan Chanchay,บ้านจันทร์ฉาย,12.5596647,99.9615056,+6632511461,http://www.chanchay.com/,,,,banchanchay@hotmail.com,,,,,,
2561152829,node,tourism,guest_house,,,,12.7924593,99.9824047,,,,,,,,,,,,
2592448527,node,tourism,guest_house,G Guesthouse,,,12.5750073,99.9474891,,,,,,,,,,,yes,
2616210957,node,tourism,hotel,Hua Hin Good View,Hua Hin Good View,โรงแรมหัวหินกู๊ดวิว,12.5542991,99.9571297,,http://www.huahingoodview.com,,,,,,,,,,
2618367845,node,tourism,viewpoint,,,,12.4142532,99.9831735,,,,,,,,,,,,
2690779648,node,tourism,hotel,อนันตศิลา,Anantasila,อนันตศิลา,12.5129553,99.9789457,032-527-638;032-527-639,https://www.anantasila.com,,,,info@anantasila.com,,,,,,
2708643617,node,tourism,guest_house,The L Hua Hin,,,12.5696051,99.9569383,,,,,,,,,,,,
2718682916,node,tourism,hotel,THE IMPERIAL LAKE VIEW HOTEL & GOLF CLUB,,,12.7059718,99.88868,+66 32 709100,,,,,,,,,,,
2720477519,node,tourism,hotel,Springfield Village Golf & Spa,,,12.7089992,99.8658119,+66 32 709222,https://www.springfieldresort.com/village/,,,,,,,,,,
2733243974,node,tourism,guest_house,บ้านพักอยู่สบาย,Yu Sabai Guesthouse,บ้านพักอยู่สบาย,12.5537644,99.9572688,,https://www.facebook.com/BanPhakyuSbayNHuahin?ref=hl,https://www.facebook.com/BanPhakyuSbayNHuahin?ref=hl,,,,,"34/1, หัวหิน ซอย94, ้huahin",,,,
3090802185,node,amenity,bar,Lobby Lounge & Bar,Lobby Lounge & Bar,,12.6576192,99.9562615,,,,,,,,,,,yes,
3090802186,node,amenity,bar,Sala Thip Poolside Terrace,Sala Thip Poolside Terrace,,12.6574345,99.9569826,,,,,,,,,,,yes,
3090814858,node,tourism,hotel,Devasom Hua Hin Resort,Devasom Hua Hin Resort,เทวาศรมหัวหินรีสอร์ท,12.6606044,99.957358,,https://www.devasom.com/,,,,,,,,,,
3247468651,node,tourism,attraction,,Old Steamlocomotive,,12.5670664,99.9545719,,,,,,,,,,,,
3472547191,node,tourism,hotel,ลุงแซมรีสอร์ท,Sam Resort,ลุงแซมรีสอร์ท,12.7998995,99.9856751,,,,,,,,,,,,
3472569475,node,tourism,guest_house,Tony House G H,,,12.8078615,99.9888427,,,,,,,,,,,,
3472571472,node,tourism,guest_house,Cha-am Seaside Hotel,,,12.8078207,99.9888225,,,,,,,,,,,,
3483342664,node,tourism,hotel,Lullaby Hotel,,,12.8091904,99.9897179,,,,,,,,,,,,
3483388915,node,tourism,hotel,Mayor Home,Mayor Home,เมเยอร์โฮม,12.8104151,99.9902576,,,,,,,,,,,,
3483388926,node,tourism,guest_house,Urairat Place G H,,,12.8100961,99.9901127,,,,,,,,,,,,
3511736893,node,tourism,hotel,Fresh Inn Hotel,Fresh Inn Hotel,โรงแรม เฟรชอินน์,12.5704377,99.959915,6632511389,http://www.freshinnhuahin.com/,,,,,,"132, Naresdamri Road",,,,
3523915314,node,tourism,hotel,โรงแรมปากน้ำปราณ,Pak Nam Pran Hotel,โรงแรมปากน้ำปราณ,12.4013826,99.9941233,,,,,,,,,,,,
3680228125,node,tourism,attraction,Zucata Sheep Farm,,,12.816431,99.9418923,,,,,,,,,,,,
3680237580,node,tourism,attraction,Camel Republic,Camel Republic,คาเมล รีพับบลิค,12.823703,99.9389046,,http://www.camel-republic.com/,,,,,,,,,,
3741098734,node,tourism,hotel,บ้านทะเลดาว,Baan Talay Dao,บ้านทะเลดาว,12.5281627,99.970151,,https://www.baantalaydao.com/,,,,,,"2/10, ซอย ตะเกียบวิลเลจ, หัวหิน, ประจวบขิรีขันธ์, 77110",,,,
3790925686,node,tourism,hotel,Kiang Haad Beach,Kiang Haad Beach,เคียงหาด บีช,12.5566326,99.9614551,,,,,,,,,,,,
3953107757,node,tourism,guest_house,Villa Garden Apartments,,,12.5284489,99.9686613,,,,,,,,"Nong Kae - Takiab Rd., Nong Kae , Hua Hin, 77110",,,,Nern Chalet Beachfront Hotel
3953109884,node,tourism,hotel,Nern Chalet Beachfront Hotel,Nern Chalet Beachfront Hotel,โรงแรมเนินชเล บีช ฟรอนท์,12.5196811,99.9765667,,,,,,,,"144/7, Nongkae-Takieb Road, Prachuap Khiri Khan, Hua Hin, Thailand, 77110",,,,Nern Chalet
3967382513,node,tourism,viewpoint,จุดชมวิว 4,Viewpoint 4,จุดชมวิว 4,12.565935,99.9455536,,,,,,,,,,,,
3969589851,node,tourism,viewpoint,จุดชมวิว 6,Viewpoint 6,จุดชมวิว 6,12.5680278,99.9447454,,,,,,,,,,,,
3969719657,node,tourism,hotel,Hua Hin Bluewave,Hua Hin Bluewave,หัวหิน บลูเวฟ,12.5122625,99.97808,,https://huahinbluewave.co.th/,,,,,,,,,,
3970068721,node,tourism,hotel,Boat Lodge Resort,Boat Lodge Resort,โบ๊ท ลอด์จ รีสอร์ท,12.5111665,99.9758165,,,,,,,,,,,,
3970071816,node,tourism,hotel,Franjipani Resort,Franjipani Resort,ฟรานจิพานี  รีสอร์ท,12.5119609,99.9736848,,,,,,,,,,,,
3970079084,node,tourism,hotel,Luna Hut Resort,Luna Hut Resort,ลูน่า ฮัท รีสอร์ท,12.5123851,99.9749054,+66 0654809064,https://lunahutresort.com/,lunahutresort,,449snupq,lunahutresort@gmail.com,,ซอยอ่าวหัวดอน 11,,,,
3970106194,node,tourism,hotel,บ้านระเบียงทะเล,Baan Rabiang Talay,บ้านระเบียงทะเล,12.5131497,99.9761717,,,,,,,,,,,,
3970380986,node,tourism,hotel,Takiab Beach Hotel,Takiab Beach Hotel,โรงแรม ตะเกียบ บีช,12.5129016,99.97711,,http://www.takiabbeachhuahin.com/,,,,,,,,,,
3973523281,node,tourism,attraction,Cha-am Night Market,,,12.7991378,99.9667798,,,,,,,We 17:00-22:00,,,,,
3973569339,node,tourism,hotel,Sandara,,,12.8022072,99.9863707,,,,,,,,,,,,
3973686333,node,tourism,hotel,บ้านปลายหาดขาว,Baan Plai Haad Kao,บ้านปลายหาดขาว,12.5214583,99.9749219,,,,,,,,,,,,
3973771051,node,tourism,hotel,Nice Residence,Nice Residence,ไนซ์ เรสซิเดนซ์,12.5378978,99.9643075,,,,,,,,,,,,
3975343742,node,tourism,hotel,Napalai Resort & Spa,Napalai Resort & Spa,นภาลัย รีสอร์ท แอนด์ สปา,12.5166785,99.9759026,,,,,,,,,,,,
3975349052,node,tourism,hotel,Seahorse Resort,Seahorse Resort,ซีฮอส รีสอร์ท,12.5172048,99.975849,,,,,,,,,,,,
3975394776,node,tourism,hotel,SunSky Villa,,,12.5201236,99.9760035,,,,,,,,,,,,
3975464294,node,tourism,hotel,The Rock Hua Hin,The Rock Hua Hin,เดอะ ร็อค หัวหิน,12.5272044,99.9710226,,,,,,,,,,,,
3977225529,node,tourism,hotel,Chiva-Som,Chiva-Som,ชีวาศรม,12.5394793,99.9648561,,,,,,,,,,,,
3977271585,node,tourism,hotel,บ้านปูลม,Baan Poo Lom,บ้านปูลม,12.5323371,99.9686857,,,,,,,,,,,,
3977284976,node,tourism,hotel,ราชมงคลชมคลื่นหัวหิน,Rajamangala Chom Kluen,ราชมงคลชมคลื่นหัวหิน,12.5345574,99.9684014,,,,,,,,,,,,
3977288106,node,tourism,hotel,บ้านบ่อจืด,Baan Bojued,บ้านบ่อจืด,12.5337627,99.968447,,,,,,,,,,,,
3977297391,node,tourism,hotel,วรบุระ รีสอร์ท แอนด์ สปา,Wora Bura Resort & Spa,วรบุระ รีสอร์ท แอนด์ สปา,12.5297701,99.9696153,,,,,,,,,,,,
3977344481,node,tourism,hotel,บ้านดวงแก้ว,Baan Duangkaew,บ้านดวงแก้ว,12.5343812,99.9671254,,,,,,,,,,,,
