osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
619336489,node,tourism,hotel,Bamboo House Guesthouse,,,14.0396289,99.5073548,,,,,,,,,,,yes,
619349790,node,amenity,restaurant,,,,14.0020178,99.5465495,,,,,,,,,,,,
694366744,node,tourism,hotel,Felix River Kwai Resort,,,14.0419945,99.4999352,,,,,,,,,,,,
949714991,node,tourism,hotel,Apples GH,,,14.0318048,99.5220673,,,,,,,,,,,,
1034288963,node,amenity,fast_food,KFC,KFC,เค เอฟ ซี,14.0228146,99.5346324,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
1034436161,node,amenity,public_building,สำนักงานประชาสัมพันธ์เขต8 จังหวัดกาญจนบุรี,Public Relations Office Region 8,สำนักงานประชาสัมพันธ์เขต8 จังหวัดกาญจนบุรี,14.0395825,99.5818023,,,,,,,,,,,,
1034436555,node,amenity,restaurant,ครัวปู่เปี้ยก,,ครัวปู่เปี้ยก,14.0439827,99.5953745,,,,,,,,,,,,
1036459975,node,tourism,hotel,Noble Night,,,14.0345219,99.518571,+66-34-514769,,,,,,,,,,,
1036540520,node,tourism,hotel,Tamarind,Tamarind,แทมมารี,14.0332198,99.5202561,+66-89-8377256,https://www.tamarindguesthouse.com/,,,,,,,,,,
1036540547,node,tourism,hotel,Sugar Cane 1,,,14.0328207,99.5194571,,,,,,,,,,,,
1036588398,node,tourism,hotel,Luxury Hotel,,,14.0302678,99.528863,,,,,,,,,,,,
1036588399,node,amenity,restaurant,Dollacha,,,14.0298771,99.5287128,,,,,,,,,,,,
1036675327,node,amenity,restaurant,Schluck,,,14.0335462,99.5204667,,,,,,,,,,,,
1036675328,node,amenity,restaurant,Magne & Tine,,,14.0341287,99.5197589,,,,,,,,,,,,
1036675330,node,tourism,hotel,Pong Phen Guesthouse,,,14.0339627,99.518579,,,,,,,,,,,,
1036675333,node,tourism,hotel,Green View,,,14.034523,99.519372,,,,,,,,,,,,
1036675334,node,amenity,restaurant,The Hut,,,14.0345279,99.5189449,,,,,,,,,,,,
1036675335,node,tourism,hotel,Smiley Frog,,,14.0325044,99.5204671,,,,,,,,,,,,
1036675342,node,amenity,restaurant,Tai-Thai,,,14.034618,99.5191677,,,,,,,,,,,,
1036675343,node,tourism,hotel,Chitanun Guest House,,,14.0335889,99.5207495,,,,,,,,,,,,
1036675346,node,tourism,hotel,Ploy Resort,,,14.0344069,99.519063,034514437,,,,,,,,,,,
1037807092,node,amenity,public_building,แขวงการทางกาญจนบุรี,,แขวงการทางกาญจนบุรี,14.0534857,99.5023423,,,,,,,,,,,,
1037807112,node,amenity,public_building,สำนักงานขนส่งจังหวัดกาญจนบุรี,Transport Office Kanchanaburi Province,สำนักงานขนส่งจังหวัดกาญจนบุรี,14.0629599,99.4881009,,,,,,,,,,,,
1037807144,node,leisure,golf_course,สนามไดร์ฟกอล์ฟ,Golf course,สนามไดร์ฟกอล์ฟ,14.051999,99.505912,,,,,,,,,,,,
1038806302,node,amenity,restaurant,,Blue Rice Restaurant,,14.0337538,99.5138091,,,,,,,,,,,,Apple's Retreat
1038806303,node,amenity,cafe,The Rabbit Café,,,14.0393142,99.5127276,,,,,,,,,,,,
1038806369,node,tourism,hotel,The Resort,,,14.039362,99.5124116,,,,,,,,,,,,
1038806375,node,tourism,hotel,Sugar Cane Guest House,,,14.0380523,99.5102736,,,,,,,,,,,,
1038806383,node,tourism,guest_house,Blue Star Guest House,,,14.0347747,99.5171421,+66-34-512161;+66-1-6391688,,,,,,,,,,,
1038806411,node,tourism,guest_house,Apple's Guesthouse,,,14.033262,99.5136579,,,,,,,,,,,,
1038806436,node,amenity,restaurant,,,,14.0349536,99.5183729,,,,,,,,,,regional,,
1038806437,node,tourism,guest_house,Morning Guesthouse,,,14.0398187,99.5099052,,,,,,,,,,,,
1038806445,node,tourism,hotel,Camelia Resort,,,14.0379984,99.5109745,,,,,,,,,,,,
1038806449,node,tourism,hotel,River Kwai Bridge Resort,,,14.040554,99.5071337,+66-34-514522,,,,,,,,,,,
1127234782,node,tourism,guest_house,C&C Tour,,,14.0356133,99.5152423,,,,,,,,,,,,
1130586249,node,amenity,restaurant,Sunrise,,,14.0398836,99.5105324,,,,,,,,,,thai;european,,
1834223743,node,tourism,attraction,Promittr Film Studios,,,14.1435527,99.4295979,,,,,,,,,,,,
