osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
373165537,node,amenity,public_building,กองทุนหมู่บ้าน บ้านกอก,Kongthun Muban Ban Kok,กองทุนหมู่บ้าน บ้านกอก,16.4232292,102.8033403,,,,,,,,,,,,
375651824,node,tourism,museum,หอศิลปวัฒนธรรมมหาวิทยาลัยขอนแก่น,Art and Culture University Museum,หอศิลปวัฒนธรรมมหาวิทยาลัยขอนแก่น,16.4451153,102.8145226,,,,,,,,,,,,
381897542,node,tourism,museum,พิพิธภัณฑสถานแห่งชาติ ขอนแก่น,Khon Kaen National Museum,พิพิธภัณฑสถานแห่งชาติ ขอนแก่น,16.4461433,102.8386592,+66 43246170,http://www.virtualmuseum.finearts.go.th/khonkaen,,,,,Mi-So 09:00-19:00,"กองบังคับการสืบสวนสอบสวน ภ 4, Khon Kaen, 40000",,,,
381897578,node,amenity,public_building,เทศบาลตำบลเมืองเก่า,Thetsaban Tambon Mueang Kao,เทศบาลตำบลเมืองเก่า,16.4033653,102.7864067,,,,,,,,,,,,
384005152,node,amenity,public_building,,,,16.4778233,102.8639898,,,,,,,,,,,,
391211306,node,amenity,public_building,ที่ทำการองค์การบริหารส่วนตำบลสิลา,Office of Subdistrict Administration Sila,ที่ทำการองค์การบริหารส่วนตำบลสิลา,16.4744052,102.8487903,,,,,,,,,,,,
392526258,node,amenity,public_building,โครงการก่อสร้าง,,โครงการก่อสร้าง,16.4231138,102.861623,,,,,,,,,,,,
482032502,node,amenity,public_building,องค์การบริหารส่วนตำบลดอนช้าง,Don Chang Subdistrict Administration Organization,องค์การบริหารส่วนตำบลดอนช้าง,16.3728666,102.7542752,,,,,,,,,,,,
683753110,node,tourism,hotel,โรงแรมสวัสดี,Sawasdee Hotel,โรงแรมสวัสดี,16.427791,102.8337015,+66-43-221600;+66-43-222433,,,,,,,,,,,
683753152,node,tourism,hotel,โรงแรมบุษราคัม,Bussarakam Hotel,โรงแรมบุษราคัม,16.4372908,102.8329627,,,,,,,,,,,,
683753158,node,tourism,hotel,โรงแรมชัยพัช,Chaipat Hotel,โรงแรมชัยพัช,16.4328369,102.8333643,+66-43-333056,http://www.chaipat-hotel.com/,,,,,,,,,,
