osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
485616898,node,amenity,pub,The Ram,,,14.995919,102.0997601,,,,,,,,,,british;thai,,
491538772,node,tourism,hotel,Vienna Resort,,,15.0052921,102.0404633,,,,,,,,,,,,
497428800,node,amenity,pub,Kam Hom,,,14.979978,102.0513894,,,,,,,,,,thai,,
1279318318,node,tourism,hotel,Dusit Princess,,,14.9925111,102.1210054,+66 4425 6601,,,,,,,,,,,
1814469027,node,tourism,hotel,Chayada Resort,Chayada Garden House & Resort Hotel,,14.9841261,102.0852669,+66 44 263474;+66 44 263036;+66 44 341849,https://www.chayadaresort.com/,,,,,,,3,,,
2128753413,node,tourism,hotel,MIX Hotel,,,14.9607889,102.1199503,,,,,,,,,,,,
2283723129,node,amenity,bar,จิ้มจุ่มชาลี,,,14.9223046,102.0996924,,,,,,,,,,,,
2283723142,node,tourism,hotel,นอนเพลิน,,,14.9219365,102.1030371,,,,,,,,,,,,
3320493460,node,tourism,hotel,Punjadara Hotel,,,14.9689852,102.1063945,,,,,,,,,,,,
3320493795,node,tourism,hotel,Chom Surang Hotel,,,14.9730067,102.1032831,,,,,,,,,,,yes,
3320494805,node,tourism,hotel,The Iyara Korat,,,14.9752714,102.10942,,,,,,,,,,,,
3320498247,node,tourism,hotel,Korat Hotel,,,14.9802061,102.103235,,,,,,,,,,,yes,
3320499334,node,tourism,hotel,Ratchasima Hotel,,,14.9744733,102.1046081,,,,,,,,,,,,
3320500181,node,tourism,hotel,Si Chomphon Hotel,,,14.9749449,102.10125,,,,,,,,,,,,
3320500814,node,tourism,hotel,Cathay Hotel,,,14.9785621,102.0974466,,,,,,,,,,,,
3320501769,node,tourism,hotel,Thai Inter Hotel,,,14.977593,102.1100316,,,,,,,,,,,,
3320507161,node,tourism,hotel,Chumphon Hotel,,,14.9751781,102.0954993,,,,,,,,,,,,
3320507189,node,tourism,hotel,Si Rat Hotel,,,14.9761491,102.0975056,,,,,,,,,,,,
3320519997,node,tourism,hotel,Sawairiang Place,,,14.9780853,102.0875225,,,,,,,,,,,,
3320525477,node,tourism,hotel,Pegasus Hotel,,,14.9790555,102.0819758,,,,,,,,,,,,
3320525601,node,tourism,hotel,K. S. Pavilion Hotel,,,14.9786139,102.0807955,,,,,,,,,,,,
3320533060,node,tourism,hotel,Baanissara,,,14.9860035,102.0811817,,,,,,,,,,,,
3320542413,node,tourism,hotel,Pegasus Hotel,,,14.9947453,102.1044365,,,,,,,,,,,,
3320544768,node,tourism,hotel,Vu Place,,,14.9953619,102.1073279,,,,,,,,,,,,
3320544888,node,tourism,hotel,Hotel Sabai,,,14.9962946,102.0996675,,,,,,,,,,,,
3320544961,node,tourism,hotel,Narai Motel,,,14.9950925,102.1016523,,,,,,,,,,,,
3320546397,node,tourism,hotel,Garden Resort,,,14.9956366,102.0840195,,,,,,,,,,,,
3320546466,node,tourism,hotel,Gold TRI Place,,,14.9956987,102.0855966,,,,,,,,,,,,
3320547963,node,tourism,hotel,Teeradol Place,,,14.9945018,102.0742348,,,,,,,,,,,,
3320548300,node,tourism,hotel,Thepmanee Resort,,,14.9939577,102.0749053,,,,,,,,,,,,
3320548556,node,tourism,hotel,Place Pattaraporn,,,14.9944499,102.0719496,,,,,,,,,,,,
3320555571,node,tourism,hotel,Korat King's Hotel,,,14.9772665,102.0650885,,,,,,,,,,,,
